Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
49,0.38731388356981739,0.45873733931660315,0.40541619868527551,0.43908590587916885,6.759698393944972,12.046619323831651,8.414363824127067,9.222196654373915,0.2342235078459417,0.26418518333246543,0.24352429987574686,0.25094804589674297,0.02783615110867459,0.024186590380636114,0.02211252114895038,0.03158569569172904
50,0.38652003084835218,0.43166256511632761,0.39967854609182463,0.42344725974021724,6.602852757135197,9.589735952234848,7.737733166526643,8.311407947353375,0.2329711371630013,0.2531269614895879,0.23974756175850231,0.24354967893185506,0.029951776449545966,0.02462156853213888,0.022869321397716205,0.0340348318399435
51,0.38792771516031049,0.43271534459180161,0.40406679914048121,0.41926671469175775,6.435027490518451,9.772674148483679,7.882082767559327,8.200005083338173,0.2330049855140384,0.258436655351017,0.2409737030257013,0.24720403785635733,0.03191781488992954,0.024362993656990666,0.024306466369657893,0.03436439073387115
52,0.39082884406352369,0.4363737607175292,0.4057638921687276,0.42110571659249435,6.61239846604798,10.23642224141434,8.167875245508451,8.06626901535783,0.232347144123756,0.25529741292673097,0.2392653370344569,0.24545626774334167,0.03106233291525337,0.023818504901125144,0.02424038799617001,0.03292938455133462
53,0.38874362422742548,0.43869873891453359,0.40495291736919348,0.42210722512566495,6.491185367689175,9.90401554779263,7.918912452312996,8.045797215791369,0.23164310723305548,0.2603311533704212,0.23944723158215653,0.24921058156855916,0.032521537905342235,0.024915602954523577,0.025555698180783043,0.03407191210507148
54,0.3891036046895468,0.43920571465066655,0.40571924082016342,0.42291892961913158,6.558264538921763,10.283880746927283,7.969829269739091,8.372957894272924,0.22971875326369148,0.25680955999845095,0.23817280940213398,0.24468321076024924,0.03234910501556246,0.024870313060989975,0.02446690704023365,0.03533691344080703
55,0.39134815330675382,0.4375706154225365,0.40655907553906162,0.42227467586716322,6.572846020804097,10.097012861552374,7.923206728953295,8.119264808497451,0.23190059210305558,0.2623033227279632,0.23950848366146765,0.2513908082194258,0.03256678969656158,0.025622964114722854,0.02522278634316582,0.035224934541455866
56,0.38211504599941004,0.43532758078936135,0.40068975890315645,0.41525337158577269,6.3949475773541105,9.970404489253745,7.814771920879517,8.145633993356135,0.2222477812634332,0.24922320074862803,0.23278891723051426,0.23409615194991928,0.03214348529531505,0.026828444171042985,0.024934867249627183,0.03637373682834132
57,0.38471627628919752,0.44084928007114804,0.40596792781987645,0.41794421709705071,6.4360716995046365,10.532782427414123,8.126470828793186,8.076260163470785,0.22497814050240975,0.25654279579388467,0.23742909928842063,0.23874140121772316,0.03269683784038415,0.025521845477460798,0.024880191530387334,0.0358198045475453
58,0.3816867041786311,0.43799089531146912,0.40080975331563912,0.41768185178039152,6.330071888047277,10.435028526645834,7.907904707190898,8.226980471444763,0.2245611122887391,0.2524634981411823,0.23509864119118826,0.23724106905297893,0.03287210059677741,0.02587669479784774,0.025092728399258656,0.03628805663917093
59,0.38490050804529685,0.43982186512960492,0.40197749375481373,0.42088668557798947,6.377870583992615,10.38231263034064,7.808196470644015,8.21131820163705,0.22692219799765811,0.2575920840814912,0.23697872201444822,0.24315191537542818,0.03401101279365648,0.027357906723815703,0.026492280763182732,0.03723826472244832
60,0.37978258858296704,0.44105311928388125,0.39868675049455105,0.41833421517045916,6.305723926752914,10.26225287268,7.761517141309467,7.983291812470165,0.22561565792587987,0.2528405899098798,0.23606600948784884,0.23777890310635222,0.03498173677764508,0.028814509184825376,0.026729156978152552,0.039792513976490126
61,0.38384891028788976,0.44099046079341919,0.40444053444431444,0.41813392843647718,6.326841929685316,10.41348132475892,7.729043962535665,8.068968795250335,0.22641629964843044,0.25850682254949997,0.23880628470127196,0.24073077261139159,0.03576177229583365,0.026906161298941366,0.026559651453656,0.03907645713630358
62,0.38275285277328758,0.44042225425705256,0.40114031018395402,0.41944016635713605,6.2156285627324745,10.016310775702173,7.585629993127547,8.229394400133268,0.22407458895711949,0.2524479504689944,0.2343110908369005,0.23773083894738142,0.03444038950968816,0.02810519850036758,0.027192985262045527,0.03772246899205513
63,0.38807356385876896,0.44364128208340109,0.40635769316784043,0.4231771163840069,6.349845873742283,10.137805247247524,7.744993344342416,8.294757921703363,0.22779805720525018,0.25636478979389277,0.2378885069599962,0.24192950976285846,0.03409347453461929,0.027360038775761337,0.026601956495418435,0.03726017814125013
64,0.39248908425375068,0.44709055116977964,0.41063326997034116,0.42849258212429364,6.49144877311723,10.60281803601882,7.961916874184624,8.534886768109773,0.23762114440500248,0.2737564465066454,0.24806780704587036,0.25857126589179685,0.0343877880097857,0.027829942616506117,0.026435387105808866,0.03822647350414766
65,0.3849573601879635,0.44422721567375772,0.40575712203942899,0.42099110667590506,6.128794793175937,9.860839739255223,7.767738588395847,7.969604423907577,0.23341777250873988,0.2717155773265446,0.24600963287008334,0.2533601819924272,0.0354664315337219,0.026324505243256476,0.027799078773120683,0.03654183901431749
66,0.38665244980791769,0.44721216626760757,0.40777246586391858,0.42486854306832528,6.115675083194699,9.687613645139304,7.656976291534094,8.029474708203121,0.23305594525114004,0.2707887398620194,0.2447803023942287,0.2535538220641103,0.03572850975779633,0.027121468791840284,0.027618128448789504,0.037929772570163355
67,0.38855076315830334,0.44855569636327758,0.4083861477374508,0.42662916368587928,6.16100847578894,10.05783320912689,7.728407052618529,8.023433239143849,0.2367227460437064,0.26834598829726414,0.24825253034044695,0.25158651686844,0.035594937135639285,0.026979785433290073,0.027615712062232244,0.037749087108966926
68,0.381086435566935,0.4433550316845018,0.40336657669584547,0.416430427563933,6.02608831616649,10.42709699708624,7.639282874128349,7.855197918969355,0.22966704016903022,0.257865061771725,0.24202288117469828,0.24014545738134002,0.03554022521161503,0.028196927405491148,0.028424261396254178,0.03779025781696497
