x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,agegroup2
0.0016301282,0.000696366,0.0008641483,0.0029451178,0.0011284615,0.0005327953,0.0021112196,0.0013552974,0.0001655319,0,0.0001412798,0.0019807063,0.0000661216,0.001960453,0.0039161499,0.0004379818,0.0006323126,0.0003888243,0.0004906197,0.0009797083,0.0024068694,0.003910866,0.0021153147,0.0005608317,0.0006459687,0.002523518,0.001920444,0.0022635069,0.0006373295,0.0006786351,0.0007199406,0.0030294607,0.0024429702,0.006370532,0.0020746293,0.0008235605,0.0036588964,0.0029541933,0.0028682482,0.0010028966,0.0016339413,0.0024528512,0.0006276234,0.0008529038,0.0011235037,0.0016529228,16
0.0251525583,0.0198645116,0.0184523418,0.0248684965,0.0159274698,0.0140882353,0.0194631633,0.0252064367,0.0254152486,0.0207450544,0.0182690104,0.0197711854,0.0212755503,0.0191992941,0.0255770539,0.0227256526,0.0140119779,0.0152103866,0.0183601983,0.0216974751,0.0213260756,0.0234427196,0.0142730127,0.0240081051,0.0290963697,0.0213348872,0.0301192617,0.0227165988,0.0253623669,0.0252965145,0.0252306621,0.0279303101,0.0272333758,0.0288346724,0.0305058607,0.025256547,0.0269044344,0.0271532758,0.0294033573,0.0371139842,0.0267857644,0.037745623,0.0382040347,0.0407069785,0.0324929989,0.051568998,20
0.0951223075,0.0858910649,0.1006397198,0.1204952012,0.0991927578,0.0762761433,0.1259260768,0.102156203,0.1010374132,0.0975107141,0.1096506557,0.1124970755,0.1006265779,0.1099126851,0.1219027979,0.1242779677,0.1067258707,0.1151826335,0.1251757753,0.1031069259,0.1005510042,0.1270557311,0.1360567254,0.1125219611,0.1205094937,0.1321063021,0.1360655043,0.1365414313,0.1244541485,0.1378629606,0.1512717727,0.1449817749,0.1627362937,0.1754597561,0.1559505719,0.1787653082,0.180545078,0.1721250162,0.164555229,0.1788242361,0.1870043814,0.1928100295,0.1848396669,0.1915905348,0.2089807851,0.1845983151,25
0.2381412944,0.2458917468,0.2318393961,0.2321198442,0.2425675174,0.2435090083,0.2754745902,0.2557713724,0.2646799144,0.257028421,0.2719675912,0.2881516784,0.2750807149,0.2397092118,0.254028336,0.2813450807,0.2852619645,0.2853257135,0.3126595215,0.3167520163,0.3367147311,0.3061499355,0.3463338311,0.3618889194,0.3546262933,0.3601728762,0.3650908894,0.3518470569,0.3471109285,0.3678651704,0.3886194123,0.3483746774,0.3451358412,0.3815508645,0.397316025,0.373424267,0.3963670042,0.3870604553,0.4146965439,0.4145554477,0.4045110483,0.4473874158,0.4411878023,0.4383702103,0.4322502779,0.4443598508,30
0.3738081746,0.3719335122,0.3766718401,0.3664664884,0.376057147,0.379771797,0.4287681646,0.3877516576,0.3987860345,0.4319202635,0.4704823165,0.4104803008,0.4178592445,0.4215953393,0.4256449148,0.4300878371,0.4589765453,0.4708013399,0.4485617459,0.4647364549,0.4893373159,0.4710422262,0.4650815991,0.4726414217,0.4987711417,0.4722895811,0.4969620531,0.5000178422,0.528294957,0.5011695907,0.4740442244,0.5240170452,0.5152496157,0.5227017557,0.5353479046,0.5239268705,0.5250068871,0.5605088329,0.5529775042,0.5242344827,0.5574154355,0.5867390349,0.5940997239,0.5898290904,0.5709769211,0.5568272099,35
0.4696075876,0.4806724282,0.5011831048,0.5034468673,0.5005027152,0.4659971985,0.4997211136,0.5491448916,0.5271061405,0.4862702692,0.5021237662,0.5161249979,0.5035265689,0.5253756226,0.5283710374,0.5104845172,0.5380155141,0.5495151964,0.5256104138,0.5169663308,0.5692863405,0.5818352251,0.5855554582,0.5647357646,0.5763529209,0.5596179387,0.5812503505,0.5854706813,0.588231395,0.5867542286,0.5852770622,0.5813466359,0.5831971617,0.6160775349,0.5665383544,0.5841326494,0.5944249887,0.577140226,0.6048431448,0.6241940603,0.6253624838,0.5954327925,0.6204954403,0.6461025465,0.6377037117,0.6439359643,40
0.5513719952,0.5644247177,0.5386802415,0.5371740486,0.532305474,0.5685378953,0.596875302,0.5335128732,0.5709222457,0.5983929725,0.5623189523,0.5673787893,0.5884388933,0.571630105,0.5576052449,0.5640768979,0.6015084191,0.6060375585,0.6014338255,0.6048838378,0.6228656659,0.640461552,0.6360198903,0.5974195115,0.6319030294,0.6241244893,0.6574123314,0.6261596152,0.6348177928,0.6347331504,0.6346485079,0.6645844658,0.6445835968,0.6286573835,0.6379823633,0.6328282019,0.6509785897,0.6453084582,0.6411501658,0.632462678,0.6699570478,0.6790450409,0.6547985333,0.6617603819,0.6847739647,0.673594441,45
0.5527883964,0.5785347089,0.5797134145,0.5698100271,0.5837988827,0.5972431237,0.5583766051,0.5665219696,0.5493677627,0.5868060774,0.5777534618,0.5890212629,0.5939701721,0.6046590318,0.5764455782,0.5820505334,0.5835108914,0.6014330994,0.5946787144,0.6022436435,0.6377108361,0.612630239,0.6279276208,0.6252042381,0.6206233323,0.6426237666,0.6472975242,0.6381463099,0.6456830982,0.6674112586,0.689139419,0.650543496,0.6601288321,0.6578775791,0.6695061327,0.6706874414,0.6566614701,0.6660010897,0.6642861044,0.6702332078,0.6735348921,0.6882473163,0.6825800938,0.7040471587,0.717415619,0.7196417177,50
0.6054513148,0.625860942,0.6255703682,0.6384966595,0.6091082979,0.5932905108,0.5586342737,0.5991974666,0.6361730003,0.6005520655,0.6008988845,0.5898964051,0.5639731191,0.6117247375,0.6349596552,0.6206069723,0.6304412147,0.6413055898,0.6791337974,0.6680722952,0.6608707315,0.6631717959,0.6557825025,0.6535408404,0.6785618124,0.6679457969,0.6695728254,0.6649998028,0.6815623135,0.6780025347,0.6744427559,0.6943370493,0.6819800023,0.6630530808,0.6585294768,0.7082414825,0.687975341,0.711676919,0.7119203014,0.7394417476,0.7339831616,0.7083845692,0.7174871947,0.7125483398,0.7357187751,0.7434912309,55
0.6340928771,0.6356316864,0.6075084717,0.610728356,0.6354295854,0.6483879105,0.6052845891,0.6061047954,0.6246476701,0.6518909121,0.6158990577,0.602313636,0.6292871075,0.6171441328,0.6266966958,0.6733654998,0.653124899,0.6324308655,0.708765886,0.6885350372,0.6849531687,0.6872532999,0.7424954342,0.6998911806,0.669764576,0.688529789,0.7057319614,0.7056953668,0.7033925877,0.6859601488,0.6685277099,0.7086624353,0.6972208885,0.6843107796,0.6871260017,0.6948346645,0.7244489829,0.7201777467,0.7206346329,0.7089511403,0.725938342,0.7061880019,0.7132522056,0.7047972973,0.7235962385,0.7113389632,60
0.6228784558,0.6602661635,0.6290962591,0.650727228,0.7058106527,0.6703708962,0.658892319,0.6776305858,0.6426906508,0.6417389908,0.6804696405,0.6532230341,0.6322184326,0.7070277491,0.7098383628,0.643439392,0.6586281511,0.7016325545,0.6981680554,0.6781124548,0.656139605,0.6817395798,0.6802726649,0.6704232138,0.6777106444,0.6674419834,0.7079687226,0.6950252074,0.6928739944,0.6976122102,0.702350426,0.6932302322,0.696753928,0.6929038209,0.7115175173,0.7072684841,0.6900172527,0.6848776104,0.695664878,0.6986795162,0.7005511309,0.6944551417,0.6791110151,0.7214448767,0.6929511744,0.7010854289,65
0.6511704683,0.5782397374,0.574156265,0.6449390182,0.5960046359,0.5765082722,0.6210723854,0.6831975129,0.638758405,0.657889778,0.6780396821,0.6317704499,0.6795606781,0.6759116335,0.6791304017,0.6492912346,0.6720358047,0.6911694682,0.6810843852,0.6827103058,0.6539901099,0.6579308123,0.6687709819,0.6391787185,0.6609001197,0.704878564,0.6892561746,0.7402275319,0.746815514,0.7302455834,0.7136756528,0.7536161837,0.7366976407,0.737186828,0.6765709221,0.6854448507,0.6816590277,0.6811489192,0.6635621456,0.6967588555,0.7326278979,0.7332827646,0.7006228374,0.684740188,0.7228976391,0.691103441,70
0.6464761694,0.6218606427,0.6777413173,0.6488496034,0.6632407578,0.6297143404,0.6827649325,0.6738668609,0.6344091022,0.6082306644,0.6332194892,0.6866865688,0.7149195024,0.6316443892,0.6759584467,0.6764840042,0.6527379844,0.6217576891,0.6588654053,0.6421406962,0.659618022,0.6639632066,0.6479718882,0.643402034,0.6850873878,0.7121170076,0.6759689772,0.7149277586,0.6685408336,0.6737766845,0.6790125355,0.6595780091,0.693201803,0.6490290744,0.6463067852,0.6419838022,0.6483338265,0.6739865975,0.6635181142,0.7301249341,0.6134314128,0.6547094524,0.6953086184,0.7126446236,0.6251611368,0.7467223996,75
0.5609729494,0.5616811783,0.5872719034,0.5510331102,0.5530381854,0.5787815483,0.5451224681,0.5292985728,0.645799454,0.580738867,0.5441728064,0.5587511148,0.5966167253,0.5722791225,0.5457821569,0.590260382,0.6168305726,0.5783117248,0.5921050596,0.6656218296,0.6285372073,0.6478077468,0.6925178528,0.6287318948,0.5599115929,0.5946101408,0.6430116103,0.6208126699,0.6324302235,0.6438033666,0.6551765097,0.657540796,0.5613000016,0.6282767398,0.6288601222,0.6055886705,0.6065595296,0.6770035555,0.6097293944,0.6134215835,0.6492394745,0.5553967441,0.5209463388,0.593374944,0.6085821899,0.4987740502,80
0.6460696852,0.5918863745,0.5478051714,0.6060340648,0.6095999085,0.662009417,0.6283435836,0.5878122329,0.5761569546,0.5453967042,0.5595738663,0.5720131264,0.5019940179,0.5485173533,0.5254989597,0.4645148039,0.5414562435,0.6294058938,0.5981049491,0.5232206571,0.5761285934,0.6522094926,0.5542625255,0.5696980064,0.610533372,0.5258756514,0.5213668591,0.5883962537,0.6024128235,0.5603715759,0.5183303284,0.5435773247,0.4629884804,0.4335511115,0.531167418,0.5479979113,0.6654101009,0.4653699967,0.4983076842,0.5809091966,0.6542649728,0.6067659914,0.5595747646,0.5699232754,0.53696016,0.6143819248,85
0.3670348006,0.2929316473,0.3459450701,0.3133075407,0.3566005388,0.5783360091,0.382743717,0.6061197041,0.3547425163,0.3233603537,0.5037666073,0.3640685263,0.3567999165,0.6257739197,0.4714555535,0.2971384923,0.5351037715,0.617405109,0.3932916381,0.1957444886,0.3570954,0.2448286752,0.5596952568,0.4290549616,0.06722086,0.2524111325,0.6300759759,0.546314258,0.300860746,0.2506694085,0.2004780711,0.2451211666,0.465809014,0.5622320188,0.469752024,0.4340532757,0.340397351,0.8497735635,0.5228343232,0.4958481613,0.3658687577,0.6373724585,0.3275258934,0.4753705991,0.4064798599,0.4942173211,90
0.2752448497,0.6875768758,0.4770139182,0.1927031509,0.0762097943,0,0.798177857,0,0.2899309688,0.3422562141,0.4308588064,0.2514220705,0,0,0.1326751003,0.1406473417,0,0.2848162476,0.9280821918,0.1490509491,0.3984267182,0.9311619312,0.817877095,0.5317563189,0.4195106246,0.2262658228,0.3730756633,0.1274226804,0.0312304809,0.1946450146,0.3580595483,0.892681077,0.8832442068,0.1205073996,0.6221955128,0.3281909283,0.3826771654,0.3255159475,0.3880053015,0.1423740277,0.5542028986,0.4305864885,0,0.1114302125,0.4915714376,0.0827493261,95
