Period,"Gini per capita, all income","Gini per capita, labour income","Gini per capita, labour and pension income","Gini per capita, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
69,"0,4035764479","0,4456587199","0,4132190394","0,4330569032","7,3096433479","10,5283322051","8,5738288812","8,8929865481","0,1954915187","0,2021234262","0,2041441584","0,1913498632","0,0584689484","0,0488166024","0,0415309665","0,0697289541"
70,"0,4090469654","0,4450714735","0,4141430024","0,4386786489","7,5118165198","10,2100225881","8,4250659658","9,2960358729","0,1969626971","0,1939732811","0,2035704345","0,1860080937","0,0537450363","0,0480339985","0,0409209359","0,0639651773"
71,"0,4070421137","0,4483793154","0,4133465597","0,440627414","7,5613015019","10,6602836657","8,4210396956","9,5388963968","0,1925835588","0,1957419344","0,1989965905","0,1877345353","0,0534853534","0,0495260547","0,0408445817","0,0652168286"
72,"0,403471837","0,445010782","0,4090125271","0,4377909834","7,241352541","9,6520053176","7,9131587686","8,584242259","0,1899119583","0,1837367853","0,1966594761","0,1756647495","0,0586012142","0,0532712413","0,0438604443","0,0717338105"
73,"0,3967542554","0,4393500324","0,405635175","0,4274577897","6,8881453075","9,9466376689","7,9568006751","8,4536900672","0,1896305762","0,1855707504","0,1977809373","0,1757833002","0,0593331873","0,0533946935","0,0439041525","0,0726410166"
74,"0,3958982089","0,4375274413","0,4012246476","0,4302016595","7,2077836336","9,8345220718","7,9042333815","8,5989778852","0,1882582774","0,1788664659","0,1946776387","0,1712707939","0,0583982853","0,0556000417","0,0443868841","0,0731683477"
75,"0,4000132134","0,442571098","0,4037246456","0,4371618993","7,5061177352","10,2479446176","7,8723357006","9,1059058568","0,1931530747","0,1890935811","0,1998487523","0,1809123885","0,0574681756","0,0523968766","0,0423279143","0,0715140836"
76,"0,3973932514","0,4405656993","0,4028839126","0,4339208396","7,1689197128","10,0519712606","7,7926763176","8,9970547687","0,197034243","0,1936396185","0,2034710471","0,1856950955","0,0561482362","0,0510467095","0,0417995672","0,06927728"
77,"0,391886263","0,4349528995","0,3983012745","0,4260285413","6,7723045036","9,3937571763","7,540367688","8,3394139797","0,1938341766","0,192052837","0,2018314434","0,1821536188","0,0613604262","0,0563707459","0,0451287444","0,0769059729"
78,"0,3947719533","0,4372256767","0,3988640737","0,4319584016","7,3256234415","9,5470630752","8,0681246346","9,0526710966","0,1972342121","0,189947449","0,2034966159","0,1822736092","0,0518865639","0,048661081","0,0390073553","0,065178319"
79,"0,4004350197","0,4431297014","0,4060366051","0,4359459758","7,5490645985","10,6883150746","8,4397240301","9,5878516747","0,2010703497","0,1979259855","0,2078220152","0,1894765454","0,0535312681","0,0493797627","0,0390754445","0,0679349898"
80,"0,3919303278","0,4378983104","0,3952706329","0,4334106076","6,9993114012","10,1997896381","7,6677249926","9,3413131322","0,1960578484","0,1910035345","0,202117364","0,1834282699","0,0540792507","0,0530963658","0,041493692","0,069285118"
81,"0,3858303071","0,4358748436","0,3945256238","0,4239090718","6,9163589218","10,6669273759","8,1674891471","8,7537097484","0,1905470624","0,1840180098","0,1980479386","0,1747917999","0,0591918958","0,0554453621","0,0434783231","0,0756462153"
