period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income
95,0.615664334539822,0.256748002996343,0.127587662463836,0.854789661925083,0.97676264665001,0.884444870045552,0.982537611793443,0.526263508380625,0.591664983812374,0.17953168198067,0.178826542121127,0.219465538681184,0.25725704059689,0.109060614863274,0.127840622240746,5774.03101299215,3963.15612895885,3361.58318193283,2673.83849599432,4759.09353360319,5209.58455732738,3366.25141982563,0.532823533817064,0.690254595164409,540.644760237806,535.599617114612,486.876032240346,757.118706100431,0.726577911362933,0.562444483261177,0.164133428101756,0.383265908961528,0.3810574852947,0.325899466601472,0.310640677747017,0.347411000256682,0.324927259966417,0.322340318916338,0.301987671075357
96,0.614419717760082,0.253641380052586,0.131938902187331,0.851291629393699,0.975735879931367,0.881720045354316,0.981529451303184,0.523050362663598,0.589135584011751,0.18065535847573,0.180057584067585,0.215922783706633,0.254312362696949,0.112318483023469,0.132287933222668,5805.03460607737,3992.41412136991,3365.15205301037,2676.03443225926,4773.3425802737,5232.19388714211,3369.83582008209,0.528850730287132,0.689834033019926,540.377381215552,540.453776222043,491.960843550733,734.78291698889,0.723850549539915,0.551476556840405,0.17237399269951,0.385542812071811,0.383920254580022,0.329634181619824,0.312596530678231,0.349817152658678,0.326108926906507,0.32533609995963,0.30341515507737
97,0.609380133807765,0.251515643282684,0.13910422290955,0.848505848899951,0.974370121281939,0.88000778707725,0.980657580427715,0.517062607739324,0.583652073136991,0.1843536273671,0.183968351869552,0.213412494415191,0.251578861513841,0.118030746745436,0.139139186631106,5817.04881317315,4112.5781216971,3368.7173021184,2679.81604601859,4764.85281203953,5275.67052217904,3373.40962182384,0.524915777435374,0.690479404847694,684.007594907974,673.032107756956,625.897501677915,874.689794001308,0.741500832850836,0.574227362736867,0.167273470113969,0.386390000953037,0.385392812259431,0.329919426467789,0.314351693958602,0.349751718550599,0.328199798747298,0.324941261557058,0.304618118811996
98,0.605100440893942,0.249707890166171,0.145191668939886,0.846695306266198,0.973666473141247,0.87847316240731,0.980182625346202,0.512335703124508,0.578986643560422,0.186715960602034,0.186357015376112,0.211426498541332,0.249568948010153,0.122933104600358,0.145110881570672,5827.18158192078,4127.27447507302,3371.47551333701,2683.09053958934,4757.47657493142,5283.47832560037,3376.62820017733,0.519969102199748,0.687642427036234,542.871402219181,541.974317356235,497.471882559049,758.761074533026,0.727396546359793,0.571035369442572,0.156361176917221,0.388811462035122,0.386796870890601,0.332301093684869,0.315230243240817,0.351405413405819,0.329408151989392,0.327311665357385,0.305194057183369
99,0.59962526243317,0.24854307091433,0.1518316666525,0.843841582906773,0.972369027058909,0.875557860728644,0.979331262071948,0.505988730602495,0.573163984629478,0.190884918243186,0.191736371560033,0.209730978380858,0.247816952120597,0.128121873923419,0.151388090308833,5857.61294884233,4144.35305746453,3374.50546429429,2686.17319956761,4758.92880640204,5310.13802892013,3379.66947112818,0.52326708402517,0.690181940743751,544.601284086908,537.5643748161,490.739441806388,775.781218027462,0.720339541393273,0.56690983590863,0.153429705484643,0.390731066809831,0.390079665683932,0.333450233144428,0.316987068660273,0.352818369427096,0.331518130521881,0.32841252535213,0.3065215246839
100,0.594289659705303,0.244958567827737,0.16075177246696,0.844966666651833,0.97274072906611,0.875432826216686,0.979192655489667,0.502154952786842,0.568031416431897,0.191973696448255,0.193831241750232,0.206981824525209,0.244354170360593,0.135829889339781,0.16035514227362,5860.88282235351,4185.11562117525,3378.0458657242,2688.81475979502,4742.77507386571,5324.10869494134,3383.22369054898,0.521096497678989,0.689684445548403,531.750034188575,534.890239880127,492.94001284619,746.762764575851,0.729382396225546,0.582589063829684,0.146793332395862,0.391687221833495,0.391293497012569,0.334034802015161,0.318634749747364,0.354480990813982,0.333703273223828,0.32891421257536,0.308065039613503
101,0.597025825635433,0.242341571864903,0.160632602499665,0.844246828483904,0.972515228904565,0.874685540199566,0.979268279918779,0.504037159815699,0.570701890268154,0.194883214254935,0.197625651545917,0.204596103456748,0.241643465700948,0.135613565211458,0.160169872935463,5847.38813983505,4209.53356507094,3381.5737142223,2691.67122322307,4742.90777493731,5346.10716536757,3386.76746863845,0.519934129037375,0.686700580577771,680.498383832757,676.467542307771,631.971167126007,918.195510200969,0.728674204120235,0.582028803340181,0.146645400780054,0.394039114865983,0.391748886961165,0.336512154800742,0.318885527909511,0.35726683792065,0.334275426873798,0.331482283534901,0.308730503928316
102,0.591893189790072,0.240001606827556,0.168105203382372,0.842033809703185,0.970970267096057,0.87315727453334,0.978296629759049,0.498394077536304,0.565165876777251,0.197372186780325,0.200019349523991,0.202089467331893,0.238647587586424,0.141550264834987,0.167156802732381,5866.48760850557,4189.12989397126,3384.75081347568,2697.04672780002,4738.06728611591,5347.24725786631,3389.95481434451,0.516384042760511,0.684687871653139,545.611663780137,544.273905051971,501.191868013906,808.73227051934,0.742663861187165,0.59837496019345,0.144288900993715,0.391248367013918,0.393044757560619,0.331750444513988,0.319762694578674,0.353735867133597,0.334016242443849,0.326794549733522,0.30921455052588
103,0.59056830763629,0.23751757102706,0.171914121336651,0.840511125875802,0.96966009967043,0.870907003243246,0.977265642159717,0.496379233157945,0.562974166043392,0.198176426869354,0.201847237719641,0.19963616103924,0.235924714494641,0.144495731678618,0.170761219132397,5883.51916701466,4190.16371010777,3387.7427315639,2699.72293011429,4743.38887765816,5360.54152897697,3392.96435774214,0.514322395968155,0.681942087985538,542.560425886262,543.566702367299,499.970208603149,790.162195788504,0.743696557301556,0.594407674425953,0.149288882875603,0.394292322935793,0.394299908624967,0.333424893159381,0.320710472743754,0.357060584453701,0.336143596443426,0.328292034651373,0.30983793645773
104,0.588076191444518,0.234871659465597,0.177052149089885,0.839875873952591,0.967593142770127,0.869585524001224,0.976168538499252,0.493911005240176,0.55907989280884,0.200255310157183,0.205692974184298,0.197263040260364,0.232927019364477,0.148701828452051,0.17558623059681,5901.25486187963,4208.58002796008,3391.09054139213,2709.93077338048,4746.6576140843,5382.47427630726,3396.48907487912,0.510604221829914,0.680833725167436,527.612071653042,532.17291126411,489.232048887318,750.330117612826,0.735200824865605,0.588439473356461,0.146761351509144,0.394314803384219,0.395617184939914,0.333994220791783,0.321767091885435,0.357767606185719,0.335957124053683,0.328465980541089,0.31027358547192
105,0.586687839546616,0.230489101774676,0.182823058678707,0.840158737308205,0.967131656144672,0.869119244408334,0.97538843570964,0.492910914467564,0.557797201690462,0.199591203358031,0.205481903291582,0.193647432710314,0.228270880365784,0.153600390130326,0.181063574088426,5928.36071626416,4197.58632041196,3389.32242799966,2711.72302090917,4755.06451970454,5388.7578622539,3400.0035020149,0.50671495569128,0.677411176460665,677.803118362041,666.870448774786,616.229710072828,946.771773936632,0.732318393283141,0.579923207476689,0.152395185806453,0.397291733812551,0.396432834860804,0.336799238003348,0.323349783175655,0.359412701075147,0.336007015077424,0.331125382991998,0.311201816848045
106,0.584885656752216,0.228242974591814,0.18687136865597,0.838433092464974,0.967061304043908,0.867188679545575,0.974446915238641,0.490387489929168,0.557063480380917,0.200499788582418,0.20643455952231,0.19136646302042,0.225429750552255,0.156679139515387,0.184568073110736,5926.67189956279,4206.16131955865,3392.92724926232,2714.37960680933,4748.07702645226,5394.35941368075,3403.1602944344,0.507234759790925,0.677211258129552,535.000382595056,537.920559956672,487.047342850561,787.255733647604,0.724372002282518,0.564495590793225,0.159876411489294,0.396137140624625,0.397979662562505,0.338511747860711,0.324810235292015,0.360023400021118,0.338463258274211,0.332573561854493,0.312080496909327
107,0.585144215009375,0.225704364924506,0.189151420066119,0.837961177019283,0.966732552467082,0.866496121454495,0.973900789518603,0.49032813513528,0.557384276490081,0.200336229957274,0.206375991443263,0.189131495290529,0.222707977097193,0.158501546593474,0.186640298879807,5939.71726024492,4196.52348896036,3397.45076534099,2716.82954122341,4756.3028267772,5399.41571237332,3406.13878974659,0.507226034069736,0.676941199910764,528.951899726498,522.121546974093,478.735551185418,751.79970131704,0.728660313616522,0.589631414422544,0.139028899193979,0.396999002791416,0.397540720891144,0.338534841139178,0.324622085100887,0.361217542062053,0.339153830460592,0.332499270604253,0.31161904322844
108,0.579446573662425,0.223617200674536,0.196936225663039,0.839022319691557,0.965662779541855,0.867226615130828,0.973370718895657,0.486168608371573,0.551191192653158,0.200134413356443,0.207300508910338,0.187619822432882,0.220383357297361,0.165233888887102,0.194088229591336,5956.99360128373,4177.36226846244,3402.40719512493,2719.82589747318,4748.22855083054,5386.99909237552,3409.63465952812,0.501084900119918,0.66855861830125,524.781365242916,516.422390488081,470.628756069092,752.189623261729,0.734830279704006,0.592299598777348,0.142530680926657,0.39341116590014,0.397392535129605,0.337806518229885,0.325601336215526,0.358537831864293,0.339981727822141,0.331792663984082,0.312388744734602
109,0.575725435826141,0.221091490106878,0.203183074066981,0.838646628473625,0.964855980237033,0.865477247353627,0.972364323815548,0.482830195682102,0.546835554695734,0.200965249565177,0.20950939908693,0.185417632762343,0.217832428766965,0.17039880002918,0.200187996774334,5968.24886156422,4192.70009592437,3407.01215495822,2722.77757434457,4742.55638865086,5400.1772209468,3413.12038506525,0.49960014886256,0.665787357046385,660.667974539972,651.40642101991,605.161798360026,905.33265323112,0.728338712907499,0.591816622492418,0.136522090415081,0.393965089451807,0.398087741959009,0.336677583527219,0.326229526189191,0.357650334070809,0.339992285337207,0.330439359626001,0.312320122073563
110,0.573794370088812,0.219154131540043,0.207051498371146,0.837775418634625,0.964735915470959,0.865719582559107,0.972489825601373,0.480710818611346,0.544631528702613,0.204412815499995,0.212715592914095,0.183601944296467,0.216016883816302,0.173462655726813,0.204087502952044,5990.35036814855,4214.15146190812,3411.81496196083,2726.21358006577,4749.40926769931,5424.34774214924,3444.27142293566,0.499147307392853,0.664724413188075,530.07794391674,524.274772287961,475.327509764762,808.916277800781,0.724647946953534,0.583440746802849,0.141207200150685,0.397935187705473,0.398850750209002,0.341034120148665,0.326926295615649,0.361094383181494,0.340821832973739,0.334699116780546,0.313247066683986
111,0.575534367936407,0.215298067830722,0.209167564232872,0.836174570157003,0.963914115070903,0.863709426620192,0.971613914775004,0.481247202719807,0.545835087966582,0.204815349380692,0.213868355563945,0.180026769323987,0.212058644886054,0.174900598113209,0.206020382218266,6005.0003849684,4217.07974294154,3416.573872639,2728.61460926719,4762.40352595142,5440.94546509896,3454.89467448746,0.500515702933009,0.664598548236479,528.997198141913,522.378738683163,476.862279036003,780.223927250015,0.730609952417304,0.592326805709924,0.13828314670738,0.397969485713721,0.400584937955927,0.340831397774218,0.328202978037024,0.361523454665241,0.341781944297763,0.334449633413377,0.314295270112502
112,0.575188680867158,0.21315047242271,0.211660846710132,0.83448459338308,0.962827555535679,0.862205976144117,0.970705037901657,0.479986092471981,0.545355276790173,0.205943231884189,0.215226006176566,0.177870785309076,0.20946808484207,0.176627715602023,0.208004193903436,6025.05913741476,4235.25629315013,3421.0902502291,2731.42590938217,4772.8887411391,5464.22538950465,3465.53397686091,0.501674245936779,0.664563146802525,526.314626722504,519.990770392266,478.567280987529,730.25759241019,0.740704125119007,0.602858640121954,0.137845484997052,0.398475040334876,0.402108613876775,0.34235238557247,0.329423679038862,0.362045280837468,0.342652664565988,0.336356012781364,0.31490592609216
113,0.572071353031393,0.210706172387641,0.217222474580966,0.834973254983154,0.96159848060754,0.862634470216941,0.969958297137644,0.477664279723239,0.541606765421584,0.207238827836983,0.216893125652108,0.17593401860355,0.206798136484293,0.181374956656365,0.213193578701663,6032.62618148326,4259.67833135958,3426.89769528703,2734.29988064476,4767.11250483179,5474.40768297207,3476.17297018085,0.500565469840293,0.662592765926183,674.409158212643,664.906162411026,619.884401595159,893.966989806954,0.723693082393522,0.582358326028161,0.141334756365361,0.398591984952614,0.402326222643122,0.342639245685116,0.330978529391022,0.360547799466849,0.342901086510927,0.336755262622199,0.315972171572469
114,0.567843089465754,0.2089743329354,0.223182577598846,0.83380381632723,0.962056816325163,0.861607751407685,0.970276866040741,0.473469735071591,0.537330918609531,0.208873542032369,0.218809906544866,0.174243596315974,0.205380983138252,0.186090484939666,0.219344914577379,6037.00948266981,4295.808719267,3431.80809113987,2733.3139392388,4755.26197272771,5488.56820120225,3486.80084119862,0.499109902187176,0.663077490188601,547.99446355132,533.239507283184,489.428501072084,793.80547655135,0.721963432457807,0.586668204564006,0.135295227893801,0.401917361816625,0.403744977258432,0.342391472103191,0.330736425605501,0.363629163062132,0.343700889505266,0.336721899025208,0.316092839895202
115,0.569394171913311,0.206205245228032,0.224400582858657,0.831941728293405,0.960223760511004,0.86031612359241,0.968577371782921,0.473702771461752,0.53761492194629,0.211170476555848,0.221146374010224,0.171550748098174,0.202375707683703,0.186688208733478,0.220233130881011,6059.6668493219,4276.46896484206,3430.96335673787,2737.76881315864,4772.17854548976,5510.12899363631,3497.42317342871,0.500651097617641,0.665096267811111,543.370476572612,524.38087426441,483.950605511996,739.636439314659,0.722725491802547,0.590864247003272,0.131861244799276,0.398412698932486,0.40473051586796,0.340989211512511,0.332481026977799,0.360466876792194,0.344879235206032,0.334674240769738,0.316551246592787
