Period,Gini sedlac. all income,Gini sedlac. labour income,Gini sedlac. labour and pension income,Gini sedlac. labour and family benefits income,Decile ratio. all income,Decile ratio. labour income,Decile ratio. labour and pension income,Decile ratio. labour and familiy benefits income,Top 10%. share of all income,Top 10%. share of labour income,Top 10%. share of labour and pension income,Top 10%. share of labour and familiy benefits income,Bottom 10%. share of all income,Bottom 10%. share of labour income,Bottom 10%. share of labour and pension income,Bottom 10%. share of labour and familiy benefits income
65,0.388577634007929,0.449323159441545,0.408825843114314,0.426551601373064,6.40787877024842,10.8025450902205,8.12513645107177,8.26602765016178,0.218664912818428,0.25390853793185,0.230638881619654,0.23658101264819,0.038004173072377,0.027177071126919,0.027909134527956,0.04049466183899
66,0.391043027962818,0.449220751585329,0.410931164091992,0.428212322223749,6.46302270188947,10.7410024264972,8.09171563868796,8.21125660114151,0.222811966608714,0.257252790685039,0.23380825527258,0.24124975579767,0.039756649405471,0.028915607591259,0.02847481201384,0.043808638111455
67,0.386221672948595,0.448899608556009,0.406011125365094,0.427006671670346,6.42546742337523,11.1680389509794,7.8868783928209,8.21286362251144,0.218563406194902,0.245892522623788,0.229253512102493,0.230570027090223,0.042640128153846,0.03368342494564,0.03132644275242,0.04865418181982
68,0.385426318561225,0.44924587100256,0.406570206517598,0.424367105557794,6.46630993212065,11.2358854629284,8.16318524194837,8.11859384976029,0.218995094406218,0.248782209812289,0.230322207564458,0.232358652335064,0.041217429217256,0.031024289645546,0.030344359376658,0.045574971260258
69,0.383974159427053,0.44736770752209,0.404867710816181,0.423422983339771,6.3083069955294,10.9780812570424,8.23844466090808,8.11270591393154,0.216468895573789,0.247482942416388,0.228561013155507,0.229901847878011,0.042990278089468,0.0329095558344,0.031514200714041,0.048220019001355
70,0.395051641980102,0.456281920053389,0.409676875073998,0.44020841959203,7.15380049575222,12.4072100624285,8.90222209545328,9.25312412305596,0.220116429263194,0.249701371056899,0.230067224064453,0.234594270250055,0.040454112048037,0.030158460792686,0.029084490388736,0.045995588605958
71,0.389871204013718,0.457972623879133,0.405370875746431,0.44165381034092,7.49381087080594,12.809537475002,9.41912217189231,10.2073875157917,0.219393911532806,0.248448094095128,0.23015682794258,0.231715804127986,0.038269110857734,0.027171993427115,0.026973830947921,0.043423372589881
72,0.393500137015687,0.460150521810343,0.411287449897555,0.438101532563259,7.34467643137724,12.3969364133376,9.1462524364337,9.38946246825576,0.219243100036362,0.245572621728892,0.229830374660226,0.229345305461692,0.037727083877506,0.029064336533428,0.028225300635595,0.042635161265347
73,0.388896349226222,0.461749451370562,0.411574050212866,0.434647678957651,6.70410762204107,12.226526396444,8.98167873796415,8.54020397870952,0.21977881783832,0.25277626509206,0.232929178638495,0.232629237658296,0.04147438131558,0.03014252213657,0.029720433608484,0.046702724101396
74,0.394626291075436,0.463493578214424,0.412394234383524,0.442340711415726,6.83469607903137,11.4889131178659,8.61533419186691,9.09670181361738,0.22194422448576,0.249716643008287,0.232405556588616,0.233925212945113,0.040083997503716,0.030873878755017,0.029142738803667,0.046135381726277
75,0.388103128258798,0.454212166241411,0.404895826249531,0.435579625823386,6.79407456277398,11.1805407859267,8.31698324342863,9.11461219070145,0.220211965428772,0.243902586415325,0.229865104595694,0.229498045994384,0.039405912131583,0.031156718876048,0.028871618858486,0.045836555141621
76,0.39072095002478,0.45920015332796,0.407951550832829,0.440200373113959,7.1664753948414,11.6978071342306,8.81620659679074,9.34992690822461,0.222494745000236,0.254257291238985,0.232562715433106,0.238829503058272,0.039374329575271,0.032653145090367,0.029218886979473,0.046678822309421
77,0.388877584140027,0.461504984135839,0.409976650908082,0.435018852173326,6.70380709948991,11.6512272286053,8.41987544501164,8.61379952321156,0.218446735090849,0.248922551382154,0.231292534987749,0.229589988702608,0.040636775692255,0.030859964522896,0.028275831022902,0.047944835832901
78,0.395260475681001,0.462664734277853,0.41097076809998,0.444277818079627,7.09904594325943,11.5877631406564,8.69206801533802,9.28360971616949,0.229288708401866,0.258747276531326,0.239547629964991,0.243119404801567,0.041516683031544,0.032280032407488,0.02901435987332,0.049714966214817
79,0.394752723401822,0.460779699727738,0.410923751908549,0.443106821618484,7.06385523173832,11.7563602757612,8.67085424512361,9.52440499375481,0.23202945940418,0.265100703750324,0.24215707806921,0.249482728821523,0.0404892466045,0.034094065783957,0.029607710223817,0.049157912831425
