Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6583,2437564606",11118502
58,"6550,8123021847",11135499
59,"6730,5417200481",11142497
60,"6722,1339140824",11181611
61,"6643,9742604885",11195427
62,"6608,6374037279",11278619
63,"6673,6069185641",11305642
64,"6707,8637849049",11294952
65,"6738,5623216729",11389827
66,"6778,9700489263",11395027
67,"6794,6446881955",11408786
68,"6838,9138829776",11495866
69,"6860,6154959382",11503716
70,"6858,119796728",11517264
71,"6883,2095586434",11573801
72,"6921,3304288522",11695144
73,"6923,2523166503",11735142
74,"6957,2344498419",11792483
75,"7003,8567202752",11791366
76,"7051,5142657264",11801791
77,"7070,2250329414",11821755
78,"7096,7990367297",11866133
79,"7115,689523429",11901942
80,"7125,9029639382",11945791
81,"7160,9836677245",12048146
82,"7175,9364355123",12085840
83,"7233,3657179285",12094663
84,"7303,672052667",12039339
85,"7310,954695598",12106476
86,"7352,9429823493",12164739
87,"7353,1024850734",12191570
88,"7389,9578537916",12258143
89,"7455,320625396",12216864
90,"7492,8583004962",12275405
91,"7520,00104848",12409507
92,"7542,2985062572",12415709
93,"7556,0505246134",12508352
94,"7610,9512615948",12504937
95,"7638,6404207549",12530208
96,"7672,368414949",12591899
97,"7690,5012424482",12575834
98,"7735,2585111649",12612650
99,"7750,6249166488",12676036
100,"7808,0787986511",12680377
101,"7807,0859928327",12717710
102,"7840,192631767",12829441
103,"7885,5696457495",12880176
104,"7923,0122317364",12854565
105,"7951,4958077401",12932689
106,"7959,5688904876",13001329
107,"7999,2146748522",13024863
108,"8049,5921996107",13040895
109,"8105,6939640752",13045147
110,"8122,4993413282",13056688
111,"8130,5811499365",13152252
112,"8155,6649127402",13182438
113,"8216,4841325605",13142740
114,"8260,7726398875",13067380
115,"8315,2011687824",13065702
116,"8321,8281733402",13200105
117,"8342,0539716047",13185558
118,"8411,6206423161",13135333
119,"8430,6600460451",13222611
120,"8481,5162305601",13244342
121,"8498,6769172192",13336370
122,"8548,4402657339",13350948
123,"8578,1653660837",13341009
124,"8590,218760239",13373512
125,"8651,4455948892",13392931
126,"8686,2820320458",13430222
127,"8711,6334021729",13416717
128,"8775,050608009",13456489
129,"8793,9374097294",13455707
130,"8836,4334353932",13483999
131,"8879,2392824633",13523722
132,"8931,9981298514",13551235
133,"8919,8896332579",13618481
134,"8956,5948758949",13624559
135,"8991,7531893098",13610210
136,"9016,7106187287",13625765
137,"9036,4123214206",13658832
138,"9099,78432136",13635997
139,"9149,7934913041",13661155
140,"9175,5180823167",13659503
141,"9192,4399185202",13768265
142,"9215,2321820007",13808372
143,"9299,0451477995",13794716
144,"9311,7278671242",13786731
145,"9357,055345002",13827244
146,"9352,8213593404",13879661
147,"9417,1070433919",13898385
148,"9473,7328511023",13882364
149,"9508,5213276929",13886011
150,"9557,9315758384",13893241
151,"9626,9657308669",13850968
152,"9631,4041445814",13878827
