Period,Total SIPA income,Total wage-earners SIPA contributions,Total taxable income,Total gross wages,Total SAC,Total autonomous workers SIPA contributions,Total monotributo SIPA contributions,Monotributo integrated tax
49,17946029.7373772,17193969.8333701,60758667.2995731,60662058.8973272,0,502107.026386771,168455.541099286,116424.766458671
50,21851478.6150531,21003375.2783581,73524516.4042919,64495621.5249125,10749270.2541521,602980.899831901,162563.149478198,117941.839121197
51,20104485.510011,19302384.9219628,68235350.7419417,68116748.501654,0,556506.000779664,159243.08362027,123359.29092606
52,23145866.2187369,22372470.6443445,78379794.977022,68767475.3809616,11461245.8968269,545720.983746152,146541.717460508,115904.1045511
53,19032700.9209871,18306612.0093735,64778058.1753027,64662671.3025042,0,523866.198402329,125625.27596286,109424.910354893
54,21424382.6012026,20721980.7455334,72624972.5912499,63711043.8677197,10618507.3112866,513903.752864513,114212.299058001,106122.576781039
55,19035475.1160366,18374577.1578533,65002526.4453461,64885458.9934854,0,469680.990200988,110033.091992006,115976.965700388
56,22092269.1897079,21367850.7175557,74778604.0537057,65593289.153525,10932214.8589208,540515.765971559,102309.98566595,116561.029306822
57,19297458.383856,18544304.5123009,65549655.6046112,65434688.7164727,0,502541.122991592,189617.851583831,87135.5671138854
58,21896628.3347199,21096595.1122108,73780230.6698447,64734252.8839379,10789042.147323,541261.977096495,191562.806840146,96012.0551035051
59,19653790.880218,18859960.1328175,66565351.6378502,66440962.0659627,0,526142.128960137,194524.349384098,104520.384366161
60,22536137.0699585,21721404.7833521,75927068.0859114,66596826.2865103,11099471.0477517,551001.707239776,188132.09625927,107997.833010581
61,19577528.8763502,18745397.0087239,66193982.699532,66074688.6950408,0,560095.069348229,206691.153647706,93350.9209005746
62,22364819.1335187,21587005.5036787,75469798.9423135,66218874.4994407,11036479.0832401,515790.016981339,194592.612460536,96330.0005688982
63,19890598.7491105,19136972.7899049,67536460.1330917,67405386.26417,0,506143.897175471,179875.301284882,96581.0867788934
64,22764368.2361174,22018045.0925355,76972003.7173481,67545581.6103483,11257596.9350581,496000.988728558,176958.522578565,104805.188964033
65,20286110.4521719,19556358.2026278,68989926.4037209,68865884.5468891,0,479385.45421492,177716.447865488,103786.210662458
66,23386080.9587141,22655844.4065687,79138550.299973,69446816.213145,11574469.3688575,479996.327358317,177220.747752876,104313.538620203
67,20455136.7988502,19735114.2948974,69639447.0438435,69520165.8372748,0,460563.231162652,184193.862323676,107522.014952111
