Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6583,2437564606",11118502
58,"6550,8123021847",11135499
59,"6730,5417200481",11142497
60,"6722,1339140824",11181611
61,"6643,9742604884",11195427
62,"6608,6374037279",11278619
63,"6673,6069185641",11305642
64,"6682,9424979618",11294952
65,"6686,7914815715",11392881
66,"6694,5982601992",11385995
67,"6676,8124577299",11369519
68,"6684,4715200423",11454168
69,"6671,3692603312",11443987
70,"6640,5536104827",11433928
71,"6633,2477054872",11439171
72,"6648,0234816224",11569252
73,"6683,7888058571",11528865
74,"6652,7320476405",11498028
75,"6629,6426011378",11594855
76,"6622,1097796149",11584123
77,"6647,2569318968",11636645
78,"6611,2075114106",11641417
79,"6579,0347709594",11639510
80,"6615,6891008494",11670505
81,"6595,0335904143",11714803
82,"6589,1119876263",11749236
83,"6599,0128201537",11713332
84,"6594,1390071634",11722978
85,"6555,8352046225",11759899
86,"6556,5262072568",11754338
87,"6526,9650072399",11806151
88,"6538,0548253921",11794757
89,"6543,4627086001",11815186
90,"6531,6634182699",11886274
91,"6540,5313401234",11887892
92,"6496,3436746584",11932054
93,"6485,8672753191",11987426
94,"6496,1294844597",12011545
95,"6484,2979967316",12019839
96,"6523,3362167186",12063990
97,"6518,341008654",12069768
98,"6506,2773443562",12057723
99,"6489,0943856201",12096543
100,"6486,6106530738",12127582
101,"6480,8523799903",12090259
102,"6472,8786709326",12115875
103,"6449,8823356067",12114340
104,"6457,3798110006",12072293
105,"6435,9926402876",12186553
106,"6442,2844891625",12231115
107,"6421,5393694903",12271888
108,"6413,8600560191",12307598
109,"6440,3344939299",12335294
110,"6421,8943675891",12342318
111,"6419,8722118548",12264487
112,"6406,9424841368",12283783
113,"6386,5444613889",12321980
114,"6398,8911372029",12315551
115,"6393,3803649391",12285522
116,"6381,8515326987",12306643
117,"6362,7802209505",12301068
118,"6362,3552246927",12310038
119,"6351,3492051603",12372915
120,"6331,8381979457",12329047
121,"6343,9756330241",12310046
122,"6330,8555414127",12300902
123,"6365,6553902141",12280871
124,"6348,3877396837",12353486
125,"6364,5475283016",12329313
126,"6370,1438255216",12332830
127,"6350,4428176157",12309580
128,"6324,9867174337",12335412
129,"6300,7784406322",12306247
130,"6303,05098201",12282730
131,"6296,6236215063",12282031
132,"6300,9291553524",12284837
133,"6283,5001481756",12346503
134,"6279,0288240866",12338893
135,"6301,2028306525",12311456
136,"6309,6474143274",12271393
137,"6306,2212745856",12286607
138,"6280,4341115449",12330809
139,"6259,072508917",12357068
140,"6259,7360123736",12225154
141,"6244,6045964637",12248641
142,"6216,5671261637",12306517
143,"6208,7158761459",12314222
144,"6206,4330554339",12305504
145,"6222,8033465836",12354865
146,"6198,7036687683",12361661
147,"6205,6835253657",12359266
148,"6219,1812465286",12321072
149,"6223,8623098436",12269585
150,"6225,4604141375",12246215
151,"6210,4026998013",12158203
152,"6187,9197857163",12221877
