Period,Mean real labour income,Total workers
49,6368.9065332604,11004289
50,6691.6267211456,11039157
51,6984.1911310188,11069835
52,6967.8308273951,11079853
53,6546.8359095505,11091626
54,6356.2046503346,11171229
55,6421.7509021331,11262070
56,6485.7556979743,11267048
57,6583.2437564606,11118502
58,6550.8123021847,11135499
59,6730.5417200481,11142497
60,6722.1339140824,11181611
61,6643.9742604885,11195427
62,6608.6374037279,11278619
63,6673.6069185641,11305642
64,6695.4379264594,11294952
65,6713.6199943008,11389827
66,6738.1614405918,11389288
67,6730.3819615687,11394486
68,6758.5027259329,11477092
69,6764.4846615146,11465606
70,6751.9107913186,11455713
71,6757.1486861399,11497861
72,6774.7580175562,11636381
73,6761.5511584685,11646065
74,6784.5206605682,11654619
75,6798.3798242389,11651858
76,6807.2820136101,11671844
77,6823.8801108164,11704665
78,6855.4819039721,11729914
79,6854.552869364,11733140
80,6898.5073928792,11772117
81,6873.3683404619,11855159
82,6898.5027044172,11791923
83,6910.0994582052,11878746
84,6955.2344492964,11851144
85,6940.8240293374,11971424
86,6958.0503056109,11941745
87,6950.6158774347,12027617
88,6933.798300038,12082593
89,6964.7897008476,12105149
90,6960.0309032726,12166073
91,6981.8006813407,12207693
92,7001.5789902913,12193869
93,7005.7180690024,12206564
94,7005.8078502378,12228951
95,7030.2092788599,12234005
96,7029.4202354912,12320860
97,7057.8291668408,12302176
98,7055.3043269901,12330638
99,7081.5472433969,12339883
100,7091.7570059889,12376660
101,7097.3773301197,12362605
102,7105.5298579836,12338893
103,7114.2697687542,12424946
104,7121.3428506171,12435652
105,7115.6899420418,12555030
106,7128.6886905909,12536444
107,7172.0231285629,12516152
108,7193.8112166499,12528971
109,7222.4657600508,12570335
110,7229.8405374756,12596579
111,7226.6407389522,12684335
112,7227.6968203198,12692060
113,7260.9590262871,12655361
114,7285.2347626268,12670507
115,7279.6454821016,12738268
116,7313.450609854,12740130
117,7319.5745270224,12800375
118,7346.1256794654,12743580
119,7380.8442127895,12773869
120,7369.2062643988,12759764
121,7350.8798854051,12755094
122,7384.6985490097,12735201
123,7395.9282319333,12769140
124,7390.3951718766,12837961
125,7393.3228326511,12854424
126,7429.1250360106,12799237
127,7457.0878106445,12732377
128,7460.3378708255,12797168
129,7463.8447774459,12889310
130,7479.0794146953,12835491
131,7487.7154586569,12838746
132,7494.6070639495,12847954
133,7531.6177484579,12809372
134,7510.187526124,12803827
135,7548.4900474517,12829593
136,7568.5910004547,12847299
137,7549.0906667027,12971381
138,7548.5386498043,12920131
139,7546.3325970255,13030668
140,7559.9656151426,12987299
141,7588.7572765079,12930275
142,7612.1589999615,12926907
143,7620.1876404091,13008730
144,7640.5617133629,12995289
145,7645.7898886079,13044383
146,7639.9478093168,12987072
147,7642.6815916855,13050818
148,7674.7623326191,13028898
149,7694.9330073491,13026717
150,7719.9899856682,13074466
151,7714.7398148417,13058293
152,7736.8732403028,13053750
