period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
140,3804541.997918196,2397008.538458281,941799.06423025,341348.909106461,0.0,9073.554779205,77994.467614359,19088.86754625,12462.581030220334
141,4657313.937825796,2452700.503024082,884467.7992166401,338695.269348744,817682.7177142,13608.749441228332,89516.10696450902,34561.960427519996,14802.640997288667
142,3883119.6826721323,2587350.129651372,804908.0725740109,343261.77925057407,0.0,21078.668570568,83060.867243691,23050.741489083,12782.053018984
143,3781081.17022483,2505639.744958235,784529.5012745819,336995.10030182,0.0,10587.97035246933,84144.597259146,38635.054469088005,13136.340337278001
144,3872551.433829262,2519637.022076848,877213.392473782,339646.58075479994,0.0,12514.095975463331,86950.327360716,21247.766649018,14289.042656811996
145,4573823.386267948,2408359.554906047,848177.9280264222,338718.6556893,811397.3141583949,14031.316633728,108149.732537805,27934.617543552005,16125.955316258669
146,3827466.4034642,2584504.1956813517,778045.643800785,342584.99544471706,0.0,14828.341141133333,73874.58370568999,22485.455396619,12017.824867086001
147,3696253.0693355994,2420056.699777394,779983.968622311,338274.9177393849,0.0,17548.382874717332,96036.225707724,30471.977983629,14963.42369516
148,3747323.7935187765,2485136.3806357295,768597.0348535,345256.741396611,0.0,14319.125048514,85596.370437213,25318.746064770003,14698.072527768001
149,4540212.833695771,2471151.5133972084,740980.998211112,341236.724683556,804004.7218419627,10301.760547281001,111657.956212296,29301.18350016,14984.180915989333
150,3845202.535791392,2585313.851842706,760108.459957761,349759.95174210006,0.0,14226.294051666668,85140.07427634901,29853.538060167,10775.212456988334
151,3708784.383395647,2452334.409795184,739882.2624875769,343515.604671694,0.0,14195.521446974999,108286.660178661,29750.395680321002,13126.666776384334
152,3784389.322630972,2477125.997068701,821172.822874254,348568.75651028194,0.0,12311.810359185,74893.01332833299,28524.105754155004,11569.475996092668
