Period,AUH
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,108595.32684000001
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,4280674.31472
69,3919088.000826666
70,0.0
71,0.0
72,0.0
73,0.0
