Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65,Total_pensions_post-2016_cost
133,0,2717905.92624932,4234471.2071413,96134.7577393272,0,0.030150317143105,0,43377,34197073.2320337
134,0,2700232.59790494,4143556.56373088,75262.738627739,0,0.029949986990836,0,43397,34921919.0012388
135,0,2631199.18967647,4035465.5554,73892.0295949568,0,0.030402771762668,0,43410,34385785.7556964
136,0,2645569.67598515,3900407.84468587,53002.5257885099,0,0.03204980401199,0,43438,35169758.6810357
137,0,2596942.63595268,3807215.90132001,77424.782575633,0,0.030030289917785,0,43483,34571971.7645079
138,0,2559993.99518744,3580523.39616816,44906.6766323352,0,0.029278825392256,0,43502,35372062.0122767
139,0,2478484.76590191,3317126.01878837,45755.3755005279,0,0.028247938159143,0,43515,34924402.2491455
140,0,2512502.42978098,3159369.48056548,49293.8045431557,0,0.029205875602479,0,43527,35796743.2911639
141,0,2480857.84874776,3117049.96938835,54986.8861942763,0,0.027597495835966,0,43523,35124476.1082376
142,0,2481016.55745874,3126220.54811523,35211.7649659876,0,0.028311628707475,0,43525,35902190.9810126
143,0,2395076.57199911,3113065.78496871,29999.5694244351,0,0.02938231339227,0,43523,35448012.9586205
144,0,2367419.28206066,3001360.4691825,29700.6565132908,0,0.029805578553687,0,43510,36344583.5462049
145,0,2289725.87073445,3018871.15419705,34501.9245131736,0,0.027237131669954,0,43516,35946343.7279779
146,0,2272576.19979585,2895172.68450349,32168.585872916,0,0.025812155956761,0,43528,36878215.1427954
147,0,2213833.34043729,2830016.83673217,32153.6374444001,0,0.02646782593847,0,43533,36431062.851244
148,0,2221800.69010267,2663340.23750351,33203.6754112998,0,0.026536352530045,0,43551,37339961.7507801
149,0,2102762.46818429,2487741.55808926,33073.7681476838,0,0.026089180663313,0,43540,36806112.1759668
150,0,2105863.96768595,2415209.20593666,29582.2215165518,0,0.025788697231049,0,43509,37467414.7712463
151,0,2060973.92454022,2344600.53705411,27703.3943734264,0,0.025649746336763,0,43510,36957756.7514925
152,0,2057678.32415788,2231191.65427314,25691.031368312,0,0.027558721275333,0,43508,37930394.6675206
