Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,993475,1174868,1007284,1009891,854454,814474,671578,634849,549119,511357,423325
50,979870,1190435,1012457,1006139,846039,833534,677107,631047,550947,516360,428504
51,990203,1188452,1019856,1006986,854066,837964,680923,623304,568946,510834,427924
52,988655,1208893,1023840,1001419,855840,837798,687591,633013,577574,501848,426919
53,986858,1226164,1026018,988457,868187,851869,683188,627284,582728,505034,429381
54,965170,1258448,1017894,1000593,872125,844152,693982,628458,583518,501815,433554
55,942252,1269007,1023509,995506,881640,857845,692166,637233,585039,502888,442707
56,951157,1283643,1021315,996811,889810,856785,715066,633173,575336,510197,444401
57,954600,1268718,1038506,1000148,901032,849232,712030,645476,570299,510389,453582
58,961694,1248540,1079282,994719,906605,831166,731771,637880,588261,496567,458675
59,958283,1249942,1094497,990241,906186,839338,732316,646085,588413,502255,459479
60,946680,1268475,1095287,975899,929363,833296,744569,639783,590197,509759,459147
61,940699,1271400,1096677,972022,938454,835700,760028,636344,590324,510242,461123
62,931664,1268763,1112358,966530,948012,853347,752630,637563,593876,509509,465123
63,938623,1262673,1118976,975404,943510,856591,767566,635827,598804,506219,469967
64,934733,1261338,1133189,976739,951381,855646,772345,626718,611857,509963,468112
65,927316,1242713,1157226,964198,965963,856735,772325,637885,614487,511528,460029
66,927696,1230192,1170928,960267,987276,854242,762837,651215,615499,511396,464566
67,921166,1230330,1180272,958954,998067,853511,775830,644047,628416,499551,479395
68,914773,1242089,1166383,980061,1000041,840994,799639,645496,622147,508535,465498
69,895519,1239039,1164999,1001564,1007217,843334,797479,660549,614515,515384,461045
70,895522,1226557,1179198,1006737,1004116,837169,812683,667766,610951,518411,465090
71,898562,1219834,1177177,1015044,1004556,844892,817575,673008,602955,533366,459972
72,886253,1230267,1198333,1018652,999057,846639,819183,678114,611271,542632,454930
73,901174,1218229,1211650,1022268,984857,858550,835698,670784,604274,550658,459782
74,891973,1206035,1246776,1011142,996402,862827,828561,681154,602623,551281,458362
75,886955,1190426,1257560,1017404,990459,871935,842574,678886,613834,551984,457200
76,885621,1173391,1272228,1015313,990221,882363,841460,701588,610099,544383,461431
77,891364,1171769,1256740,1029334,993707,894664,835490,697101,623960,540938,457305
78,895025,1168227,1236237,1072831,988120,900576,818543,718099,615631,557982,449420
79,888033,1170754,1238628,1088353,982924,899767,825454,718082,624380,554986,453323
80,873471,1160952,1257531,1089477,969873,922927,817327,731197,620600,555071,460075
81,877162,1148283,1260788,1090490,967387,931849,822911,744374,618418,555994,462415
82,871414,1137262,1259560,1105753,963149,941630,840117,738469,620575,557461,461905
83,884688,1141443,1253792,1111890,974070,935037,842901,753383,619021,562260,462126
84,884161,1139053,1256118,1122551,975405,944703,844564,756485,606754,577639,462416
85,886736,1138837,1237493,1146676,962464,959440,846566,755010,617633,577691,462033
86,903909,1140839,1224767,1161385,957435,978376,841852,744436,630157,579095,458779
87,918656,1128531,1223197,1171138,955056,990066,841123,757664,621447,591480,448433
88,903899,1127981,1234311,1160128,974093,990648,827976,782260,620190,584519,458961
89,881181,1132008,1230435,1158317,995404,997051,832409,777674,633229,579995,465131
90,878802,1135869,1217227,1173584,1000059,993849,826386,793798,643300,573565,471805
91,886744,1138160,1209788,1174567,1005388,995859,832539,799298,645449,565875,488581
92,893832,1114153,1217776,1196326,1007837,990283,833601,802031,650782,573705,495985
