period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17715077.2738658,17023138.2920745,17764695.9792755,17069779.8719965,14752662.7530205,2270475.53905399,14799304.4887852,2270475.38321131,0,0,0,0,0,0,0,0
50,20422728.9322322,19622753.497344,20483158.4850755,19679557.2729442,16969923.6244265,2652829.87291751,17026727.6349372,2652829.63800703,0,0,3407163.97745478,3216614.39350079,3417235.56887325,3226081.68873375,0,0
51,19803719.1158042,19026235.0008887,19865407.0459477,19084221.6498601,16392319.2574884,2633915.7434003,16450306.3186322,2633915.3312279,0,0,0,0,0,0,0,0
52,21428379.1404231,20585898.0912764,21496797.3119431,20650211.1656782,17680801.3463609,2905096.74491556,17745114.9528857,2905096.21279253,0,0,3574736.3849111,3375531.55095521,3586139.41228729,3386250.39553855,0,0
53,18797742.1899396,18060281.6286512,18858938.5397895,18117806.1833085,15421030.2363448,2639251.39230634,15478555.6694094,2639250.51389915,0,0,0,0,0,0,0,0
54,19382687.5525317,18620358.8446116,19446149.3542851,18680012.9219516,15814084.2807096,2806274.56390204,15873739.5225746,2806273.39937699,0,0,3233501.56921593,3054064.64965716,3244078.5332833,3064006.99388842,0,0
55,18442646.5219568,17716064.9270045,18504208.7290936,17773933.38569,14992925.8929448,2723139.03405973,15050795.6235362,2723137.76215387,0,0,0,0,0,0,0,0
56,20186871.1371618,19389279.066938,20255680.4692357,19453959.8223733,16313964.4448173,3075314.62212071,16378646.4843681,3075313.3380052,37448.33092,36324.8809924,3367062.9983022,3180768.59873019,3378531.21735101,3191548.72259913,6241.38848666667,6054.14683206667
57,19311477.8338228,18548362.9950064,19378522.2419953,18611384.7240471,15547749.2542695,3000613.74073687,15610772.1118894,3000612.61215776,68744.540592,66682.20437424,0,0,0,0,0,0
58,20633380.4702263,19816190.7984702,20705686.4972351,19884158.4484185,16527025.6646568,3289165.13381337,16594994.4232311,3289164.02518744,105406.354872,102244.16422584,3441144.83158192,3251514.99575026,3453195.83334581,3262842.93555063,17567.725812,17040.69403764
59,19837109.2724429,19050816.2848852,19908872.5710685,19118273.7708856,15827856.7204382,3222959.56444695,15895315.2387887,3222958.53209693,149637.759648,145148.62685856,0,0,0,0,0,0
60,21578716.4348288,20722121.9192228,21656132.168024,20794892.6934355,17142566.4692787,3579555.44994411,17215338.3130264,3579554.38040909,192607.56152,186829.3346744,3598307.50434178,3400899.20344715,3611210.12388303,3413027.66404549,32101.2602533333,31138.2224457333
61,20064753.7228491,19268521.9905038,20136272.9711043,19335750.0701767,15878900.8101863,3389621.18031749,15946129.8349878,3389620.2351889,206676956,200476.64732,0,0,0,0,0,0
62,19904810.2337725,19113901.6536907,19977163.5028811,19181913.7145776,15701785.2944144,3412116.35927626,15769798.1683064,3412115.54627116,226116.875776,219333.36950272,3320161.85809307,3138147.15186508,3332220.73413685,3149482.49398375,37686.1459626667,36555.5615837867
63,18906914.9960232,18156227.3782306,18976423.7722141,18221565.6170531,14847657.2281773,3308570.15005331,14912996.1501358,3308569.46691735,241456.256,234212.56832,0,0,0,0,0,0
64,17365128.3282013,16677590.729053,17429023.8424382,16737652.5033834,13603317.3028176,3074273.4262354,13663379.6347297,3074272.86865372,243263.38608,235965.4844976,2897731.38227669,2740161.54027568,2908380.6330445,2750171.83440605,40543.89768,39327.5807496
65,17250312.5410154,16566236.0419104,17316619.1303179,16628564.2268742,13529157.2419431,3037078.79996734,13591485.9986757,3037078.22819856,197333.387804692,191413.386170551,0,0,0,0,0,0
66,17442924.2383518,16749686.652335,17512968.5409844,16815528.2877301,13677910.0792307,3071776.57310437,13743752.2896774,3071775.9980527,197040.835461422,191129.61039758,2910514.08543674,2753145.60936511,2922188.13426565,2764119.21366876,32840.1392435704,31854.9350662633
67,17820336.4861217,17111064.9288588,17893233.2050925,17179587.8353809,13951409.1422612,3159655.78659756,14019932.6435585,3159655.19182241,220076.30703952,213474.017828334,0,0,0,0,0,0
68,17603838.5591884,16902565.0802647,17678541.0427344,16972785.4054402,13770250.7012874,3132314.37897736,13840471.6174459,3132313.78799435,235773.572395275,228700.365223416,2937409.77526055,2777144.45992519,2949860.18752571,2788847.84581113,39295.5953992124,38116.7275372361
69,18031887.9492867,17313285.5568132,18109165.8986733,17385926.8197954,14100513.5998894,3212771.95692381,14173155.4432905,3212771.37650495,256131153,248447.21841,0,0,0,0,0,0
70,18667787.7684426,17932718.2584096,18714641.3341637,17976124.0405653,14458323.9502522,3474394.30815741,14528771.1440885,3447352.89647674,296363.212304,287472.31593488,3114738.71765975,2940094.42229436,3122453.70382245,2947255.38604081,49393.8687173333,47912.0526558133
71,18481855.1360477,17753185.7887169,18530073.9191256,17797880.701801,14236605.5659075,3516580.22280947,14308094.3840819,3489786.31771911,310929.870824,301601.97469928,0,0,0,0,0,0
72,18209330.4324535,17489635.4076982,18257982.1896213,17534761.7359925,13961730.2079224,3527905.1997758,14032744.0694299,3502017.66656258,342453.9024,332180.285328,3037664.41637151,2866857.12866555,3045683.93136962,2874309.00388993,57075.6504,55363.380888
73,17239218.1404674,16554756.772935,17290443.578444,16602372.9435856,13198181.1536307,3356575.61930423,13266336.0471831,3336036.89640247,347937.53072,337499.4047984,0,0,0,0,0,0
74,18728613.3437759,17984543.903926,18787776.1526081,18039623.0626533,14285254.3962996,3699289.50762634,14361096.5070746,3678526.55557875,388412.746776,376760.36437272,3124516.2174022,2948385.59697405,3134293.43431315,2957495.39557055,64735.457796,62793.39406212
75,17571405.6767122,16871588.4657438,17630644.6763706,16926850.7054628,13388103.2748788,3483485.19086504,13459874.070188,3466976.63527482,388938.603272,377270.44517384,0,0,0,0,0,0
76,20402097.6101776,19589665.0083679,20473551.8982676,19656357.9086019,15503738.6270466,4085926.38132129,15588517.4995479,4067840.40905401,491741.650512,476989.40099664,3402700.40176773,3210471.82088542,3414532.45710597,3221519.51063577,81956.941752,79498.23349944
77,19298723.7303158,18527214.3585407,19368200.8738235,18592077.2223685,14643401.8427079,3883812.51583285,14725264.8932367,3866812.32913186,469136.080816,455061.99839152,0,0,0,0,0,0
78,21287578.2604707,20435819.3497412,21364156.2283397,20507312.0136273,16103586.4325227,4332232.91721851,16193794.9360059,4313517.07762145,542646.319824,526366.93022928,3550280.23973371,3349337.7759619,3562963.56472586,3361183.07094805,90441.053304,87727.82170488
79,20275485.263166,19460800.4960548,20350212.287252,19530610.3995209,15240253.2973814,4220547.19867349,15326587.6157891,4204022.78373175,523985.038408,508265.48725576,0,0,0,0,0,0
80,21861323.4571805,20982078.5627918,21943025.2681584,21058411.0727973,16377111.1051381,4604967.45765376,16471181.9778665,4587229.09493085,598139.538656,580195.35249632,3646120.25444092,3439408.12467253,3659655.90513301,3452053.01186561,99689.9231093333,96699.2254160533
81,20909528.2326818,20065765.2151204,20988929.2297855,20139958.4472362,15605797.9049852,4459967.31013517,15696837.7391762,4443120.70805994,578594.197888,561236.37195136,0,0,0,0,0,0
82,22771023.6059391,21852063.0922259,22854640.258399,21930145.5287852,16944930.6425955,4907132.44963038,17042739.3390959,4887406.18968926,629134.03608,610260.0149976,3797874.04758782,3582023.35667916,3811726.15865692,3594963.12555113,104855.67268,101710.0024996
83,21714983.8449071,20838048.500488,21797384.0946409,20915075.9665306,16104973.4057361,4733075.09475195,16198166.0792181,4716909.88731245,639158.337168,619983.58705296,0,0,0,0,0,0
84,23464545.1682335,22514782.1060987,23555235.1220001,22599573.186359,17350760.865472,5164021.24062675,17452821.622587,5146751.563772,703522.91304,682417.2256488,3911178.60874899,3687831.22797897,3926218.1914368,3701895.55764884,117253.81884,113736.2042748
85,22544632.8096313,21632227.1697869,22632720.6629606,21714590.3169246,16646232.5271994,4985994.64258745,16745184.293538,4969406.02338653,702385.972512,681314.39333664,0,0,0,0,0,0
86,24254311.3915118,23271255.2883985,24353265.4319587,23363877.5473339,17836535.4520015,5434719.83639709,17944531.9233585,5419345.62397542,769830.26688,746735.3588736,4045286.3810575,3814318.346471,4061714.63363186,3829698.65065965,128305.04448,124455.8931456
87,23554998.9003838,22597897.3963,23652374.3963237,22689049.7482426,17264530.9102398,5333366.4860602,17370514.8587385,5318534.88950415,768358.0912,745307.348464,0,0,0,0,0,0
88,25057437.6932699,24037936.6450762,25162740.8987959,24136518.1806182,18331892.2337625,5706044.41131372,18446187.1973048,5690330.98331342,880329.357856,853919.47712032,4177447.79861976,3938601.95998989,4194932.78994408,3954975.34166072,146721.559642667,142319.912853387
89,24426343.0985601,23430391.8746821,24530007.72971,23527444.2071739,17863349.741759,5567042.13292316,17975683.7319164,5551760.47525743,926982.973488,899173.48428336,0,0,0,0,0,0
90,26045934.6737522,24983123.2147074,26157416.6225731,25087499.8216638,19004650.6597786,5978472.55492877,19125243.7003645,5962256.12129926,1089390.580992,1056708.86356224,4342127.37238368,4094297.09850572,4360640.04828528,4111634.19193467,181565.096832,176118.14392704
91,25512397.3657645,24470545.4176392,25623024.7742433,24574137.5686236,18572900.515072,5897644.90256719,18692034.7798122,5882102.78881132,1111154.92848,1077820.2806256,0,0,0,0,0,0
92,26814459.8290381,25718082.7844399,26931140.8509984,25827357.5208594,19534751.4022102,6183331.38222971,19659879.0663966,6167478.45446277,1260000.34964,1222200.3391508,4469820.94637104,4215004.84062602,4489202.19034553,4233160.68676335,210000.058273333,203700.056525133
93,26533603.3018687,25446682.0577806,26650601.911556,25556265.2923377,19290952.6309338,6155729.42684679,19416031.1584236,6140234.13391413,1367600.70024,1326572.6792328,0,0,0,0,0,0
94,27856120.6438966,26714163.6528766,27982024.5162881,26832179.3618787,20217399.8843926,6496763.76848408,20349004.7049325,6483174.65694621,1522758.01216,1477075.2717952,4644708.11366111,4380908.99345135,4665639.36789863,4400534.55767385,253793.002026667,246179.211965867
95,27584434.581086,26451983.3493944,27709590.5635658,26569327.8779064,19959557.1213918,6492426.22800268,20089429.0199446,6479898.85796177,1579170.920184,1531795.79257848,0,0,0,0,0,0
96,28340301.9326387,27176949.1041851,28468994.8747037,27297610.6172165,20474755.7444988,6702193.35968631,20608266.335146,6689344.28207048,1699752.215616,1648759.64914752,4724123.13286268,4456143.20367768,4745523.58636215,4476214.04629627,283292.035936,274793.27485792
97,28092448.9675692,26938650.7445725,28220305.6871348,27058530.0349616,20262821.0550269,6675829.68954553,20395390.727791,6663139.30717066,1738570.35408,1686413.2434576,0,0,0,0,0,0
98,28581608.9560646,27408543.8938239,28712773.6726083,27531526.7339761,20626208.8128483,6782335.08097556,20762129.5094357,6769397.22454035,1817531.8488,1763005.893336,4764156.57369427,4494242.39405442,4785968.65539892,4514699.85223463,302921.9748,293834.315556
99,28358777.6803857,27193545.9509189,28488141.1130748,27314839.0739841,20453408.7391822,6740137.21173673,20587481.2641414,6727357.80984273,1878499.546672,1822144.56027184,0,0,0,0,0,0
100,28960107.442695,27770767.1390568,29092700.4146861,27895085.8422594,20938741.1991524,6832025.93990446,21076072.4192801,6819013.42297936,1998002.13984,1938062.0756448,4827374.5558226,4554532.35616211,4849423.53088239,4575212.2950252,333000.35664,323010.3459408
101,28791435.4825356,27607699.6238178,28925107.5794015,27733110.826104,20752045.9716298,6855653.652188,20887910.2881653,6845200.53793864,2064272.383824,2002344.21230928,0,0,0,0,0,0
102,29528586.8361789,28313469.9782854,29665726.8144707,28442136.4119569,21273104.2214214,7040365.75686406,21412422.6698895,7029713.74206745,2181376.991824,2115935.68206928,4919528.3312062,4641441.66032924,4942348.22331154,4662859.0323458,363562.831970667,352655.947011547
103,29323099.0818692,28116645.6328391,29461804.088959,28246865.2636922,21145563.1800795,6971082.45275962,21283796.318742,6963068.94495023,2267814.186352,2199779.76076144,0,0,0,0,0,0
104,29995941.3602748,28760674.64194,30137476.808957,28893551.6497195,21594190.5052361,7166484.13670385,21735240.1432022,7158311.50651729,2434260.410624,2361232.59830528,4998638.85273464,4717068.03803955,5022205.34987171,4739200.57874321,405710.068437333,393538.766384213
105,29754665.5187117,28528840.5330339,29895366.7476735,28660964.2300436,21426691.5061788,7102149.02685509,21565955.6455003,7095008.58454327,2487967.141296,2413328.12705712,0,0,0,0,0,0
106,30417738.6235618,29164644.7576532,30560757.6349915,29298949.7692724,21867188.7501231,7297456.00753005,22008639.8767558,7290309.89251659,2613276239,2534877.95183,5066286.75286908,4780647.95524946,5090106.496926,4803024.13199878,435546.039833333,422479.658638333
107,30161803.0177715,28918540.7552106,30303576.5137207,29051678.0781472,21667809.9126198,7250730.84259081,21808005.8577253,7243672.22042187,2637269.965584,2558151.86661648,0,0,0,0,0,0
108,30835175.5339353,29563837.7185219,30979621.1043153,29699490.6914863,22185648.9926378,7378188.72588418,22328300.6258884,7371190.06559791,2748631.502848,2666172.55776256,5138486.07237185,4849932.97830048,5162544.87676525,4872534.86493531,458105.250474667,444362.092960427
109,30550121.0901996,29289658.6168867,30693771.9914925,29424566.1553191,21947418.804177,7342239.81270963,22089238.5634136,7335327.59190544,2802271.4522,2718203.308634,0,0,0,0,0,0
110,31230424.9790812,29940903.3275465,31377371.8345373,30078913.7121136,22433419.4239556,7507483.9035909,22578248.4012908,7500665.31082271,2931624.3144,2843675.584968,5202168.34127839,4909723.06201963,5226645.16501645,4932719.23355177,488604.0524,473945.930828
111,31002833.7777857,29720988.4084119,31149813.0930604,29859093.8645549,22260389.9179806,7460598.49043125,22402967.0984675,7456126.76608738,2950401.643728,2861889.59441616,0,0,0,0,0,0
