period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,
91,2588423,1252544,963729,270916,0,7755,49069,35202,9291,2588506.14849632
92,2600099,1309708,927471,268434,0,8147,49753,27207,9188,2599907.3470956
93,3111184,1255577,933650,264062,556228,7028,51780,33527,9090,3110942.61944401
94,2596086,1345890,879849,263864,0,7393,58652,31844,8348,2595840.43923647
95,2563223,1277863,912233,261998,0,5591,70994,22373,9318,2560370.24450987
96,2502540,1249146,902526,262609,0,5919,55413,22076,9542,2507230.46746263
97,3069521,1254968,899256,261395,542925,11517,53760,33422,8374,3065617.5900271
98,2544000,1238731,931938,261930,0,9248,46441,49032,7801,2545122.05047545
99,2531987,1230585,936681,258691,0,5303,46224,45894,6891,2530269.91976634
100,2582153,1310016,912701,257297,0,6820,57187,32587,9066,2585672.560243
101,3091411,1293026,862065,259030,543370,6056,66893,49144,9067,3088650.35260981
102,2514204,1264255,886413,256081,0,6244,45066,47135,7440,2512634.64379335
103,2506290,1265003,873441,253484,0,8788,49945,45260,6435,2502356.63070176
104,2484196,1242499,881458,251376,0,5040,62518,28323,9564,2480778.60298224
105,3077357,1225943,943822,248078,543061,7513,63891,35719,10111,3078138.34422211
106,2506608,1250930,900948,247126,0,5677,48595,46787,7674,2507735.93599368
107,2493507,1259448,878124,246370,0,10511,56768,33790,9638,2494650.20123423
108,2514042,1281865,868334,244097,0,7716,62343,40329,10573,2515257.50198769
109,3014329,1275612,859058,244156,531672,7778,41222,42322,7637,3009457.30972178
110,2432886,1221608,851633,245573,0,9630,53334,44022,7922,2433722.02678528
111,2484998,1264212,861498,241560,0,10196,52444,42865,8125,2480900.01084884
112,2487258,1281226,855131,240628,0,7293,63939,32089,9367,2489672.46667204
113,3043846,1250976,903134,241474,541350,10624,53958,34263,9137,3044916.57120274
114,2519622,1301809,864665,242239,0,9361,53409,42410,7769,2521660.30367489
115,2508052,1285497,878509,239787,0,6753,43415,43076,8130,2505168.66220808
116,2448488,1222321,867717,239077,0,7384,61156,39165,8842,2445661.81626786
117,2940118,1249770,824015,236648,516160,5622,55076,38950,10073,2936313.72052695
