Period,Mean real labour income,Total workers
49,"6368,9065332604",11004289
50,"6691,6267211456",11039157
51,"6984,1911310188",11069835
52,"6967,8308273951",11079853
53,"6546,8359095505",11091626
54,"6356,2046503346",11171229
55,"6421,7509021331",11262070
56,"6485,7556979743",11267048
57,"6583,2437564606",11118502
58,"6550,8123021847",11135499
59,"6730,5417200481",11142497
60,"6722,1339140824",11181611
61,"6643,9742604884",11195427
62,"6608,6374037279",11278619
63,"6673,706535316",11305467
64,"6707,2453410185",11298518
65,"6734,9865519495",11397825
66,"6777,5027356154",11404929
67,"6796,6256514435",11415016
68,"6841,7277094702",11496650
69,"6833,5172558055",11529198
70,"6883,7657846367",11571754
71,"6890,9248574512",11638399
72,"6940,567309837",11652733
73,"6931,3371774517",11693969
74,"6938,8078475452",11758139
75,"7006,5564185622",11749339
76,"7053,9081145507",11759353
77,"7043,8093663136",11857690
78,"7094,7430121405",11867550
79,"7134,157220002",11906136
80,"7175,0603034167",11880720
81,"7181,3874445976",11914866
82,"7186,6069251795",12020203
83,"7193,3880837263",12067978
84,"7265,2552113856",12049445
85,"7279,3254109701",12162033
86,"7309,8989774617",12217730
87,"7326,4486004023",12252663
88,"7374,9560678336",12245450
89,"7422,1159680487",12251579
90,"7441,5299383651",12327032
91,"7477,348641503",12417548
92,"7521,3869633777",12512543
93,"7534,0483921979",12560336
94,"7588,1096921548",12554154
95,"7595,4402643969",12653475
96,"7645,9571850298",12613364
97,"7682,5873557154",12620468
98,"7701,8318291542",12711581
99,"7748,860489302",12741249
100,"7780,0019417432",12762935
101,"7835,9419592956",12775739
102,"7841,0515558508",12836614
103,"7866,1414780442",12902596
104,"7910,4653622929",12906477
105,"7948,2381187136",12991647
106,"7974,1615860912",13003846
107,"8057,7942340733",12967558
108,"8070,5158707333",13042453
109,"8135,6913984805",13048276
110,"8151,9571948656",13107930
111,"8176,4243790837",13202316
112,"8217,9534878478",13130352
113,"8255,6695586015",13127954
114,"8270,7470397419",13149232
115,"8275,7703420633",13158523
116,"8328,8435239646",13237452
117,"8375,9336247678",13186773
118,"8385,6616115381",13270448
119,"8416,1430047945",13308919
120,"8453,907629901",13375499
121,"8477,8667154085",13387490
122,"8535,714895134",13368898
123,"8564,0372166035",13366061
124,"8619,1654478226",13351862
125,"8673,6658977269",13350753
126,"8674,6080877603",13366652
127,"8710,2037021326",13343387
128,"8750,4141983802",13358980
129,"8748,1525262387",13421103
130,"8779,7028414682",13477014
131,"8796,3005611408",13512216
132,"8873,1027321216",13581169
133,"8946,853186561",13484461
134,"9004,6736353371",13465932
135,"9003,6199460185",13588712
136,"9034,9026918154",13594562
137,"9103,1408866779",13621440
138,"9111,309171705",13610392
139,"9128,2223357134",13649032
140,"9180,8550903772",13645974
141,"9201,2230420966",13707158
142,"9244,6274620822",13748092
143,"9349,2827877636",13754669
144,"9390,1764048026",13758759
145,"9397,0952085962",13766070
146,"9404,1233154491",13779309
147,"9454,194703762",13813609
148,"9457,2204000581",13874418
149,"9544,4976654456",13854659
150,"9573,5443482694",13848453
151,"9582,2529877342",13924031
152,"9629,7536827576",13940477
