Period,0,[1;5[,[5;10[,[10;15[,15,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[,[70;75[,[75;80[,[80;85[,[85;90[,[90;95[,100+
49,195587,917628,1127523,1139748,251166,993475,1173238,1007284,1009891,854687,814998,672116,633455,550174,513030,422931,269992,197564,134033,65172,22266,3321
50,195475,923708,1121482,1140328,254485,979552,1188805,1011894,1006565,846040,834158,677736,629982,553867,518553,427891,274878,194272,135216,65433,24548,3543
51,201159,917978,1126435,1142745,237429,989885,1186417,1016774,1007311,854067,838291,683190,622704,570728,512820,431197,279272,190959,137970,64602,23207,3183
52,207659,902264,1126991,1119051,249723,988337,1207683,1020503,1000973,856003,837851,690440,633289,576275,507327,428536,286449,187668,135255,66326,22263,5407
53,207517,895686,1127869,1119052,237207,986562,1224073,1025569,988832,869255,852787,684204,628303,580875,509985,428759,295235,189853,133883,72347,22197,5639
54,199091,892465,1129104,1112077,246677,964767,1256464,1013769,1000968,873193,845676,692110,631790,579555,503292,434345,299525,188501,139582,71797,22345,5049
55,183654,885239,1138000,1109955,254897,941849,1267039,1019187,995772,880938,858437,690500,641399,583169,502131,443915,297591,188977,134738,76361,21739,5277
56,183329,875555,1149965,1097898,232413,951067,1281367,1017215,995981,888734,860158,712835,636681,573707,510870,443532,301880,191585,129776,77252,22990,5277
57,177870,869812,1158139,1093389,226674,954853,1264722,1037230,996388,900892,853958,710689,647073,568692,514247,451452,304124,194062,128590,80822,25027,5277
58,191960,850153,1178795,1085789,216038,961947,1244834,1079953,989794,906248,835960,732291,639178,585538,501988,456462,310554,193070,130437,72949,28844,4044
59,207254,836726,1160541,1096081,220908,959571,1247225,1094577,985425,905015,841470,734485,646707,584504,506657,454259,319436,189325,134989,72701,26495,5672
60,209785,829355,1155670,1096846,223413,947510,1266264,1095674,970778,927569,835740,748023,640260,588059,509317,453796,326108,188061,133556,73784,27486,6581
61,211484,815975,1160388,1106622,213322,943231,1269235,1097148,968170,936524,839603,762830,638965,587768,514255,451610,332007,189697,124851,84370,25289,7314
62,182118,829555,1135496,1124858,211684,934315,1269046,1111172,962915,945260,857890,758175,637280,593382,515418,455483,330461,191459,124017,88679,24847,7410
63,173977,824801,1131273,1132113,209120,939131,1264660,1118702,969348,943033,858326,776031,634993,598635,511446,463202,331293,192880,125498,86899,24128,7741
64,170289,804383,1149984,1124042,212303,932837,1262458,1133376,969712,950511,859745,780126,627026,609555,515910,464414,339237,187008,127681,85722,24493,7373
65,167830,788800,1162122,1123825,218766,925420,1243833,1156355,958231,965595,859787,779819,637450,613781,518678,461470,341297,198543,130310,84351,26768,7435
66,183976,762655,1164799,1123163,220174,927291,1230592,1169180,954406,986524,858169,769368,651905,613595,516342,467126,351328,205210,132816,82741,26723,6175
67,177108,761936,1156465,1130356,212688,920994,1230497,1181218,951241,996591,857082,783782,645691,625014,503607,481057,353686,208355,136695,83793,27518,6253
68,192986,767489,1133282,1127309,218753,915322,1241868,1170072,972670,997638,843994,807795,645708,620252,513768,476621,366410,210258,137976,86172,26931,7184
69,201147,759363,1112707,1127264,240988,895437,1238638,1168937,993871,1004534,847000,803925,659365,612512,520123,473726,370171,214074,138735,82626,30100,7622
70,192287,750979,1118772,1121128,243126,893879,1227664,1184639,998671,1002276,837747,819914,665240,605648,523947,477734,376244,221332,134183,82972,30826,7757
71,194201,737667,1118866,1126110,242503,896919,1220941,1182602,1005983,1003428,846494,823889,670370,596600,538824,472734,378457,223650,133449,83116,30925,8125
72,179497,752436,1109744,1126666,231431,884297,1231036,1203626,1010275,997593,848234,823779,678506,605385,546566,464887,375273,230382,133305,80124,32912,8818
73,173314,754532,1101143,1127544,216511,899750,1218013,1218818,1016279,984143,861474,837819,672881,600735,552322,466354,377594,237979,133533,82584,33570,8818
74,165247,745881,1088590,1128779,218426,890860,1205546,1252180,1006871,996600,865638,831119,681892,603943,549117,461002,385657,241513,134789,85147,34752,8732
75,171113,749717,1066035,1137675,222107,885057,1191499,1261965,1014082,990079,874996,844940,678194,614689,551177,460597,393038,240329,134270,79621,39505,7437
76,176255,749044,1057155,1149640,211260,883847,1178430,1276164,1012111,989816,883439,848114,698804,611387,541566,467688,394870,245488,134715,79153,37991,9277
77,174349,750060,1046309,1157909,201011,889300,1176890,1260722,1032242,990978,894526,841102,693626,623852,536152,474999,401656,249898,134334,78690,39750,9707
78,185715,721508,1039421,1177683,189750,892961,1173252,1240544,1075379,985604,900662,823746,716362,615389,552536,463522,405740,256782,135448,80262,38051,11715
79,175688,714871,1042404,1159094,207772,885736,1176081,1240573,1091178,981235,900108,829501,720853,619509,553173,465128,403750,265931,128363,82776,37058,9014
80,168691,716413,1038024,1154223,223099,873065,1164867,1259884,1091979,968526,921873,826049,731152,612518,558395,462944,401590,271463,132714,79114,37293,11246
81,173060,713768,1026331,1158941,229184,876756,1152454,1262923,1093203,965918,930834,831003,743442,608569,556867,469599,399618,274940,132402,72354,40381,11792
82,175941,726296,1010265,1134049,253382,870794,1142069,1262689,1108837,961030,941120,849215,737036,607976,558227,472073,399104,272942,138019,69330,42466,13066
83,170429,715334,997752,1129826,247043,884388,1145385,1258360,1115869,966812,938490,849752,753338,607423,561657,470576,406029,272861,140544,68180,41195,10925
84,172619,715286,972500,1148209,239499,883861,1144199,1256054,1130543,967951,946011,850053,756394,599399,574497,473462,404465,280773,136192,72151,36713,12002
85,169134,719462,954230,1160347,235716,887174,1143096,1236790,1150540,954699,960889,850942,757385,611481,575991,474807,396472,282104,146475,75173,36907,11800
86,165636,717220,945736,1163024,218226,903899,1146356,1223317,1161608,950716,981820,849099,750745,621184,574578,476793,398738,284662,149063,75538,37598,11058
87,163471,708754,938248,1154690,210508,918387,1130992,1222985,1175163,945547,991826,850807,762659,614207,586178,459936,413570,281021,152184,76226,38282,11568
88,162712,694323,959781,1131507,221597,904538,1129604,1234356,1164017,967730,991408,837940,785640,616017,576447,468630,410544,289127,153083,75179,39734,11497
89,157928,686860,959854,1111267,243831,881106,1131914,1233873,1160711,987661,999275,838983,785458,629374,568409,475217,411123,292425,154651,77799,37735,12076
90,157413,689732,941472,1117332,240756,878045,1132233,1223781,1175855,992397,996816,829299,804780,635600,562459,481388,415158,294585,157402,78446,38018,11861
91,169577,677930,930159,1117656,237922,886181,1134330,1217058,1174148,999709,997408,838461,808874,643030,554568,496233,406613,296156,162844,77310,39180,11258
92,163006,677660,930290,1108534,229151,894117,1109506,1228259,1194687,1005777,990530,839272,805795,651381,563629,505092,401424,291048,167283,75129,38762,14145
93,162423,671701,926203,1099933,215489,908657,1108469,1215371,1209805,1011640,977081,852041,820201,646835,564125,505290,407196,294229,172171,75740,40481,12943
94,162332,681881,909712,1087741,224775,900606,1101338,1203784,1243382,1002017,989382,856324,813450,654320,566272,503889,400758,303988,173350,79764,41628,14094
95,164005,676441,919485,1065186,233672,901103,1098952,1189307,1253649,1008582,981678,864367,825191,653699,577232,504898,403881,308562,170666,80160,40929,15187
96,178948,664201,924018,1056306,234234,912506,1086895,1176117,1268088,1006618,983554,873231,826684,673011,575932,495596,409210,312753,172443,80473,39410,15589
97,185750,659633,922797,1045788,231048,923633,1082386,1174569,1253942,1026504,984043,885479,821726,670651,587260,486991,416877,320372,172982,83708,41447,15475
98,186224,658134,905679,1038622,238326,936129,1076934,1168504,1234119,1068812,976903,891296,801252,688195,578571,501106,404723,323968,179804,85014,41818,15601
99,183926,666420,886913,1041471,229198,927092,1088077,1171131,1235408,1083406,970667,890623,810858,688623,583679,502948,405686,325419,182212,83116,42376,15697
100,168489,675819,882031,1037091,227689,923626,1090620,1160113,1254523,1084612,959567,910880,808396,701393,578623,506692,407866,330016,185680,82312,39692,16512
101,168511,674011,883520,1025676,230273,925482,1100327,1148228,1256809,1087652,954757,918890,814482,713942,574292,508754,411226,329616,187059,82470,36329,21161
102,172516,670181,898802,1010131,209284,921058,1118563,1138178,1256273,1102930,951387,926793,833241,706457,576020,508406,411350,330538,185466,83795,33323,21185
103,175473,680307,883702,997618,216976,909894,1125328,1141258,1252585,1110494,957284,925588,834987,722959,572302,513360,410244,335252,188216,82861,33227,18377
104,176348,672172,884635,972366,233014,912567,1117257,1140444,1250695,1122820,958462,932727,838120,726392,566493,526681,412308,335642,191390,84458,34417,15472
105,171003,673570,885371,953508,237182,920537,1119476,1136833,1233169,1143862,947310,946817,838735,727986,576105,528203,415644,332168,187227,91602,36121,15338
106,164357,677348,879526,945014,247782,912675,1120150,1138876,1219660,1156335,943709,966946,837156,720835,582668,524860,414520,335084,194140,91297,38073,15205
