Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen
52,14197.868305514212,7968.0441521905832,6033.8800532665709,4538.7413628974036,3831.3699870603446,3807.9562004033623,3738.4412202512081,3738.4412202512081,3512.0428289661472,120.59455622943008,130685.0,395987.0,289008.0,421954.0,309593.0,537175.0,39398.0,0.0,972237.0,378916.0,0.0,3474953.0
53,12323.307632719163,6904.5849493772475,5276.9331771664602,3958.7753314675392,3324.1790825851767,3324.1790825851767,3279.0152107211861,3279.0152107211861,3041.0410084804739,109.35741786003187,133051.0,398579.0,296501.0,389886.0,334082.0,0.0,548092.0,0.0,984373.0,385444.0,0.0,3470008.0
54,12644.208373579684,7085.1692325194599,5427.9999919393722,4116.2871288280712,3427.0395267770105,3427.0395267770105,3362.8093794355023,3362.8093794355023,3123.3691757763227,115.51855183197587,137057.0,402921.0,297303.0,385681.0,326300.0,0.0,541431.0,0.0,974508.0,390205.0,0.0,3455406.0
55,11937.265549454807,6948.3792229414375,5381.1603158234639,3894.8653862715673,3242.5931763393646,3242.5931763393646,3181.8159297829452,3181.8159297829452,2957.1341925068705,112.53905265345141,141303.0,380449.0,324679.0,387198.0,323663.0,0.0,530534.0,0.0,960836.0,392088.0,0.0,3440750.0
56,12982.041422168742,7606.4290078810236,5994.5438041602092,4316.033051918238,3532.2750154266487,3532.2750154266487,3466.1144829919617,3466.1144829919617,3223.6425693736674,124.90706119839469,142594.0,379502.0,323384.0,388036.0,328129.0,0.0,524222.0,0.0,945535.0,396679.0,0.0,3428081.0
57,13220.165879539281,7558.7745881010687,5784.33548627446,4141.4015784757739,3358.3626194703097,3358.3626194703097,3295.5659174030357,3295.5659174030357,3025.8643240039974,119.48545381191585,112220.0,345764.0,403375.0,383552.0,322688.0,0.0,515347.0,0.0,938355.0,399090.0,0.0,3420391.0
58,14045.867916722191,8072.0754724515791,6222.9935805345813,4549.9080221086688,3615.4075036078452,3615.4075036078452,3504.7349264405048,3504.7349264405048,3227.3643357175579,129.96696683654758,113306.0,345987.0,402894.0,279751.0,403718.0,0.0,528600.0,0.0,921698.0,405286.0,0.0,3401240.0
59,13485.777517805056,7749.5676873116236,5987.3302877388041,4378.1852639428735,3456.4977070545547,3456.4977070545547,3351.0924671994226,3351.0924671994226,3091.7560801672948,127.69178149924838,114848.0,344099.0,407929.0,272428.0,403431.0,0.0,524548.0,0.0,912982.0,403595.0,0.0,3383860.0
60,14637.334304117197,8453.9128052094384,6537.7799834895895,4749.3399099305434,3748.9422163098748,3748.9422163098748,3634.0401598971071,3634.0401598971071,3362.3089867739641,141.30499291912068,114626.0,345795.0,412047.0,272639.0,399929.0,0.0,512917.0,0.0,903913.0,404486.0,0.0,3366352.0
61,13549.995183409404,7839.53091694875,6058.9301758594129,4396.5050652294631,3468.831455744184,3468.831455744184,3362.3104370145434,3362.3104370145434,3100.8214148573479,135.43463270527832,115725.0,346473.0,416061.0,274044.0,396141.0,0.0,504834.0,0.0,894787.0,404331.0,0.0,3352396.0
62,13426.012745738059,7755.0894237548164,5980.7648932892153,4324.9670479824526,3408.4355275879561,3408.4355275879561,3308.0774326215337,3308.0774326215337,3051.5150879114808,130.57450612550664,118076.0,343988.0,420955.0,271442.0,388235.0,0.0,498693.0,0.0,883380.0,404208.0,0.0,3328977.0
63,12775.406058328899,7376.6606580250691,5665.5121899630403,4151.6564798632226,3248.8801241023598,3248.8801241023598,3145.6117800742809,3145.6117800742809,2854.5730250891697,125.11009946688529,118121.0,347555.0,427054.0,268693.0,376031.0,0.0,479180.0,0.0,925754.0,360171.0,0.0,3302559.0
64,11658.113001003408,6718.8071254194638,5154.6940544316531,3769.2038243310308,2928.9073135753647,2928.9073135753647,2928.9073135753647,2928.9073135753647,2631.3146887923263,117.01185806981704,117161.0,350514.0,431622.0,266567.0,374309.0,0.0,0.0,0.0,1331116.0,410417.0,0.0,3281706.0
65,11483.963038048452,6615.9715790925629,5073.7463088928225,3732.1138379874119,2887.0317389144088,2887.0317389144088,2887.0317389144088,2887.0317389144088,2649.396544017307,114.78101326637193,117228.0,358781.0,434356.0,244451.0,384088.0,0.0,0.0,0.0,1314364.0,431556.0,0.0,3284824.0
66,11581.598705256905,6724.7968738065565,5120.1783436688083,3741.5359917909327,2894.2499263291661,2894.2499263291661,2894.2499263291661,2894.2499263291661,2655.2763514730605,116.81066757312183,111786.0,370659.0,442807.0,248742.0,379926.0,0.0,0.0,0.0,1306081.0,432749.0,0.0,3292750.0
67,11780.404702285065,6863.6560239152832,5467.9104232796954,4104.8417841600376,2958.4719185818835,2958.4719185818835,2958.4719185818835,2958.4719185818835,2685.2420073214862,121.48823243712889,113796.0,378069.0,355947.0,303011.0,420089.0,0.0,0.0,0.0,1309265.0,412560.0,0.0,3292737.0
68,11539.833661895673,6788.752737425747,5395.4639818284959,4047.1392095583478,2904.6530215788684,2904.6530215788684,2904.6530215788684,2904.6530215788684,2620.2790792448995,113.08117517698162,114014.0,378740.0,355112.0,304054.0,417355.0,0.0,0.0,0.0,1302664.0,411488.0,0.0,3283427.0
69,11567.773923251681,6847.339008569611,5512.8973742515391,4081.1067811435018,2907.7163266685325,2907.7163266685325,2907.7163266685325,2907.7163266685325,2632.8905641815704,77.046395933330999,115757.0,382794.0,353717.0,310265.0,404753.0,0.0,0.0,0.0,1296148.0,413730.0,0.0,3277164.0
70,11424.214313244791,6892.9153038132008,5696.6384145236807,4210.4651201303122,3093.2753105113752,3093.2753105113752,3093.2753105113752,3093.2753105113752,2738.1036660448135,23.228262877206845,112605.0,389897.0,341666.0,316284.0,403092.0,0.0,0.0,0.0,1328100.0,375700.0,0.0,3267344.0
71,11569.523721617141,6954.5707667677798,5706.4619627062257,4219.4363252216235,3065.6555362539243,3065.6555362539243,3065.6555362539243,3065.6555362539243,2725.5083356699647,22.81686050723583,104409.0,392926.0,349140.0,315686.0,410803.0,0.0,0.0,0.0,1264567.0,416513.0,0.0,3254044.0
72,11383.050986795302,6834.1249757334999,5585.2099674115734,4122.6992853355396,2986.8549427329326,2986.8549427329326,2986.8549427329326,2986.8549427329326,2669.5844911851873,22.126632722994607,103093.0,391736.0,349225.0,314991.0,402809.0,0.0,0.0,0.0,1251308.0,417948.0,0.0,3231110.0
73,10999.06174818315,6602.6739300875142,5411.6458652853798,4007.9470794507447,2874.7519169851371,2874.7519169851371,2874.7519169851371,2874.7519169851371,2579.6483419883552,21.251310842469376,108479.0,390085.0,331022.0,337000.0,403176.0,0.0,0.0,0.0,1236384.0,420874.0,0.0,3227020.0
74,11312.916919277828,6807.5974433540696,5598.9818789110423,4166.847585732985,2959.9204258856976,2959.9204258856976,2959.9204258856976,2959.9204258856976,2663.7156040931955,21.794325626164653,107541.0,391825.0,339390.0,337671.0,401112.0,0.0,0.0,0.0,1224655.0,423006.0,0.0,3225200.0
75,11628.321999555499,6997.8246709021305,5749.5264172785992,4280.4873048918707,3036.2260009487395,3036.2260009487395,3036.2260009487395,3036.2260009487395,2742.060036982959,22.165102813633688,107762.0,390893.0,344946.0,338569.0,395839.0,0.0,0.0,0.0,1213224.0,422869.0,0.0,3214102.0
76,12096.80362331005,7296.0246234941842,5979.739926603228,4640.2793616593026,3492.209369185186,3094.096631938577,3094.096631938577,3094.096631938577,2851.6088203505005,23.2089979893086,109662.0,394074.0,353910.0,308012.0,249624.0,197268.0,0.0,0.0,1175376.0,421698.0,0.0,3209624.0
77,12439.50723091175,7510.6686228512572,6147.6506264482505,4793.9481304460141,3599.7842481344555,3180.5092614686273,3180.5092614686273,3180.5092614686273,2929.0146692121002,22.379350215411321,111413.0,394693.0,355258.0,305401.0,248215.0,196740.0,0.0,0.0,1161824.0,422249.0,0.0,3195793.0
78,12620.547146489102,7626.8783434230281,6233.7185066804532,4905.6117480122239,3678.5987940551063,3224.1336832246157,3224.1336832246157,3224.1336832246157,2982.0289537591129,24.280329259953234,110317.0,397508.0,359068.0,217834.0,319352.0,212395.0,0.0,0.0,1147604.0,421439.0,0.0,3185517.0
79,12911.191279433735,7780.6212170434092,6450.5867704654129,5218.7077566750368,3779.1494858537785,3272.6802165138201,3272.6802165138201,3272.6802165138201,3036.0560215383466,24.732430763720263,108100.0,368360.0,358365.0,253847.0,326395.0,204857.0,0.0,0.0,1129367.0,418098.0,0.0,3167389.0
