period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
75,18472321.4379813,17739832.6939363,18488205.8459578,17754082.5661252,14131076.9665553,3608755.72738096,14206974.8775213,3547107.6886039,346145.753099552,335761.380506565,0,0,0,0,0,0
76,19240090.9109591,18474786.4367043,19258064.2305966,18490983.6555574,14660911.4259943,3813875.01071002,14740739.3279502,3750244.32760721,361665.987527041,350816.00790123,3209323.88547595,3028169.16689336,3212251.32669998,3030898.80353419,60277.6645878402,58469.334650205
77,19776283.3641213,18989163.2315734,19805049.5723016,19015653.7133779,15040529.8161555,3948633.41541792,15124158.9318464,3891494.78153156,403679.462878939,391569.078992571,0,0,0,0,0,0
78,20059254.8280946,19260187.2874691,20089867.3285641,19288431.9584883,15203591.9647064,4056595.32276274,15288909.1229849,3999522.83550337,422244.588346623,409577.250696224,3346202.24887405,3157120.3346492,3351263.89985869,3161861.99148204,70374.0980577705,68262.8751160374
79,20424173.965268,19608507.3940514,20459329.6201738,19641064.8072031,15433018.0569205,4175489.33713085,15521883.6320586,4119181.17514447,451537.833812188,437991.698797822,0,0,0,0,0,0
80,20821309.436871,19988488.1712403,20857875.9199766,20022362.8181718,15679938.1011296,4308550.0701107,15771059.6688145,4251303.14935727,472317.481871117,458147.957414984,3472883.62353628,3276112.02035102,3478945.17902667,3281801.65182126,78719.5803118529,76357.9929024973
81,21165424.9271971,20317723.1030575,21203214.027344,20352739.9386884,15895142.4932517,4422580.60980571,15988219.3797357,4364520.55895276,507880.889468717,492644.462784655,0,0,0,0,0,0
82,21597582.6696519,20729757.28188,21637655.8224119,20766941.7120085,16128728.0117887,4601029.27009126,16223916.8299378,4543024.88207073,523520.481294833,507814.866855988,3602634.57329062,3398047.22329381,3609282.40667228,3404290.82521997,87253.4135491388,84635.8111426646
83,21938249.8617583,21055759.9759962,21978378.4537669,21092994.2113791,16307682.0038818,4748077.97211438,16403597.8615132,4689396.3498659,554284.52744484,537655.991621495,0,0,0,0,0,0
84,22352886.2782583,21452055.3341928,22396120.1029047,21492223.8099297,16558766.6820236,4893288.65216928,16657625.9251915,4834597.8847382,564570.788048003,547633.664406563,3728011.89497024,3515562.463861,3735190.24859744,3522309.03086663,94095.1313413339,91272.2774010939
