period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
59,19874195.20390256,19085698.503666874,19946339.46872354,19153514.109278813,15808863.154452484,3276835.3492143895,15876679.210985294,3276834.898293518,117229.9678168616,113713.06878235575,0.0,0.0,0.0,0.0,0.0,0.0
60,21654501.50661766,20793561.677014526,21733835.291642305,20868135.43160942,17151317.595422555,3642244.081591972,17225891.82098476,3642243.610624652,162721.178424523,157839.5430717873,3610387.6449128636,3412335.038538433,3623609.9463394633,3424764.00148063,27120.196404087164,26306.590511964547
61,20144655.64234239,19344443.852257743,20218888.95311094,19414223.162178043,15941978.262103166,3402465.59015458,16011757.956347479,3402465.2058305605,175524.96283044177,170259.21394552852,0.0,0.0,0.0,0.0,0.0,0.0
62,19921517.58751905,19129995.69329518,19994617.271074433,19198709.393828753,15721265.368743792,3408730.3245513868,15789979.409311866,3408729.9845168903,202742.65063721826,196660.37111810173,3322594.825104677,3140837.4767822367,3334778.1094481177,3152289.7638776433,33790.441772869715,32776.728519683624
63,18926467.784075588,18174552.484176815,18996972.112384476,18240826.550997775,14893132.98714583,3281419.497030986,14959407.234504826,3281419.316492953,222862.30934612226,216176.4400657386,0.0,0.0,0.0,0.0,0.0,0.0
64,17325014.383378576,16638520.805743532,17389518.34541947,16699154.528605437,13593595.320509372,3044925.4852341553,13654229.193476895,3044925.335128542,230971.30147243018,224042.16242825732,2890593.7368459525,2733713.600345131,2901344.4004571037,2743819.5978218243,38495.2169120717,37340.36040470955
65,17161585.30070114,16480915.958648596,17226658.202237338,16542084.484685263,13442073.749048077,3038842.2096005194,13503242.419376297,3038842.065308965,195590.56706249053,189722.8500506158,0.0,0.0,0.0,0.0,0.0,0.0
66,17336788.819576234,16648151.157979755,17407059.925948035,16714205.996588355,13587355.014938828,3060796.143040928,13653409.980325986,3060796.016262368,189500.23206233754,183815.22510046745,2892511.988968568,2736560.6739643426,2904223.843261395,2747570.184999618,31583.372010389598,30635.870850077903
67,17811068.71788416,17101668.90381807,17887101.665221184,17173139.872921262,13957827.122931365,3143841.7808867022,14029298.220161023,3143841.652760244,204565.65921929895,198428.68944272,0.0,0.0,0.0,0.0,0.0,0.0
68,17515775.079997923,16818562.25155569,17591672.18910064,16889905.532771885,13721085.267312102,3097476.9842435876,13792428.673428763,3097476.8593431218,222675.54785812963,215995.28142238574,2922426.190132857,2764329.058864009,2935075.711546813,2776219.976165474,37112.59130968827,35999.213570397624
69,17939591.00342516,17225685.94973016,18017338.54334505,17298768.63605935,14053836.410452878,3171849.5392772816,14126919.296666397,3171849.3393929536,243953.65590494653,236635.04622779816,0.0,0.0,0.0,0.0,0.0,0.0
70,18606030.797807537,17875156.94910389,18610237.634133115,17878263.636894327,14521732.270818476,3353424.67828542,14593008.6287958,3285255.0080985255,290149.53457384155,281445.04853662633,3104000.353175817,2930656.452081003,3104613.3459941885,2931190.6435358133,48358.25576230693,46907.50808943771
71,18502741.2917604,17774034.82528441,18509471.40140594,17779561.124580875,14389093.756986069,3384941.068298344,14460873.272020625,3318687.8525602473,299240.64828768413,290263.4288390535,0.0,0.0,0.0,0.0,0.0,0.0
72,17993108.68116818,17283210.222489916,18000667.48318606,17289554.461495105,13947750.503822071,3335459.7186678397,14018048.160187202,3271506.301307901,296566.738145225,287669.7360008682,3001264.6805149377,2832866.4044779427,3002446.8667662656,2833944.0481647607,49427.789690870835,47944.9560001447
73,17449499.58114654,16759385.621779384,17458745.54635657,16767342.525320586,13483295.583284725,3276090.0384946596,13552959.553294113,3214382.972026472,301014.8349713559,291984.38992221514,0.0,0.0,0.0,0.0,0.0,0.0
74,17994729.657300044,17281869.674430344,18007334.721473664,17292986.1276364,13835795.56897614,3446074.105454206,13909197.693872875,3383788.433763521,328378.3731523093,318527.02195773995,3001090.5676383115,2831978.275658168,3003116.535335112,2833851.332355121,54729.72885871821,53087.83699295666
75,18581331.408369288,17844525.82690671,18597309.658307295,17858859.862900794,14214517.153466577,3630008.67344013,14290865.390364142,3567994.472536652,351274.85076836596,340736.605245315,0.0,0.0,0.0,0.0,0.0,0.0
76,19551487.45359741,18773767.862658173,19569795.67716904,18790268.63656041,14899890.273273565,3873877.58938461,14981048.15905288,3809220.4775075256,368204.0861752276,357157.96358997066,3261550.08983703,3077572.511917908,3264532.2496655732,3080353.226613748,61367.34769587126,59526.32726499512
77,20370569.6884967,19559686.258443233,20400288.523460995,19587055.896350425,15492192.652739536,4067493.6057037027,15578396.422827924,4008659.4735225057,414686.3083032351,402245.719054138,0.0,0.0,0.0,0.0,0.0,0.0
78,20967759.488199905,20132329.327197995,20999857.7608298,20161946.799307823,15888881.955852635,4243447.371345364,15978124.983187828,4183821.8161199926,442501.64020012005,429226.5909941165,3496825.1604049355,3298968.086805537,3502132.6194105963,3303940.0742370817,73750.27336668667,71537.76516568608
79,21570337.92125961,20708783.127703283,21607486.783511,20743186.62877907,16299550.767312372,4409232.36039091,16393424.800697874,4349761.828081197,480125.60348283144,465721.83537834644,0.0,0.0,0.0,0.0,0.0,0.0
80,22187588.29662316,21299994.337840416,22226640.93486035,21336173.167386923,16711344.390501762,4588649.947338653,16808533.975114092,4527639.192272828,503240.74828470254,488143.5258361614,3701350.7293617013,3491769.7831182624,3707824.471089482,3497846.3285054034,83873.45804745042,81357.25430602691
81,22661565.363601055,21753676.333551567,22700202.19125597,21789454.58259682,16982786.78247093,4770889.551080635,17080693.16313837,4708761.41945845,545665.5091731785,529295.543897983,0.0,0.0,0.0,0.0,0.0,0.0
82,23086498.753212716,22159881.257031113,23128444.687414505,22198791.41384253,17268142.328443702,4891738.928587407,17369202.3342433,4829589.0795992315,559641.3377779261,542852.0976445882,3851293.7129404126,3632712.614573977,3858251.446202269,3639247.1445965786,93273.55629632101,90475.34960743137
83,23440934.86357755,22498315.99250902,23485547.27549246,22539730.723964967,17498300.359719478,5000015.632789539,17602523.153258134,4937207.570706834,578404.8710504369,561052.7249189238,0.0,0.0,0.0,0.0,0.0,0.0
84,23781042.86958902,22823949.11828223,23828214.2409754,22867784.887917314,17704669.85503454,5119279.263247689,17811420.84389516,5056364.044022149,601357.2578456934,583316.5401103228,3967036.480777128,3741269.889223986,3974869.114987325,3748631.4073857316,100226.2096409489,97219.42335172047
85,24119213.99161754,23147412.170325782,24167751.969862938,23192526.67461321,17910236.286278397,5237175.884047386,18018997.57852437,5173529.0960888425,650477.9856743428,630963.6461041125,0.0,0.0,0.0,0.0,0.0,0.0
86,24481494.553008992,23493391.562241703,24531494.393985096,23539874.131035823,18142805.63448153,5350585.927760171,18253692.794334374,5286181.336701449,693993.908031361,673174.0907904201,4083450.278956621,3850615.2471504644,4091753.632080658,3858419.2556229043,115665.65133856017,112195.68179840337
87,24826764.63171529,23823827.749697182,24877757.221241698,23871237.41235479,18295835.096318707,5527992.6533784745,18408407.576120686,5462829.836234106,724205.9534227038,702479.7748200228,0.0,0.0,0.0,0.0,0.0,0.0
88,25300992.970259733,24277889.95243575,25383447.151186563,24355001.838544454,18640307.15496208,5637582.797473667,18756539.906024374,5598461.93252008,825214.2396534967,800457.8124638916,4219491.062566644,3978990.3087742617,4233198.72903522,3991870.3780760868,137535.7066089161,133409.63541064863
89,25606567.047364287,24568757.385964736,25688074.2359778,24644976.137670163,18789524.92511147,5779232.460853265,18905167.44665798,5739808.691012179,888517.7577470388,861862.2250146277,0.0,0.0,0.0,0.0,0.0,0.0
90,25870455.351586927,24821249.011004657,25961366.55478155,24906451.22562021,18969221.64688593,5852027.364118722,19085691.099761322,5820760.125858892,961753.0628373952,932900.4709522733,4313593.180694986,4068091.0629457207,4328705.076261854,4082286.365787792,160292.17713956584,155483.4118253789
91,26228463.46935305,25163835.044292673,26321482.296146,25251023.104831874,19245369.595652785,5918465.448639886,19363836.45980584,5887186.645026034,1038902.785872237,1007735.70229607,0.0,0.0,0.0,0.0,0.0,0.0
92,26539550.43401917,25460611.03905263,26634259.793632623,25549388.388036195,19432813.937750492,6027797.10130214,19552963.351281516,5996425.036754679,1089205.44386638,1056529.2805503884,4424771.800540697,4173360.348598104,4440517.657257584,4188153.219806272,181534.24064439672,176088.2134250648
93,26972386.640831582,25876805.639557667,27068848.359082803,25967227.096942905,19757196.525122557,6119609.114435105,19879381.016253565,6087846.08068934,1215537.5161937436,1179071.3907079312,0.0,0.0,0.0,0.0,0.0,0.0
94,27463227.44363615,26347580.343947582,27560413.15867897,26438677.566663995,20072093.78046544,6275486.563482139,20195467.94397873,6243209.622685265,1313965.0561999045,1274546.1045139073,4580850.904802388,4322173.351559583,4597008.231322461,4337352.611630652,218994.1760333174,212424.35075231787
95,27869200.65631752,26735926.429422706,27968713.260019723,26829222.19050994,20336122.411641546,6399804.017781164,20461563.19844728,6367658.992062658,1377743.7696817971,1336411.456591343,0.0,0.0,0.0,0.0,0.0,0.0
96,28094013.390842196,26951540.17677757,28195085.43856559,27046307.410527244,20459124.59642501,6492415.580352558,20586051.515449826,6460255.895077419,1417446.1505090694,1374922.7659937975,4685563.73812684,4421196.9114855705,4702371.873028806,4436991.525172831,236241.02508484494,229153.7943322996
97,28457643.417169113,27299965.01032963,28560901.84232764,27396784.381206132,20704528.23240651,6595436.77792312,20833856.390230183,6562927.99097595,1453881.6704222418,1410265.2203095746,0.0,0.0,0.0,0.0,0.0,0.0
98,28871784.56003498,27697396.763356112,28976829.76925725,27795904.981853765,20972607.575734954,6724789.187621157,21103072.71721397,6692832.264639796,1568574.4784538622,1521517.2441002463,4815760.115577813,4544892.57110776,4833228.97199793,4561307.620028411,261429.07974231036,253586.20735004108
99,29132025.50562098,27947541.73209738,29238821.023655258,28047693.49757304,21129655.141225234,6817886.590872146,21262001.610156074,6785691.887416965,1638623.6262837038,1589464.9174951927,0.0,0.0,0.0,0.0,0.0,0.0
100,29367781.59016455,28173319.354765564,29474794.99801635,28273673.590813775,21279780.343335234,6893539.011430332,21412598.275304038,6861075.315509731,1679522.1223586148,1629136.4586878563,4898134.948079632,4622987.569197258,4915931.156515214,4639710.157483971,279920.35372643586,271522.74311464274
101,29577978.92142891,28375165.99514029,29686715.846276805,28477168.89526719,21405265.74909689,6969900.246043409,21538996.239523567,6938172.65574362,1726272.0160527397,1674483.8555711578,0.0,0.0,0.0,0.0,0.0,0.0
102,29782907.527887724,28570522.10068258,29895026.314834323,28675745.67969497,21495571.596520036,7074950.504162542,21630802.7989227,7044942.880772262,1808390.879498128,1754139.1531131845,4964671.074712915,4685586.421467538,4983326.603356204,4703125.131038496,301398.47991635464,292356.525518864
103,30044569.39469135,28821234.44042264,30157146.75748998,28926883.597044915,21660257.78983682,7160976.650585813,21796693.884465713,7130189.712579201,1888410.5294546522,1831758.213571013,0.0,0.0,0.0,0.0,0.0,0.0
104,30374890.817043997,29138089.22764755,30488912.20012827,29245094.78735542,21877914.231744714,7260174.995902827,22015873.49098883,7229221.296366593,2013083.431774127,1952690.9288209036,5064828.698912275,4781351.781566129,5083833.049645701,4799218.385429952,335513.90529568784,325448.4881368173
105,30677934.826764483,29427306.97725598,30793174.358549118,29535456.661587283,22060889.53968011,7366417.437575878,22200158.946227297,7335297.715359988,2075349.9857031684,2013089.486132073,0.0,0.0,0.0,0.0,0.0,0.0
106,30903252.369081773,29643998.413920257,31019323.49240298,29752926.632221404,22175683.12530207,7468315.2886181865,22315910.118230868,7437016.513990537,2170313.7291019955,2105204.3172289357,5153904.798223855,4866371.121576618,5173250.399683357,4884558.529367435,361718.95485033264,350867.3862048227
107,31203553.218576174,29931989.746392213,31321805.428078536,30042987.38563057,22404804.77466416,7527184.971728054,22546620.44802105,7496366.93760952,2271579.48038969,2203432.0959779997,0.0,0.0,0.0,0.0,0.0,0.0
108,31444318.48337659,30162611.098074976,31596757.386798125,30305888.727529988,22554580.216312468,7608030.881762506,22697969.373006888,7607919.354523104,2354772.104080355,2284128.940957944,5244224.302784723,4952533.253710582,5269624.668349093,4976405.729376657,392462.0173467258,380688.15682632406
109,31752293.78152122,30456471.61526121,31904796.334479947,30599814.325965874,22751770.744397923,7704700.870863283,22894842.679512817,7704971.646453058,2416998.780965415,2344488.8175364523,0.0,0.0,0.0,0.0,0.0,0.0
110,31893584.593946945,30592431.47523558,32045408.174228385,30735135.925774723,22818446.788219385,7773984.687016197,22960938.662624523,7774197.263150204,2488054.9539460526,2413413.3053276706,5319055.598615929,5023673.471291228,5344354.306260142,5047452.399594647,414675.82565767533,402235.5508879451
111,32172566.19026843,30858706.383136168,32326099.739530038,31003026.640503023,23023311.738649603,7835394.644486564,23167143.914455988,7835882.726047033,2537230.673994415,2461113.753774582,0.0,0.0,0.0,0.0,0.0,0.0
112,32432350.90110148,31107980.04069996,32588154.58277997,31254434.215507075,23225529.954828437,7882450.08587152,23371493.36460407,7882940.850902998,2607027.931472957,2528817.0935287685,5409146.545309724,5109244.190697364,5435110.060119831,5133649.517144831,434504.6552454928,421469.51558812795
113,32734052.744380176,31397864.593386784,32889901.76094102,31544361.37654886,23421455.57367463,7976409.019712146,23567459.147551987,7976902.228996867,2725465.890564771,2643701.913847828,0.0,0.0,0.0,0.0,0.0,0.0
114,32967502.518629305,31621072.847418264,33124914.736081235,31769037.537372965,23556516.503335357,8064556.344082907,23704034.106746297,8065003.430626673,2809728.232481578,2725436.38550713,5498066.57296781,5194040.0066377865,5524297.87575151,5218696.792847185,468288.0387469296,454239.39758452185
115,33214151.969785307,31857549.4957633,33372968.85014901,32006836.313948546,23732848.065427337,8124701.43033596,23881685.900527984,8125150.413420565,2910364.237907018,2823053.310769808,0.0,0.0,0.0,0.0,0.0,0.0
116,33475488.931731995,32107797.366159312,33635180.75379621,32257914.869737964,23918123.947946366,8189673.418212952,24067524.233884417,8190390.63585355,2962273.104340983,2873404.9112107535,5580918.033595191,5272256.397255507,5607531.012392653,5297273.371687862,493712.1840568305,478900.81853512547
117,33726765.99399839,32349288.860226363,33886618.30048087,32499557.757196628,24102496.053816672,8246792.806409689,24252044.730764426,8247513.026432204,3056218.757164647,2964532.194449707,0.0,0.0,0.0,0.0,0.0,0.0
118,33981241.94548266,32593516.069934007,34138215.38134696,32741060.66759277,24273912.789468586,8319603.280465418,24421457.741992183,8319602.925600581,3170895.595074882,3075768.7272226354,5661543.9460822595,5347992.1465406,5687704.341034683,5372583.69825171,528482.599179147,512628.12120377255
119,34202332.795553125,32805745.51538559,34356205.327197604,32950375.21951117,24320222.703779515,8485522.811606076,24464852.764251925,8485522.455259249,3275062.089592272,3176810.226904504,0.0,0.0,0.0,0.0,0.0,0.0
120,34365955.44043513,32962585.7747559,34519120.982615784,33106550.860553488,24398567.249479666,8564018.525276234,24542532.69496154,8564018.16559195,3353886.167112991,3253269.582099602,5723425.565609605,5406589.283875882,5748951.295384998,5430584.304753619,558981.0278521653,542211.5970166002
121,34490126.78311431,33082021.18360057,34642473.93924205,33225216.957669523,24466604.205164842,8615416.978435732,24609800.330643326,8615416.627026193,3460816.0822186638,3356991.5997521044,0.0,0.0,0.0,0.0,0.0,0.0
122,34720438.5350063,33303069.113074068,34872387.87510919,33445893.486202765,24590250.37445682,8712818.738617249,24733075.099780686,8712818.386422083,3518800.229090486,3413236.2222177726,5783097.377999391,5464084.225870896,5808420.853782067,5487890.463371746,586466.7048484144,568872.703702962
123,34871033.04621499,33447524.572731584,35022799.28578182,33590175.84433668,24662001.952325508,8785522.62040608,24804653.55499609,8785522.289340587,3594870.7475807313,3487024.6251533087,0.0,0.0,0.0,0.0,0.0,0.0
124,35124910.608245865,33690038.88503064,35276691.386145055,33832703.16327488,24797142.997456003,8892895.887574635,24939807.601489104,8892895.561785767,3660127.6864688145,3550323.8558747494,5848833.852475836,5526214.813687466,5874128.942672735,5549993.80816271,610021.2810781357,591720.6426457915
125,35346922.61951712,33902943.22763854,35498065.614102505,34045008.17946844,24934017.344962467,8968925.88267607,25076082.604694,8968925.574774442,3733414.1552845226,3621411.730625986,0.0,0.0,0.0,0.0,0.0,0.0
126,35544631.94052786,34093065.1150249,35696004.758663796,34235345.5995711,25039829.086773958,9053236.028250942,25182109.880373813,9053235.71919728,3795788.640490142,3681914.981275438,5916349.5050408365,5589810.578146858,5941576.546749211,5613525.731877084,632631.4400816903,613652.4968792396
127,35607927.339194804,34155686.04295412,35755498.00583534,34294392.46802656,25093562.309367433,9062123.733586684,25232269.10357316,9062123.364453409,3848561.751047715,3733104.8985162843,0.0,0.0,0.0,0.0,0.0,0.0
128,35831225.1515774,34370250.17639669,35978129.82678808,34508330.52258765,25235996.66189115,9134253.514505543,25374077.387498986,9134253.135088665,3923626.3056844072,3805917.516513875,5965159.54897325,5636866.604817061,5989641.885345365,5659881.847752063,653937.7176140678,634319.5860856458
129,35978362.54089477,34512717.246012025,36124369.45823375,34649954.336257756,25316283.346773814,9196433.89923821,25453520.81771169,9196433.518546063,4013139.2386035654,3892745.061445459,0.0,0.0,0.0,0.0,0.0,0.0
