age ,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
10,0.0025966244,0.0025367783,0.0024769286,0.0024170753,0.0023572185,0.002297358,0.0022574491,0.0022175385,0.0021776264,0.0021377126,0.0020977973,0.002077839,0.0020578804,0.0020379213,0.0020179619,0.001998002,0.0019780417,0.0019580811,0.00193812,0.0019181586,0.0018981967,0.0018782345,0.0018582718,0.0018383088,0.0018183453,0.0017983815,0.0017784172,0.0017584526,0.0017384875,0.0017185221,0.0016985562
11,0.0025966244,0.0025367783,0.0024769286,0.0024170753,0.0023572185,0.002297358,0.0022574491,0.0022175385,0.0021776264,0.0021377126,0.0020977973,0.002077839,0.0020578804,0.0020379213,0.0020179619,0.001998002,0.0019780417,0.0019580811,0.00193812,0.0019181586,0.0018981967,0.0018782345,0.0018582718,0.0018383088,0.0018183453,0.0017983815,0.0017784172,0.0017584526,0.0017384875,0.0017185221,0.0016985562
12,0.0025966244,0.0025367783,0.0024769286,0.0024170753,0.0023572185,0.002297358,0.0022574491,0.0022175385,0.0021776264,0.0021377126,0.0020977973,0.002077839,0.0020578804,0.0020379213,0.0020179619,0.001998002,0.0019780417,0.0019580811,0.00193812,0.0019181586,0.0018981967,0.0018782345,0.0018582718,0.0018383088,0.0018183453,0.0017983815,0.0017784172,0.0017584526,0.0017384875,0.0017185221,0.0016985562
13,0.0025966244,0.0025367783,0.0024769286,0.0024170753,0.0023572185,0.002297358,0.0022574491,0.0022175385,0.0021776264,0.0021377126,0.0020977973,0.002077839,0.0020578804,0.0020379213,0.0020179619,0.001998002,0.0019780417,0.0019580811,0.00193812,0.0019181586,0.0018981967,0.0018782345,0.0018582718,0.0018383088,0.0018183453,0.0017983815,0.0017784172,0.0017584526,0.0017384875,0.0017185221,0.0016985562
14,0.0025966244,0.0025367783,0.0024769286,0.0024170753,0.0023572185,0.002297358,0.0022574491,0.0022175385,0.0021776264,0.0021377126,0.0020977973,0.002077839,0.0020578804,0.0020379213,0.0020179619,0.001998002,0.0019780417,0.0019580811,0.00193812,0.0019181586,0.0018981967,0.0018782345,0.0018582718,0.0018383088,0.0018183453,0.0017983815,0.0017784172,0.0017584526,0.0017384875,0.0017185221,0.0016985562
15,0.0611700839,0.0605872542,0.060004074,0.059420543,0.0588366608,0.0582524272,0.0576489783,0.0570451543,0.0564409547,0.0558363792,0.0552314275,0.0548342232,0.0544368567,0.0540393279,0.0536416365,0.0532437825,0.0530542711,0.0528647228,0.0526751375,0.0524855154,0.0522958563,0.0521251315,0.0519543768,0.0517835921,0.0516127775,0.051441933,0.051290046,0.0511381353,0.050986201,0.0508342429,0.0506822612
16,0.0611700839,0.0605872542,0.060004074,0.059420543,0.0588366608,0.0582524272,0.0576489783,0.0570451543,0.0564409547,0.0558363792,0.0552314275,0.0548342232,0.0544368567,0.0540393279,0.0536416365,0.0532437825,0.0530542711,0.0528647228,0.0526751375,0.0524855154,0.0522958563,0.0521251315,0.0519543768,0.0517835921,0.0516127775,0.051441933,0.051290046,0.0511381353,0.050986201,0.0508342429,0.0506822612
17,0.0611700839,0.0605872542,0.060004074,0.059420543,0.0588366608,0.0582524272,0.0576489783,0.0570451543,0.0564409547,0.0558363792,0.0552314275,0.0548342232,0.0544368567,0.0540393279,0.0536416365,0.0532437825,0.0530542711,0.0528647228,0.0526751375,0.0524855154,0.0522958563,0.0521251315,0.0519543768,0.0517835921,0.0516127775,0.051441933,0.051290046,0.0511381353,0.050986201,0.0508342429,0.0506822612
18,0.0611700839,0.0605872542,0.060004074,0.059420543,0.0588366608,0.0582524272,0.0576489783,0.0570451543,0.0564409547,0.0558363792,0.0552314275,0.0548342232,0.0544368567,0.0540393279,0.0536416365,0.0532437825,0.0530542711,0.0528647228,0.0526751375,0.0524855154,0.0522958563,0.0521251315,0.0519543768,0.0517835921,0.0516127775,0.051441933,0.051290046,0.0511381353,0.050986201,0.0508342429,0.0506822612
19,0.0611700839,0.0605872542,0.060004074,0.059420543,0.0588366608,0.0582524272,0.0576489783,0.0570451543,0.0564409547,0.0558363792,0.0552314275,0.0548342232,0.0544368567,0.0540393279,0.0536416365,0.0532437825,0.0530542711,0.0528647228,0.0526751375,0.0524855154,0.0522958563,0.0521251315,0.0519543768,0.0517835921,0.0516127775,0.051441933,0.051290046,0.0511381353,0.050986201,0.0508342429,0.0506822612
20,0.1065088757,0.1051275249,0.1037441572,0.1023587681,0.1009713532,0.099581908,0.0984978133,0.097412481,0.096325909,0.0952380952,0.0941490375,0.0931496401,0.0921491939,0.0911476974,0.090145149,0.0891415468,0.0885206105,0.0878992705,0.0872775265,0.0866553779,0.0860328245,0.0856481038,0.0852632284,0.0848781983,0.0844930132,0.0841076731,0.0837772583,0.0834467294,0.0831160865,0.0827853295,0.0824544583
21,0.1065088757,0.1051275249,0.1037441572,0.1023587681,0.1009713532,0.099581908,0.0984978133,0.097412481,0.096325909,0.0952380952,0.0941490375,0.0931496401,0.0921491939,0.0911476974,0.090145149,0.0891415468,0.0885206105,0.0878992705,0.0872775265,0.0866553779,0.0860328245,0.0856481038,0.0852632284,0.0848781983,0.0844930132,0.0841076731,0.0837772583,0.0834467294,0.0831160865,0.0827853295,0.0824544583
22,0.1065088757,0.1051275249,0.1037441572,0.1023587681,0.1009713532,0.099581908,0.0984978133,0.097412481,0.096325909,0.0952380952,0.0941490375,0.0931496401,0.0921491939,0.0911476974,0.090145149,0.0891415468,0.0885206105,0.0878992705,0.0872775265,0.0866553779,0.0860328245,0.0856481038,0.0852632284,0.0848781983,0.0844930132,0.0841076731,0.0837772583,0.0834467294,0.0831160865,0.0827853295,0.0824544583
23,0.1065088757,0.1051275249,0.1037441572,0.1023587681,0.1009713532,0.099581908,0.0984978133,0.097412481,0.096325909,0.0952380952,0.0941490375,0.0931496401,0.0921491939,0.0911476974,0.090145149,0.0891415468,0.0885206105,0.0878992705,0.0872775265,0.0866553779,0.0860328245,0.0856481038,0.0852632284,0.0848781983,0.0844930132,0.0841076731,0.0837772583,0.0834467294,0.0831160865,0.0827853295,0.0824544583
24,0.1065088757,0.1051275249,0.1037441572,0.1023587681,0.1009713532,0.099581908,0.0984978133,0.097412481,0.096325909,0.0952380952,0.0941490375,0.0931496401,0.0921491939,0.0911476974,0.090145149,0.0891415468,0.0885206105,0.0878992705,0.0872775265,0.0866553779,0.0860328245,0.0856481038,0.0852632284,0.0848781983,0.0844930132,0.0841076731,0.0837772583,0.0834467294,0.0831160865,0.0827853295,0.0824544583
25,0.1071360969,0.1060785409,0.1050198025,0.1039598798,0.1028987707,0.1018364732,0.1011336232,0.1004302525,0.0997263606,0.0990219468,0.0983170106,0.0977563036,0.0971952658,0.096633897,0.0960721969,0.0955101652,0.0950022384,0.0944940405,0.0939855715,0.093476831,0.0929678188,0.0926768327,0.0923857578,0.092094594,0.0918033413,0.0915119996,0.0913116506,0.0911112596,0.0909108264,0.0907103512,0.0905098339
26,0.1071360969,0.1060785409,0.1050198025,0.1039598798,0.1028987707,0.1018364732,0.1011336232,0.1004302525,0.0997263606,0.0990219468,0.0983170106,0.0977563036,0.0971952658,0.096633897,0.0960721969,0.0955101652,0.0950022384,0.0944940405,0.0939855715,0.093476831,0.0929678188,0.0926768327,0.0923857578,0.092094594,0.0918033413,0.0915119996,0.0913116506,0.0911112596,0.0909108264,0.0907103512,0.0905098339
27,0.1071360969,0.1060785409,0.1050198025,0.1039598798,0.1028987707,0.1018364732,0.1011336232,0.1004302525,0.0997263606,0.0990219468,0.0983170106,0.0977563036,0.0971952658,0.096633897,0.0960721969,0.0955101652,0.0950022384,0.0944940405,0.0939855715,0.093476831,0.0929678188,0.0926768327,0.0923857578,0.092094594,0.0918033413,0.0915119996,0.0913116506,0.0911112596,0.0909108264,0.0907103512,0.0905098339
28,0.1071360969,0.1060785409,0.1050198025,0.1039598798,0.1028987707,0.1018364732,0.1011336232,0.1004302525,0.0997263606,0.0990219468,0.0983170106,0.0977563036,0.0971952658,0.096633897,0.0960721969,0.0955101652,0.0950022384,0.0944940405,0.0939855715,0.093476831,0.0929678188,0.0926768327,0.0923857578,0.092094594,0.0918033413,0.0915119996,0.0913116506,0.0911112596,0.0909108264,0.0907103512,0.0905098339
29,0.1071360969,0.1060785409,0.1050198025,0.1039598798,0.1028987707,0.1018364732,0.1011336232,0.1004302525,0.0997263606,0.0990219468,0.0983170106,0.0977563036,0.0971952658,0.096633897,0.0960721969,0.0955101652,0.0950022384,0.0944940405,0.0939855715,0.093476831,0.0929678188,0.0926768327,0.0923857578,0.092094594,0.0918033413,0.0915119996,0.0913116506,0.0911112596,0.0909108264,0.0907103512,0.0905098339
