age;period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
0;0.01021661;0.010229675;0.009900543;0.009565615;0.009219247;0.008869379;0.008589639;0.008319668;0.008042783;0.00777809;0.007533848;0.007300928;0.007069052;0.006863367;0.00663656;0.006451345;0.006280746;0.006105569;0.005939944;0.005801047;0.005631274;0.005491554;0.005344179;0.005215079;0.00508972;0.004976755;0.004850143;0.004738972;0.004657806;0.004551141;0.00446858
1;0.000379667;0.000360173;0.000344253;0.000329238;0.00031414;0.000301952;0.000286089;0.000275786;0.00026501;0.000254822;0.000244086;0.000229994;0.000224788;0.000215639;0.000204971;0.000198788;0.000192205;0.000184956;0.000178172;0.000168407;0.000164286;0.000160673;0.000155267;0.000151547;0.000144288;0.000141049;0.00013778;0.000135073;0.000126491;0.000124325;0.000120972
2;0.000379667;0.000360173;0.000344253;0.000329238;0.00031414;0.000301952;0.000286089;0.000275786;0.00026501;0.000254822;0.000244086;0.000229994;0.000224788;0.000215639;0.000204971;0.000198788;0.000192205;0.000184956;0.000178172;0.000168407;0.000164286;0.000160673;0.000155267;0.000151547;0.000144288;0.000141049;0.00013778;0.000135073;0.000126491;0.000124325;0.000120972
3;0.000379667;0.000360173;0.000344253;0.000329238;0.00031414;0.000301952;0.000286089;0.000275786;0.00026501;0.000254822;0.000244086;0.000229994;0.000224788;0.000215639;0.000204971;0.000198788;0.000192205;0.000184956;0.000178172;0.000168407;0.000164286;0.000160673;0.000155267;0.000151547;0.000144288;0.000141049;0.00013778;0.000135073;0.000126491;0.000124325;0.000120972
4;0.000379667;0.000360173;0.000344253;0.000329238;0.00031414;0.000301952;0.000286089;0.000275786;0.00026501;0.000254822;0.000244086;0.000229994;0.000224788;0.000215639;0.000204971;0.000198788;0.000192205;0.000184956;0.000178172;0.000168407;0.000164286;0.000160673;0.000155267;0.000151547;0.000144288;0.000141049;0.00013778;0.000135073;0.000126491;0.000124325;0.000120972
5;0.000193254;0.000184128;0.000177112;0.000165122;0.000155749;0.000147177;0.00013944;0.000130323;0.000122732;0.000115561;0.000111617;0.000106894;0.000100556;0.0000969875;0.000089824;0.0000860018;0.0000835491;0.0000810966;0.0000758267;0.0000738961;0.0000708096;0.000068255;0.0000633813;0.0000618906;0.0000638183;0.0000565099;0.0000543477;0.0000510029;0.0000505364;0.0000488934;0.0000466499
6;0.000193254;0.000184128;0.000177112;0.000165122;0.000155749;0.000147177;0.00013944;0.000130323;0.000122732;0.000115561;0.000111617;0.000106894;0.000100556;0.0000969875;0.000089824;0.0000860018;0.0000835491;0.0000810966;0.0000758267;0.0000738961;0.0000708096;0.000068255;0.0000633813;0.0000618906;0.0000638183;0.0000565099;0.0000543477;0.0000510029;0.0000505364;0.0000488934;0.0000466499
7;0.000193254;0.000184128;0.000177112;0.000165122;0.000155749;0.000147177;0.00013944;0.000130323;0.000122732;0.000115561;0.000111617;0.000106894;0.000100556;0.0000969875;0.000089824;0.0000860018;0.0000835491;0.0000810966;0.0000758267;0.0000738961;0.0000708096;0.000068255;0.0000633813;0.0000618906;0.0000638183;0.0000565099;0.0000543477;0.0000510029;0.0000505364;0.0000488934;0.0000466499
8;0.000193254;0.000184128;0.000177112;0.000165122;0.000155749;0.000147177;0.00013944;0.000130323;0.000122732;0.000115561;0.000111617;0.000106894;0.000100556;0.0000969875;0.000089824;0.0000860018;0.0000835491;0.0000810966;0.0000758267;0.0000738961;0.0000708096;0.000068255;0.0000633813;0.0000618906;0.0000638183;0.0000565099;0.0000543477;0.0000510029;0.0000505364;0.0000488934;0.0000466499
9;0.000193254;0.000184128;0.000177112;0.000165122;0.000155749;0.000147177;0.00013944;0.000130323;0.000122732;0.000115561;0.000111617;0.000106894;0.000100556;0.0000969875;0.000089824;0.0000860018;0.0000835491;0.0000810966;0.0000758267;0.0000738961;0.0000708096;0.000068255;0.0000633813;0.0000618906;0.0000638183;0.0000565099;0.0000543477;0.0000510029;0.0000505364;0.0000488934;0.0000466499
