period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit,,
49,2732950.38600311,769756.508725482,1347875.48370656,184502.360701633,338093.926038193,31526.3823338806,22013.568099542,31658.6935432472,8628.29603387195,2734055.21918241,1104.83317929646
50,2419502.96617776,721749.974433647,1198939.80559238,184490.905958938,232811.153335001,16137.3749999999,25597.0226439658,31808.9075393088,9265.2913119679,2420800,1297
51,2882752.81211788,897226.134311055,1531098.65096203,352663.844166735,0,6805.97482222045,24135.1080343466,65492.8324648875,7044.80601870516,2884467,1715
52,2795045.56361207,876956.681209488,1475322.92572732,330418.374078458,0,7465.77946213115,32078.7216082709,64600.6847017924,9096.66700669662,2795940,894
53,2785956.18068428,617294.465096948,1277186.82595818,289059.277122579,530049.086370462,4933.21021839665,18918.2026991476,43569.4034121687,6167.41335448125,2787178,1222
54,2359855.12730043,719203.414510711,1277403.50912271,289148.526761537,0,2861.16469196155,27582.7200621991,38178.514555828,6442.34937523244,2360820,965
55,2042594.74794552,516235.167658875,1184748.52181828,270868.340771007,0,4375.10034105341,18165.9892145549,43902.7103824896,5025.44714168128,2043321,727
56,3454125.98151695,1663806.85955473,1301387.26421632,352178.008210746,0,9837.26668231502,50258.4313936205,68441.6807747184,9287.73700998403,3455197,1071
57,3776695.69493838,1389361.93886498,1292326.22317724,327650.180735774,661367.26793771,7219.22065120015,44941.2631184611,46498.2250977931,8345.60472274641,3777710,1014
58,3478736.9335523,1671982.14986451,1332234.52030777,360782.267652872,0,5715.10618201646,49286.571337885,50643.2578547259,9576.27544442246,3480220,1483
59,3125500.16352033,1455886.21880469,1211661.93819438,347976.43807513,0,7015.90753478515,43371.6743062787,52132.4785463758,8492.48643091523,3126537,1037
60,3566144.20880394,1803558.69374306,1241284.98099189,371861.037987986,0,12695.4522571912,69074.4039802932,56929.0502124571,11861.1547092808,3567265,1121
61,3725666.55822782,1467775.95496095,1145779.77225856,344710.85997845,652974.192581824,7183.34766426935,47596.5909474342,51482.7714115379,8972.88974980129,3726476,810
62,3544425.74732256,1724224.84333269,1303612.37474202,375477.406191878,0,10256.53584285,53294.0049708427,68363.2458529998,9825.93722650107,3545054,629
63,2984902.25035905,1405820.93706881,1136909.10093443,333208.152597095,0,12194.687722523,31528.1547236761,59864.5737022915,5935.38109654301,2985461,559
64,3011867.14462508,1498219.48288134,1081773.67447092,336878.044343463,0,10030.1850812518,36602.755199989,41874.6889270672,7485.4186659119,3012864,997
65,3188182.67767962,1206580.13682263,1020784.01387332,304050.442690961,568910.053897667,5210.13616652644,33168.833379654,43313.1831161515,6816.76152437661,3188834,651
66,3385649.42240944,1684652.29907727,1196745.66685659,367296.387943079,0,10061.8585919262,53576.1041102211,64042.6690087778,9808.68425718617,3386184,534
67,2914737.6929805,1376123.76716068,1096735.90858291,328853.516979996,0,5333.17935475539,60591.8400936971,37301.4315591796,10949.3503841198,2915889,1151
68,3234013.92897722,1607264.55164783,1146900.05689423,353103.788758503,0,5946.0559370567,63644.480120724,46000.5059882294,11890.3677052979,3234750,736
69,3169080.74974327,1182765.16847978,1040998.20964526,306607.602149705,563407.818042939,5837.25606027229,33691.3252517428,29650.215661936,6123.15445162784,3169081,0
70,3093063.20627795,1485263.80895577,1152382.48665895,346241.577492336,0,6766.01344390095,47245.8239755125,46783.0515828036,8380.4441686716,3093063,0
71,2669393.4378385,1200077.71772849,1049804.2856286,312166.060022028,0,3654.987864829,52764.3112178121,42144.315501832,9663.11667579003,2670275,881
72,3029288.50672274,1485278.02065709,1101184.07320971,341112.725302176,0,5411.95791122962,52838.08202614,34911.5707416664,9356.72428173505,3030093,805
73,3208971.61179861,1245548.09546089,996273.376911639,313692.192146532,567625.836645976,5733.85732034653,35420.1517553069,38101.9813155338,6900.04576448753,3209296,324
74,3106227.84357243,1524736.50160656,1113475.47640442,351943.888703187,0,7477.10326857871,47417.2714598356,52566.9525214613,8610.64960838408,3106228,0
75,2756139.60862779,1309320.25250492,1032686.00592435,325502.22509966,0,4910.72606908738,35862.1410687582,41155.8080616634,7056.32815280282,2756493,354
76,3081589.47166135,1487697.02654699,1137701.04959871,352749.397158198,0,9226.91127116065,51306.9428780775,34595.9756746657,8691.08396101401,3081968,379
77,3336325.25896782,1266047.49383318,1048539.94803004,332414.707537056,598720.830981583,8565.09749982628,40000.0995121794,35037.6330242697,7456.72323113379,3336783,457
78,3094648.62225089,1499407.97134603,1125067.61799816,356615.169786482,0,6823.16895664061,60702.8479211464,34747.5305374624,11667.6254256769,3095032,383
79,2855574.08290992,1343352.32701756,1069113.71554928,339972.752989696,0,6954.37744125522,49163.8155486341,38436.4918485231,8948.37531518699,2855942,368
80,3077178.62694453,1540718.27182228,1074281.27612436,367275.654201582,0,9967.540573345,47751.1745242798,31689.7511137628,8734.66110764405,3080418,3240
81,3518817.69312991,1456766.37368451,1000469.23892404,358143.050888731,619307.291306341,7907.30418858677,35667.5852343717,33859.1641680637,7799.06384562813,3519919,1101
82,3135422.50161268,1614112.58391391,1049151.50589565,377028.625488811,0,7896.30685062495,42652.6971159894,39128.6470951898,9633.844568122,3139604,4182
83,3023157.43169851,1512506.34597771,1036814.18986727,366244.435822764,0,7043.01328919975,42357.7420649978,51045.6647252744,7602.51321654866,3023614,456
84,3170073.41306856,1621334.59193504,1065792.94334255,385338.455905267,0,8377.84611318949,49388.1406687157,34523.7218585454,9075.68295672062,3173831,3758
85,3713417.33599561,1553237.51066803,1036672.29055868,378290.750519486,660813.690278149,8496.36499509276,46933.3434143272,20522.4425126625,8993.64978251729,3713960,543
86,3235152.0009957,1631564.37346176,1093017.55631585,389705.436322286,0,9206.26094158345,68111.1530166927,35763.4715782455,11589.3164774213,3238958,3806
87,3121297.76734377,1555160.9907028,1076615.6569389,387067.574036796,0,8733.31511343007,43133.0771851066,48363.2689354265,7568.30432719811,3126642,5344
88,3223722.80695014,1623273.56115972,1097712.5650402,399908.076690528,0,5028.39592126073,63558.7296462584,23707.1988649418,10945.4965880343,3224134,411
89,3860326.51323701,1642870.52480752,1033129.60556812,401873.078855601,682844.401678805,7791.00455448467,52544.0735087153,29373.7094046629,10424.7615918284,3860851,525
90,3253971.67008784,1650240.97438195,1080493.96825668,410246.585669995,0,10278.0609066714,46182.0331075678,48447.0643078367,8583.4625761509,3254472,500
91,3233870.52611367,1651458.52545132,1047840.10529881,409843.481872922,0,6493.23442414712,55386.2187517201,53874.8631916567,9474.5762421107,3234371,500
92,3295415.76642332,1691054.56494601,1059818.96280162,421486.669876836,0,10311.1156045184,63354.7047355435,39061.5491843397,10834.7531525182,3295922,507
93,3956746.04492142,1675713.4242749,1036015.78789808,421754.558228717,710989.904155385,11337.1776470444,53677.2571898933,37706.344083135,10199.4925092777,3957394,648
94,3294924.03364364,1703874.80704585,1054470.19138438,429018.294153582,0,8019.43025081064,61662.3120197219,30112.1636767721,11971.9596420723,3299129,4205
95,3276159.88165884,1640537.26469817,1099044.38166967,428423.14191573,0,8498.14719730493,55730.7405397775,34700.000514203,9888.84577115672,3276823,663
96,3350594.17416228,1666538.87210915,1140058.72552859,433317.811287596,0,6859.52223010079,56837.3528087936,41402.6951181823,9829.63140153242,3354845,4250
97,3927655.40245066,1684234.51652631,1003338.11005744,434313.534886984,699523.806351722,8536.73584803275,49496.2242977077,41168.0585152457,10110.6122080802,3930722,3066
98,3256104.07427576,1688416.73294517,1016838.10979761,437573.194279586,0,6138.20578558296,59465.1790444717,42142.2500643643,10277.9767202257,3260852,4748
99,3297362.83080001,1723734.37585479,1009278.57658522,440511.628509025,0,7620.14344418388,60917.7561029543,51179.3284046204,10845.7146965169,3304088,6725
100,3304370.52645741,1751464.00584047,988442.092937288,445420.58589975,0,7498.66747724405,56934.039958011,44227.5089409389,11623.7164789151,3305611,1240
101,4040407.1926856,1748480.26047105,1007765.28157727,446844.408409319,707093.562895012,10341.8159306502,65390.0833301457,46603.0268271615,11154.1903608295,4043673,3265
102,3359736.0779663,1768897.84940652,1005190.33280406,453065.702252068,0,9399.31320529992,61216.726119687,55022.0052241486,9594.09249491763,3362386,2650
103,3372642.77014384,1756814.10735657,1043300.27442541,454068.305217,0,9145.36922460918,50847.9122578865,50417.753706799,10285.3779204076,3374879,2236
104,3415965.17339165,1804587.69170426,1034431.25490507,463046.36722036,0,11861.0814956656,54663.6759861311,38632.1302944702,11770.4810747639,3418993,3028
105,4114583.42382132,1829918.82082064,997557.331041748,464896.857873668,719293.306306087,11970.8232944339,47934.2383821113,37014.7564185055,8630.69805130942,4117217,2633
106,3375031.37880255,1775473.66674075,1001729.27880589,470036.002453248,0,7475.00112546172,62231.7957122695,47951.1314659118,10943.2242266352,3375840,809
107,3400361.01996292,1786581.82983693,1008881.38204426,470112.393404179,0,10289.9989620497,66214.982359655,47353.1542133232,11083.7867691289,3400518,157
108,3317175.57341901,1790176.00167736,932780.028702136,472116.331184497,0,13152.6423817956,57286.4593568357,40797.7303192078,11070.3073166605,3317380,204
109,4102267.26649882,1828761.36325328,957038.798885952,476252.913046234,710035.407743888,9188.18885218657,64550.7103423897,45490.4687059517,11171.2759755355,4102489,222
110,3536651.48019395,1926587.44577457,980416.563441474,486339.328548898,0,6529.25004705422,56337.6272903245,70638.215114282,10009.2680065638,3536858,206
111,3485715.55770042,1839109.173524,1014550.99359192,489633.246436299,0,8722.66317526299,55255.6777002669,68493.4436955258,10133.7693494337,3485899,183
112,3481119.85736333,1843341.14774602,1045324.08034196,486038.17058666,0,4700.29854855835,53365.2001310321,45025.7008909084,9629.04391304856,3487424,6304
113,4110097.17024551,1851069.14696048,945693.188193692,484793.683959188,710964.305913924,10793.9076636203,56581.1721089904,42759.5929400442,10419.1252781988,4113074,2977
114,3458721.50347863,1886541.34342404,956328.917958712,495149.795970041,0,9859.90579259654,60776.8107425481,43621.214404927,12693.3881527014,3464971,6250
115,3459552.7797804,1943060.76349135,884404.075676497,495285.563546336,0,12118.1380213968,55134.0877082671,59901.2059298356,12068.5452588414,3461972,2420
116,3392892.75294815,1908982.61521095,876600.436057555,501749.7648334,0,9957.1279226975,59802.7790289433,29336.3008061502,10727.5536153703,3397157,4264
117,4111459.72087203,1833744.82859632,967882.768062343,499161.329315337,706651.024891998,5402.67362083865,47167.4309268637,41940.0616326944,9815.23192913873,4111765,306
118,3518836.61875474,1918784.663167,962674.773286413,504441.571586087,0,7033.6856195753,65694.4445304448,54320.983680357,12487.7306989154,3525438,6601
119,3539041.2483804,1940891.16627273,975452.07894662,508705.983241857,0,10117.8457798872,69975.52687823,29763.1780637381,12384.3437408222,3547290,8249
120,3509961.32145746,1915610.7091589,946185.653800461,512695.921487225,0,8949.32082056604,72597.0130671836,43367.7477014359,12540.2473929989,3511947,1985
121,4271002.26910763,1910505.16595394,987872.322054301,515883.701978975,705857.897789874,14281.2356860878,75222.9878121871,51815.6846814266,12968.5474345967,4274408,3405
122,3592680.83331972,1961478.02720635,986900.33122765,516783.044087896,0,4502.19980954058,68962.7306964137,42566.7138626991,12012.4542281646,3593206,525
123,3570291.44060133,1945720.73378665,971353.442898487,517576.19781426,0,10866.6731766638,71219.8722205441,42387.891022106,12440.0599456283,3571565,1273
124,3600179.99769093,1990478.9489127,970834.737645198,518206.654554923,0,11704.255584031,56906.2667090989,48047.3235654814,10490.3493447073,3606669,6489
125,4255314.87126584,1937349.64494321,961550.796804497,523206.081215268,706395.931434998,12596.042363263,68737.8883224426,41893.7734694336,11960.0161266792,4263690,8375
126,3520858.32521824,1947062.59700226,917138.62069197,531399.248793239,0,8897.46690079709,62549.9958242675,45588.9232855564,11868.1863532248,3524505,3647
127,3511512.16480632,1893153.27714707,948151.603222756,537735.952793979,0,13549.988100943,71763.9079650126,37675.2180777896,12770.4426494228,3514800,3288
128,3419099.31172272,1897999.95120882,862063.468471243,546055.784156774,0,9673.86607719704,62424.839173788,27573.173082718,10465.8489625098,3416257,-2842
129,4258788.92927352,1934396.8988074,933614.918538937,549243.228132843,717379.232288163,12762.1689519763,50990.4206109427,50866.5524600049,9539.55083708043,4258793,4
130,3534316.93176703,1899419.63720237,950336.215055681,552743.88012185,0,7637.77542560964,71184.8281108895,37434.1406463443,13314.3256823275,3532071,-2246
131,3530874.08820756,1923454.03468873,932296.675204464,555162.239407237,0,11131.1371287042,64423.9366528705,31820.6493477788,11684.941726232,3529974,-900
132,3451526.01791468,1923436.88869231,850161.502893234,562877.727388771,0,12257.8623356273,65643.0076275279,21305.1309731852,12094.1982598373,3447776,-3750
133,4247145.60963539,1884944.93251193,938719.246936222,565505.410917582,718680.750467835,12219.8042895659,68288.0037972098,39080.0309292246,12696.3074000487,4240134,-7011
134,3498409.55611259,1923113.85589227,874039.781463177,568672.908950107,0,7680.93328401413,93817.4418520127,19195.9230925398,16674.14970125,3503195,4785
