period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit,,
49,2732950.38600311,769756.508725482,1347875.48370656,184502.360701633,338093.926038193,31526.3823338806,22013.568099542,31658.6935432472,8628.29603387195,2734055,1105
50,2419502.96617776,721749.974433647,1198939.80559238,184490.905958938,232811.153335001,16137.3749999999,25597.0226439658,31808.9075393088,9265.2913119679,2420800,1297
51,2882752.81211788,897226.134311055,1531098.65096203,352663.844166735,0,6805.97482222045,24135.1080343466,65492.8324648875,7044.80601870516,2884467,1715
52,2795045.56361207,876956.681209488,1475322.92572732,330418.374078458,0,7465.77946213115,32078.7216082709,64600.6847017924,9096.66700669662,2795940,894
53,2785956.18068428,617294.465096948,1277186.82595818,289059.277122579,530049.086370462,4933.21021839665,18918.2026991476,43569.4034121687,6167.41335448125,2787178,1222
54,2359855.12730043,719203.414510711,1277403.50912271,289148.526761537,0,2861.16469196155,27582.7200621991,38178.514555828,6442.34937523244,2360820,965
55,2042594.74794552,516235.167658875,1184748.52181828,270868.340771007,0,4375.10034105341,18165.9892145549,43902.7103824896,5025.44714168128,2043321,727
56,3454125.98151695,1663806.85955473,1301387.26421632,352178.008210746,0,9837.26668231502,50258.4313936205,68441.6807747184,9287.73700998403,3455197,1071
57,3776695.69493838,1389361.93886498,1292326.22317724,327650.180735774,661367.26793771,7219.22065120015,44941.2631184611,46498.2250977931,8345.60472274641,3777710,1014
58,3478736.9335523,1671982.14986451,1332234.52030777,360782.267652872,0,5715.10618201646,49286.571337885,50643.2578547259,9576.27544442246,3480220,1483
59,3125500.16352033,1455886.21880469,1211661.93819438,347976.43807513,0,7015.90753478515,43371.6743062787,52132.4785463758,8492.48643091523,3126537,1037
60,3566144.20880394,1803558.69374306,1241284.98099189,371861.037987986,0,12695.4522571912,69074.4039802932,56929.0502124571,11861.1547092808,3567265,1121
61,3725666.55822782,1467775.95496095,1145779.77225856,344710.85997845,652974.192581824,7183.34766426935,47596.5909474342,51482.7714115379,8972.88974980129,3726476,810
62,3544425.74732256,1724224.84333269,1303612.37474202,375477.406191878,0,10256.53584285,53294.0049708427,68363.2458529998,9825.93722650107,3545054,629
63,2984902.25035905,1405820.93706881,1136909.10093443,333208.152597095,0,12194.687722523,31528.1547236761,59864.5737022915,5935.38109654301,2985461,559
64,3011867.14462508,1498219.48288134,1081773.67447092,336878.044343463,0,10030.1850812518,36602.755199989,41874.6889270672,7485.4186659119,3012864,997
65,3188182.67767962,1206580.13682263,1020784.01387332,304050.442690961,568910.053897667,5210.13616652644,33168.833379654,43313.1831161515,6816.76152437661,3188834,651
66,3385649.42240944,1684652.29907727,1196745.66685659,367296.387943079,0,10061.8585919262,53576.1041102211,64042.6690087778,9808.68425718617,3386184,534
67,2914539.49259327,1376123.76716068,1096537.70819568,328853.516979996,0,5333.17935475539,60591.8400936971,37301.4315591796,10949.3503841198,2915691,1151
68,3233802.79859561,1606570.47632146,1147383.00183899,353103.788758503,0,5946.0559370567,63644.480120724,46000.5059882294,11890.3677052979,3234539,736
69,3159496.22685139,1174084.12106618,1041877.11800545,306567.911983614,562486.313800564,5837.25606027229,32870.1358217529,29650.215661936,6123.15445162784,3159496,0
70,3082036.38623703,1463186.99577597,1161963.12162122,347326.715766516,0,6625.35508398836,47459.48829777,47066.7326250308,8407.97706653243,3082036,0
71,2643635.42653625,1163064.13088273,1061089.47490948,312809.051399196,0,3677.15082196289,52243.8878822413,42231.2702741364,9407.16150057236,2644522,887
72,2945811.68302412,1421548.18684535,1085093.16911228,338549.215851521,0,5605.38306804645,51618.0482961205,34895.314067689,9306.63850372654,2946616,804
73,3073041.97636455,1156559.73789334,979193.588471695,309406.1124221,547559.114121213,5466.97900625532,31027.3384609885,37808.5481636212,6344.33251058899,3073366,324
74,3049447.62539138,1478993.21126969,1098771.07132832,355906.828659711,0,6951.77979404191,46515.5179164969,54235.953605342,8073.26281777466,3049448,0
75,2660444.57636979,1233488.98425645,1010424.7537261,326798.999712887,0,4522.08524738619,36001.8175955537,42654.7706493785,6913.66143661785,2660805,360
76,3082380.56759452,1474487.19770322,1138702.5216778,365777.569908297,0,8465.27607517024,49330.6226772172,36435.9357014483,9576.98456781523,3082776,396
77,3318063.73490599,1241744.75566795,1046821.95942594,343784.741933805,597166.57068269,8429.55205777742,37231.7857400648,36018.8249396128,7342.88251831711,3318541,477
78,3197552.43905272,1560549.57128937,1127089.51967321,376012.222683924,0,7560.55425712556,71775.2015181916,41030.29139089,13940.1380280372,3197957,405
79,2890199.1511939,1399953.05452689,1026801.71247871,359600.155404246,0,5390.52329201048,54561.1777672411,34110.9410408376,10170.2279431116,2890588,389
80,3189286.44872032,1671235.25996341,1040276.2078812,388146.841410747,0,8271.19511604735,54194.6872105935,20849.5917879791,10042.0492387049,3193016,3729
81,3620362.54682941,1491316.27546529,1011497.88853872,375861.073401798,649758.923486454,7011.49599643391,43273.0106572513,33890.6134094954,8136.61993423233,3620746,383
82,3308540.80784537,1746800.80352516,1020061.00838724,405045.114295531,0,6919.03026413453,78555.5893158135,40659.971987034,14599.9933657785,3312642,4101
83,3134027.60348184,1558038.14872157,1071209.05212654,393467.386831305,0,10498.3265656684,52616.3805182539,37487.7962614069,11122.3061002816,3134439,412
84,3325418.9314001,1755905.99112123,1043871.55773154,415553.5076387,0,8307.51451451133,59873.6358946434,33916.4277162299,12477.8255467807,3329906,4488
85,3920963.062818,1656820.6424912,1016314.29867178,407713.190673731,703039.202467824,8484.66679917952,64398.2867845236,53381.8191380439,11816.9473744578,3921969,1006
86,3339843.26854586,1757876.86209334,1024959.12032353,428851.013300285,0,13455.0477668629,62438.5613453994,46013.9334211396,11606.7264372448,3345201,5358
87,3265652.72388634,1742261.36324835,984230.827277702,426911.433735623,0,11058.647094329,56967.5295086282,32265.1623198311,12444.6002687227,3266140,487
88,3510545.75275068,1921528.70492123,1031724.52408656,446667.001145725,0,12071.8655607884,66102.3400925387,27734.3612000894,12204.6365204572,3518033,7488
89,4149048.37324835,1841738.59994619,991598.488026925,448041.269257866,734220.387994669,12146.8724398784,60329.2223676842,50507.5423386011,11287.5102353021,4149870,822
90,3521103.98258433,1937676.35884148,1012022.2850243,460592.763134713,0,12131.8513934214,57057.0795555326,34658.9248255232,11422.1412514034,3525561,4457
91,3456610.82686723,1894029.06833759,981438.007059664,462403.774839063,0,10606.3158513674,66604.7038219073,36770.2911082541,12298.3261758794,3464150,7540
92,3540690.5495847,1997168.88368275,973133.671629879,473468.932770235,0,10711.3454002733,47320.0272531976,34526.1769976342,10259.2781119171,3546588,5898
93,4254079.49635101,1968595.20552387,938336.080712492,474309.341643255,761793.433544103,12473.3204117483,69345.6490833558,18788.046993659,11956.0500756204,4255597,1518
94,3544849.66945572,2013958.28424968,935272.377496354,486864.461428597,0,11033.4222376946,53482.5326146901,41469.6049787777,9781.69617651503,3551862,7013
95,3537439.19078106,1945584.27801187,972700.966798082,488255.491408587,0,14442.5613816976,67922.3948604397,37488.4095571732,12392.7380206433,3538787,1348
96,3507145.60391136,1985312.53560713,932517.847197175,499265.726180308,0,14289.4400116614,44022.4721786373,28516.9964639958,8570.93256090721,3512496,5350
97,4285106.922998,1978663.15507815,924618.694298164,497593.466411344,766091.946986488,8979.84759438816,69767.570612585,29904.6207141558,11460.2969546968,4287080,1973
98,3556393.5174859,1990811.9922573,945775.364764468,510996.40021275,0,10920.7799642528,50491.8602551117,44966.8737797004,10011.0048332258,3563974,7581
99,3615390.41986777,2031149.66707992,957978.713931782,509850.888261575,0,13326.5976881673,58602.1873614545,38664.6061882121,10938.4746090485,3620511,5121
100,3516556.81277081,1982874.79555982,931984.684392345,514237.246755377,0,7411.92356527414,48074.5437834333,29303.6712046845,9638.39727239287,3523525,6968
101,4397290.16122597,2021145.01088163,941883.292631331,515533.969206996,792608.734342063,12122.376015895,73023.9726946955,33945.7884062295,13262.8359160116,4403526,6236
102,3714319.46726388,2157235.22166189,887069.46843291,525554.50746407,0,15291.3656068827,78493.2171159882,44162.3794212937,14511.6470939848,3722318,7998
103,3644310.97174934,2098729.33363539,889385.331893535,528705.861102878,0,8654.28690336463,70080.203844198,39450.1656653324,13106.5244927676,3648112,3801
104,3630517.96181683,2043846.65559533,926075.28714116,536630.193581811,0,11327.7338597916,62544.5418484471,45550.06662988,11794.2016196718,3637769,7251
105,4427511.96641028,2075608.86759905,874022.959565233,536233.00251516,799052.998612519,18355.3043723791,81807.209378145,30344.9979110669,16534.922254196,4431960,4448
106,3732016.18193037,2085513.75368131,945364.744269191,552103.511089571,0,13780.1924158448,73744.263537576,54815.1939283887,14297.8035977532,3739619,7603
107,3636019.3585892,2036643.30267205,893087.526584196,554072.930831269,0,13190.1845360256,64191.8008662016,66783.5768821854,12587.9645276304,3640557,4538
108,3674779.84684139,2092439.15398142,880251.345786273,561314.50287371,0,14673.9966641897,81100.0245491077,37972.1888348452,14354.8191693309,3682106,7326
109,4451031.87425351,2118456.94795477,828136.218882632,566703.269926209,813186.610202836,13040.7377686934,71819.5102774142,31828.650126228,13788.1859331515,4456960,5928
110,3822033.24740635,2215584.10181318,872565.954587732,577152.895884707,0,15458.7982423763,87273.0759035554,45363.2300117195,15877.4683380942,3829276,7242
111,3779741.88007629,2189173.89532549,845430.44480442,583071.328613175,0,18272.9255561846,80705.5334226376,50381.6542205285,17192.6281900524,3784228,4487
112,3795848.91655132,2248009.89615171,802608.387741459,585568.652711393,0,11275.8503296552,95774.7087143868,46024.4509645918,17091.2149081601,3806353,10504
113,4613750.98656191,2200421.45474497,854040.918658455,588715.062562298,830166.156316898,13807.8055640687,85609.3731869969,30660.3101910101,16122.1009669795,4619543,5792
114,3791433.94974385,2192292.30993839,843530.066375698,602565.922114085,0,17545.9258666929,81125.3947335637,46872.9015309215,16036.8439729361,3799969,8535
115,3712768.1467882,2185035.46658765,791521.280676806,605754.270089638,0,10995.8037939374,73346.6221993933,33730.7681796178,15210.1245994599,3715594,2826
116,3773972.65016481,2213435.41139699,840322.267727922,608867.722973561,0,14440.0917532084,59936.1462455082,32260.347356989,13421.1540984498,3782683,8710
117,4632160.58767784,2266609.56730211,801984.19333743,609190.227104594,814928.780468735,15374.8679829735,73407.9865848412,38761.522585449,13090.3437014937,4633347,1187
118,3908521.18541631,2379170.51828572,760744.581844285,621399.94688609,0,19427.079813887,76655.6965232665,46008.6049804305,13990.171828838,3917397,8875
119,3888827.1678596,2356467.58868173,751090.16029996,626118.948450864,0,14557.8266173867,80556.7814258374,43527.5098337171,14986.888687321,3887306,-1521
120,3792280.9772445,2318281.1480801,722863.946737605,629532.317758987,0,14485.7606137079,71416.9522220589,28088.444244017,14720.4938998307,3799389,7108
121,4705290.01694249,2390640.21688181,716620.254684397,635684.868202948,809800.228926713,13365.942776327,84872.8594545311,37227.945783955,16599.8860089627,4704812,-478
122,3991964.11967727,2392688.03879895,811604.996694809,646298.675542457,0,19987.1759823524,75262.1235467295,39864.3153301443,14887.7657587069,4000593,8629
123,3965692.80866009,2385780.97931954,766732.222385785,646607.076847066,0,15267.3269369915,107358.783850868,24411.0615929967,19716.8681252253,3965874,182
124,3913034.43872502,2431996.51773703,696192.819788398,655348.708565312,0,19648.5577993202,72993.4744536846,30968.0771333306,14317.8097249812,3921466,8432
125,4717950.04232559,2341728.74835372,752690.763404298,656890.213303849,812853.472350661,15976.5145694445,76898.1199521585,43699.2125389688,14949.2714410454,4715686,-2264
126,4072942.88768452,2543693.63761762,714616.57881041,672698.508615717,0,16192.3805599142,78795.1705549482,38720.0470739756,15226.3035477181,4079943,7000
127,4094056.41306788,2500953.85420441,739745.590957342,674935.46719238,0,21001.6512988409,97655.149727654,36681.1094335839,19496.7792946999,4090470,-3587
128,4062735.53329139,2512341.82448618,722891.929600084,682717.259808462,0,14735.5934742527,86366.6264447456,32296.256643349,16784.0161230695,4068134,5398
129,4837336.66799042,2519371.70221203,656769.861973146,680199.741910543,836589.597947996,9197.31006768888,84580.4252112349,28503.5283811631,19458.2028311454,4834670,-2666
130,4109890.37711121,2545500.94302654,729836.637371507,688677.14400061,0,13527.8400782299,84957.3820594974,35802.7332070099,17567.2860364315,4115870,5980
131,3977078.51582475,2425581.31882318,715798.486527076,689992.144762102,0,12808.3214759612,78764.0288460224,34776.1109812903,16064.0974667969,3973785,-3294
132,4031509.5358541,2554098.36201059,646300.311084998,697583.760941783,0,18737.6567457308,89097.015668853,14533.87510052,17775.6380709428,4038127,6617
133,4807294.97227009,2491495.81428399,633590.147632967,698128.353298481,840929.353117398,19994.8641530389,77546.5299619283,34019.1995052498,16928.6270844765,4812633,5338
134,4030591.42912637,2470123.14549159,690029.139456161,714570.50177246,0,23138.9099313203,93643.9229291809,21313.3814948014,18725.3702486068,4031544,953
135,3987326.61183824,2475445.42862394,636985.167395983,721580.090093486,0,28490.6275770466,80764.242476907,29390.4009820528,17003.3533453169,3989659,2333
136,4034955.68756772,2509269.19950093,656926.094544087,730781.611296227,0,14752.1786976984,94292.291612312,21892.9276538447,18311.8614620594,4046226,11270
137,4801406.62880861,2454013.61026678,636942.39962974,737179.599821756,847008.796453102,18124.2520498888,78024.3322766147,17424.3228290408,17949.4955656339,4806667,5260
138,4087849.50387024,2501595.77702052,685289.140579749,748036.942836952,0,20261.9053014314,97386.0795090012,21346.4154596649,21384.3158639304,4095301,7451
139,3948631.96683981,2453377.62458691,588975.333764336,751176.663417997,0,24045.7030059939,100418.33435385,14434.8934373134,20377.15328825,3952806,4174
140,3987317.44170277,2487810.28092097,597850.920173788,764152.710490662,0,20525.4513312691,82340.561951986,22788.391165577,16633.6990244999,3992102,4785
141,4807918.61203793,2471795.80032111,579698.116270952,770006.589805555,853576.208152906,22395.4717704136,80577.5815418593,10310.9604208745,16916.6391880405,4805277,-2641
142,4160239.69341395,2581264.67859497,615909.417538005,789678.208002564,0,23413.0721064545,113143.460217954,19071.2790986393,24410.6434329843,4166891,6651
143,4172557.1635356,2561983.88423325,646174.928271428,797431.141353979,0,27192.2246003001,105343.382868534,11575.7381730518,21004.9735160546,4170706,-1851
144,4143956.2065951,2603245.24177019,580302.193492623,796918.944825183,0,17865.8176709782,95949.0675492807,30731.9319240274,18300.1503851486,4143313,-643
145,5003461.0809435,2578168.07497835,574861.860428629,807916.521251497,878174.096589162,18778.2331621619,95403.8816061372,18380.5756463802,20312.9495625929,4991996,-11465
146,4159191.35035489,2569851.98322434,606069.030530008,817672.119883,0,31624.2905210426,88786.276492776,23735.4109034393,19575.7405325542,4157315,-1876
147,4083900.58395261,2523855.35898411,575422.867789957,819695.741949266,0,13835.5897078533,115150.190808534,13082.5342249016,22301.4158928309,4083344,-557
148,4159163.62763,2613329.07008829,584772.495301945,829510.016827033,0,17398.0509800099,80904.3474717232,25686.4233002395,18157.8405130195,4169758,10595
149,5081680.41896392,2590360.13180973,586829.686881856,834237.992333925,921135.940495134,18207.500937266,83361.8939598549,24984.4726755896,18332.4390016127,5077450,-4230
150,4221126.86306011,2601143.49134633,582557.447200571,847466.183497746,0,20336.7735874628,109536.253296229,37037.3631003804,22064.1979734331,4220142,-985
151,4121385.95689711,2570345.41342185,539633.669402383,853275.02576511,0,22481.7152288557,102100.902405969,17402.0401830039,20727.5647941701,4125966,4580
152,4198964.31606458,2629915.09151933,546867.712670884,865330.937189713,0,32784.0570278651,82462.2842034795,35969.4053231147,17805.451870755,4211135,12171
