period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income
92,0.6327099982068516,0.2653797585946901,0.10191024319845833,0.8515216272020828,0.9761092002556138,0.8830558881606708,0.9812712132893182,0.5387662472201251,0.6084566078416319,0.18246257991241913,0.1796310793408107,0.22597660386504645,0.26564174288763487,0.08677877611691123,0.10201084952634693,5789.0772885310553,4161.2752797765152,3640.0000284877192,2897.5819855586496,4924.0826945262997,5408.3554391525549,3642.7637444900561,0.6809506240198232,0.819696780768288,634.33695063129869,634.77002458283539,590.78559700680626,811.75148625791155,0.7910031613924816,0.5857579079258648,0.20524525346661682,0.35567443198218562,0.3607756280550623,0.29604275256421325,0.28877417081952733,0.32422836535652544,0.30468521893874384,0.29336162629239371,0.27935697739137899
93,0.6264636647545746,0.26204911590881486,0.11148721933661052,0.8535566778370961,0.9768649390597545,0.8843050355734157,0.9813489983631841,0.534722244473567,0.6028151837229184,0.18274866716987764,0.17965316472554335,0.22367377280527612,0.26240929848905997,0.09516066055825292,0.11164045684777613,5874.8889599422037,4215.4693810684512,3679.2792929744073,2928.1927406619652,4971.0124201151884,5470.9360014169306,3682.0824106204977,0.6843444002018155,0.8216373929800719,806.51202273519175,793.41278259044316,743.34515382993754,988.41458018540948,0.7887889565731157,0.5739054273797304,0.21488352919338527,0.35430297687092993,0.36077321470076895,0.29644253246097457,0.28959267277605677,0.32159239690760821,0.30451730239408381,0.29401196325741119,0.28028604682093361
94,0.6197161884618194,0.2605594634210679,0.11972434811711272,0.8533875089410529,0.9753403873604688,0.883651132160462,0.9803038408445593,0.528858054321876,0.5955088695510901,0.18329997395022965,0.18109136655698527,0.22235819141992252,0.2602495648460835,0.10217126319925426,0.1195819529632953,5985.6776009484274,4278.3153249708739,3730.247791829906,2973.1387891438044,5037.3297746798135,5552.3175274265368,3733.095806371708,0.6845845961678967,0.8301089585434573,656.14008061173695,653.69186784248291,600.8892631139197,877.78479776510369,0.8047648853778815,0.5852326253141593,0.21953226006372217,0.3576459713854806,0.36232143327404548,0.29947494007387943,0.29164290184268166,0.3246143334752461,0.30609315384798896,0.29660335337547539,0.28223147212144301
95,0.6183554507122799,0.25751489428895774,0.12412965499876237,0.8532347740198499,0.9763376956337504,0.8838002990461928,0.981315062264447,0.5276023732524345,0.5945379451825239,0.1844568806796587,0.18281022018569928,0.2197206626353844,0.2576196163694603,0.10591173813203095,0.12418013408176619,5982.0330057221709,4295.1853710675568,3736.2501056414676,2978.4147155556543,5030.8723575055974,5558.7250510301019,3739.1183262213135,0.6938696805545581,0.8336132134541647,655.04137288658205,652.73580223248007,602.41246268578334,836.5336338993036,0.809960340545969,0.5823793639431465,0.22758097660282253,0.36082902198198169,0.36223745542856922,0.30191609663233376,0.2911707150124403,0.32778726079242637,0.30580643205816599,0.29896778976807187,0.28230981033256841
96,0.6181571686538281,0.254886771344931,0.12695606000124096,0.850187326122236,0.9759423662077441,0.8806931383487409,0.9802501812588846,0.5255493903410902,0.5935875819731473,0.1880021626046889,0.18684051164736662,0.21670150259367665,0.2552285088560198,0.1079364331874692,0.12712627537857707,6002.9239587395614,4296.5428785251752,3742.2246783061996,2983.4768960528213,5043.3645157070641,5588.205484504394,3745.1130300641671,0.6966483429862899,0.8361489554424755,658.04391789432475,647.42223840189297,593.93311667912201,870.83666762340386,0.810959210552402,0.5938766560624618,0.2170825544899403,0.36249474766784867,0.3648671989983735,0.3025793346960638,0.29266598516713593,0.3287730431674119,0.30837138221832228,0.29919243040278415,0.28317505693822864
97,0.6148830044492327,0.2520084718591914,0.13310852369157591,0.8480987460818561,0.9729653359896522,0.878990857832264,0.9777156538130622,0.5214815050604386,0.5881885359630327,0.18990279483619843,0.18869705341915666,0.21372806898578495,0.2517858585879926,0.11288917203563255,0.13299094143862694,6014.2833251627235,4301.9016411017365,3746.6897591901302,2987.6694735843766,5039.9624342361685,5596.5903417647369,3749.5886069519784,0.6921253446044061,0.8346882437097006,820.34014708222765,807.31340747830143,758.06994985664494,1015.7923490032537,0.8103769952254208,0.5968287747025263,0.21354822052289454,0.35965233949241726,0.36655771784960683,0.30139411460406323,0.29514426910261393,0.32656715759790872,0.31071532814033287,0.29740605689113853,0.28400815520188616
98,0.6122854831704069,0.24989246666071382,0.13782205016887936,0.8473300434032408,0.9726274938706198,0.8774605566604569,0.9769912496044607,0.5188078850299551,0.5854508333090026,0.19138313877721463,0.1899017589433977,0.21174139462176553,0.2495458037846046,0.11678076375152019,0.13763085677701262,6030.1021696744983,4312.3302038867841,3749.9224275084985,2991.0703476252315,5041.4568332315521,5614.7178180281717,3753.3315549247936,0.6885567706458899,0.8299074104575647,646.87140271304781,648.02780686188532,600.45219907292415,829.75818111480476,0.8190188021780314,0.6033991770306951,0.21561962514733626,0.36541352516158787,0.36837018388165427,0.30542099453007521,0.29688032567560929,0.33149250761335053,0.31258239462007864,0.30117522204107017,0.28512230493409535
99,0.6100003334827441,0.24720288066070548,0.14279678585655042,0.8460209307424751,0.971802541851142,0.8763329413826801,0.9766803632532741,0.5160730498862913,0.5828670549475701,0.19406266959937282,0.1937791606753375,0.20913881117879105,0.24652834606842672,0.1208090696773927,0.14240714083514525,6050.7058070502426,4311.4721117678819,3755.899969151179,2994.5673103818986,5047.0164389078809,5632.6647370161645,3759.3325968881672,0.6762199444879908,0.8262721075227458,650.98353890710223,646.69993861075909,595.65125024493614,839.81056315219871,0.808386129009078,0.5908151991664471,0.21757092984263096,0.36354216533054767,0.36967819380307754,0.30591635157908059,0.29791937569848342,0.32937771356576978,0.31309737086524314,0.30160937716973091,0.28602563951887627
100,0.6064778955060285,0.2447330236442403,0.1487890808497312,0.845443270818307,0.9714536088639951,0.8747290832882311,0.9761984257619608,0.51274265565562,0.5793508023309333,0.19555757268334356,0.1965714686907613,0.20690788798704057,0.24385035637483196,0.12579272717564627,0.1482524501582299,6068.4797123333638,4321.6687591612836,3761.8585548509814,3001.4978678490629,5047.6399324372906,5651.8779841490514,3765.3057951477349,0.6847198365483154,0.8274880635798963,647.15417539709699,641.12951856939401,589.51905925190385,844.29982919746624,0.8148627116252035,0.6025722997081157,0.21229041191708792,0.36654952763100596,0.37230930990709776,0.30773162696793943,0.2997128018047539,0.33100523650829011,0.3145214468286095,0.30357772553289564,0.28756366396474764
101,0.6029223465243221,0.2412151881368404,0.15586246533883755,0.8449553568782285,0.9714910776654228,0.8740214112227687,0.9765409722910584,0.5094424664773175,0.5759708663110794,0.19811166038515438,0.20043930356383527,0.203816065376613,0.24026907925606708,0.131696825024298,0.15525113209827626,6077.4005375173829,4352.7403263325332,3766.2765454582377,3005.5321806098746,5041.133353661302,5671.52600318041,3769.751797997601,0.6726847827568407,0.8250377035404945,812.96562006045178,798.89677066142372,748.44818753851678,1005.8637161242118,0.8148196494509649,0.6025808106628159,0.21224731903160465,0.36642484066022918,0.37260363515741024,0.30903600357759159,0.3000747086926881,0.33275404287768268,0.31572642027972664,0.30508504289474386,0.28850040112183661
102,0.5999500163627639,0.23809780858343102,0.16195217505380508,0.8421607423626024,0.9697139083973677,0.8711378082049269,0.9752575278205848,0.5052543511605208,0.5722685472499384,0.1975986603273211,0.20060652110744503,0.2005166272315311,0.23654761502668678,0.13638976397055064,0.16089774612074267,6100.1166812420706,4361.8869594752132,3769.9543142009952,3008.8542538525271,5044.6734542281683,5680.1423010702938,3773.4613968251447,0.6655352166421047,0.8225373177046492,655.61244227400039,639.6168658958062,584.42278825334927,885.10643507197381,0.8080964645275015,0.6034154483933604,0.20468953171743043,0.36919151764916336,0.37509013604294406,0.30897115448910484,0.30110781583001095,0.33471447504416851,0.31722854546068169,0.30535600895284803,0.28901534278745983
103,0.5987290037856488,0.23477831094099597,0.1664926852733553,0.841372498960941,0.9686054970573595,0.8707343032379432,0.974037490752454,0.503754118115526,0.5703341553659664,0.19825464221951722,0.2011125064337737,0.19753601417825462,0.23302325306502022,0.14008236666716042,0.16524808862637294,6115.5217177868517,4382.5144760875974,3775.9003370374458,3013.8905578729041,5049.8304612314805,5693.5266295851861,3779.4413528173118,0.6692141918325201,0.8225023798797885,651.69440649373098,641.18469249837904,590.63068951322953,847.26949521146878,0.7999906609285296,0.5976575411323533,0.2023331197961763,0.36876536485180433,0.37566836743291088,0.31061224874886839,0.30264675709793826,0.33427238610180876,0.31703035114996791,0.30651180831238817,0.29015005728650017
104,0.5942782656917452,0.23229271602305568,0.17342901828519913,0.8400168723115176,0.9662525945574905,0.8687149826343143,0.9724005065844729,0.49920377002909283,0.5643391435735279,0.19967404776078618,0.20406981085944428,0.19512980077443476,0.23011231403326968,0.14568330150798994,0.17180113695069293,6139.6653720340864,4404.8435247961888,3781.8275811710337,3026.7780233013655,5052.0918307295742,5713.5488945420157,3785.3934354464704,0.6657921190130409,0.8207711716736149,649.86926830308641,639.12571265065264,588.24088044655002,842.082155259964,0.8043293954337205,0.601053332325751,0.20327606310796956,0.36791285919969952,0.37763955024598594,0.30995421677286933,0.30449529703536615,0.33200553364472585,0.31780220958016497,0.30546026023353651,0.29048262520278023
105,0.5907915456257175,0.2287013016651149,0.18050715270916762,0.8415328740114578,0.9674414925572052,0.8689029423055386,0.9731746039012932,0.49717050733208135,0.5615501299430631,0.2009074660412328,0.20685007739611294,0.19245966368040554,0.22684742207104164,0.1519027029989709,0.17904394054310047,6147.4549893068124,4422.0095627927039,3786.2184512307049,3030.5208842023485,5044.8082190150726,5727.124181473042,3789.8102941260759,0.6678902687361744,0.8198891859414086,807.77671121490005,796.15329168393544,747.55119377218466,1005.1791969966559,0.811571161190958,0.6152380557723431,0.19633310541861487,0.36837395564930581,0.37758349465708252,0.30985192739024181,0.30467572952604427,0.33206003501173631,0.31626173324887524,0.30465058654013349,0.29130180033617664
106,0.5891802485484364,0.22545507792604666,0.18536467352551697,0.8417319683448075,0.9681265711498407,0.86930775755427,0.9732458511045805,0.49593185032055825,0.5610452748543855,0.20294769099253762,0.2081089374295648,0.1897727465160232,0.2234034392315453,0.15602737150822601,0.18367785706390988,6150.2616367832979,4435.35618305153,3789.8730697919295,3033.4758369505316,5040.3580662415425,5736.7638720641362,3793.4869909860608,0.6720604374774796,0.8223796403257226,656.26754851154635,643.56972788053235,595.34293708352891,860.82923424751266,0.8130053451994599,0.6184966317110373,0.19450871348842258,0.36696068043963442,0.37810741922007307,0.31077541912151346,0.30566600693371032,0.33184849755749807,0.31823621847199518,0.30607590273096558,0.29230978641319288
107,0.589253026681717,0.22335700042804893,0.18738997289023412,0.8408322159743097,0.9677344695070843,0.8685274919418864,0.9726018491021956,0.49546292819435706,0.5616130179686384,0.2043950474862464,0.2102805884935548,0.1878057616232912,0.22084172280637193,0.1575635261566614,0.18527972873207396,6152.9405477599594,4447.1875704969043,3795.8107063031648,3038.2472330834585,5042.7968009541046,5750.4949858219125,3799.4462424616595,0.6630889245077302,0.8172287495415514,641.93819224677816,637.88329483636437,588.49095200634781,851.20125328431618,0.8181664001962269,0.6220163020905174,0.1961500981057095,0.36709448240270853,0.37866889310132795,0.31077537556505219,0.30691927908652356,0.33178487869228751,0.31985880385475673,0.30554385145828927,0.29325328897894354
108,0.5829358325882037,0.22007902333346643,0.19698514407832984,0.8436076795302002,0.968493484578607,0.8703040441213311,0.974011812130871,0.49176914504473984,0.5559458766913534,0.2078790040549308,0.21595425142964284,0.18566035418761842,0.21769569700946845,0.166178180297842,0.19485191087778506,6171.360178939949,4465.6396004142916,3801.7102475556894,3041.6387857688196,5033.3413168398401,5768.7395113324719,3805.3775890386628,0.6676830282026361,0.8167203015427322,641.61609820479805,636.91619473559217,590.11109941016991,831.66427075789409,0.8198714728520616,0.6267322159268528,0.19313925692520884,0.36693878080944098,0.37836106042888684,0.31273281721992036,0.3071842465051382,0.33188914160290534,0.31945206886360777,0.30703072448442342,0.29467732671162611
109,0.5799103709125051,0.21688284802293667,0.20320678106455822,0.8423138957250499,0.9682409338023505,0.8678033892509032,0.9737823395036552,0.48846656369467084,0.5526723791495455,0.20830530454275364,0.21830452717548507,0.18268343663414371,0.21454871875235906,0.17116389539623536,0.20101983590044603,6183.7432073164009,4484.5899846268439,3806.06530944725,3046.5361976102076,5030.563915169786,5784.0877213416852,3809.765722473699,0.6693422033599978,0.8198140932338858,801.97828919285143,791.81910231452252,741.79054417845919,995.85010210391056,0.8251542923218563,0.622230821095146,0.2029234712267103,0.36997622697141785,0.37999042823413931,0.31357606396059234,0.30805868693548127,0.33434755521216564,0.32027695775331139,0.30736722626332408,0.29555686563872025
110,0.580964347259373,0.21398491445661258,0.20505073828401443,0.8434031934445025,0.9689482608117145,0.8681363705339831,0.9744427295480016,0.48998718575595607,0.5534598799715651,0.2084725758316613,0.21963033065675688,0.18047556020165573,0.2121734631655028,0.1729404474868907,0.20331491767464668,6201.4141026597399,4475.472121880739,3811.4364693803414,3049.4569899142421,5043.6838102412166,5797.611219195046,3813.4099533899762,0.6687170928224672,0.8160477651206149,652.77492953085152,645.15394561357823,592.67977521119792,847.38302708076981,0.8213602807923649,0.6084538032186977,0.21290647757366726,0.37080599208551224,0.38010436538642156,0.31387350219372118,0.30749511717431194,0.33553281622276049,0.32156724895261879,0.30789024018650807,0.29554271701199536
111,0.5820707857722363,0.21154426317303804,0.20638495105472565,0.8405305804677734,0.9667685004988787,0.8643086243950077,0.9724616456083851,0.48924829543847076,0.5527897695278927,0.20823931656172623,0.22042760330741798,0.1778094223194611,0.20954463730032502,0.17347286270984155,0.20443409367066098,6228.9294326329828,4485.7535418577882,3817.3642355769016,3054.2095525957802,5063.5622428740699,5826.2290746052704,3819.3488717244022,0.6747287171779719,0.8218180324848612,656.54576595312903,649.52384408708213,598.76525213093953,875.08232901174449,0.8178678100115534,0.6167186554455066,0.2011491545660468,0.37052324066499709,0.38217848272219851,0.31477888669167386,0.30930470963207585,0.33476767682065572,0.32319592190691238,0.30790352522653047,0.29615936794509401
112,0.581747357315731,0.2093296478738299,0.20892299481043913,0.8377480941526181,0.9650708689708465,0.8623201656605128,0.9711968913383463,0.48735773986957576,0.5519889946683696,0.20823250920568123,0.2201137693383881,0.17536551355593966,0.20674175000030762,0.1750248407271027,0.2063401243021692,6246.1248856382826,4500.8149287006499,3823.2633416142498,3058.9413195484021,5073.0721961425752,5838.3068015831586,3825.2598518298682,0.6649781134492054,0.8198424565698754,664.02358043282675,645.40357108504793,598.83230846362972,850.49603428006708,0.808992091036429,0.6195860414811748,0.1894060495552541,0.37338459652521011,0.38411651395588553,0.31530197558711853,0.3105623142131273,0.33573865542809345,0.32349636433123052,0.30875043311322942,0.29676300022173246
