Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen
70,11384.012963574027,6880.8144806731407,5679.3857003774729,4189.7048433496275,3093.7311561453748,3093.7311561453748,3093.7311561453748,3093.7311561453748,2734.8145345828007,21.564075982924692,120327.0,378180.0,347740.0,317538.0,419218.0,0.0,0.0,0.0,1329450.0,391865.0,0.0,3304318.0
71,11480.286762959828,6933.5432957455214,5689.6848529268291,4196.4690610634934,3066.1336498718169,3066.1336498718169,3066.1336498718169,3066.1336498718169,2717.8519118207955,21.32846215719465,119618.0,380287.0,352460.0,322994.0,417606.0,0.0,0.0,0.0,1308776.0,391729.0,0.0,3293470.0
72,11477.569497199665,6968.8865308226013,5718.2352105479167,4222.9954633282787,3050.6770678878638,3050.6770678878638,3050.6770678878638,3050.6770678878638,2710.4545580499648,20.176370471357291,115874.0,389512.0,361710.0,312989.0,425769.0,0.0,0.0,0.0,1241818.0,440085.0,0.0,3287757.0
73,11763.040498609478,7134.0002561479932,5868.8650660500844,4370.3993369561222,3108.6465251029476,3108.6465251029476,3108.6465251029476,3108.6465251029476,2772.2043297978194,20.496158984779999,120917.0,383147.0,345287.0,341003.0,427232.0,0.0,0.0,0.0,1229736.0,438584.0,0.0,3285906.0
74,11926.557890114276,7250.5776041533154,5940.1025667211861,4412.7668672503523,3353.9390125081582,3082.4281634645927,3082.4281634645927,3082.4281634645927,2809.8860344166842,20.55837894261261,122461.0,379437.0,359042.0,340023.0,273142.0,171325.0,0.0,0.0,1188345.0,437468.0,0.0,3271243.0
75,11306.116329389288,6870.1544610014307,5605.1306370859847,4156.0499679022068,3168.0822264830235,2901.8267317228001,2901.8267317228001,2901.8267317228001,2660.0093895477717,20.484669077779408,128170.0,375464.0,375844.0,336683.0,271748.0,170755.0,0.0,0.0,1166934.0,430879.0,0.0,3256477.0
76,12882.890445052955,7825.0154414138833,6378.3445387859119,4992.0141745544279,3757.5939811029325,3299.6639322417341,3299.6639322417341,3299.6639322417341,3031.6235926978661,23.191208155153589,127197.0,381264.0,382510.0,225080.0,330022.0,226343.0,0.0,0.0,1154256.0,427628.0,0.0,3254300.0
77,12242.916863852342,7425.1644713518135,6044.5590906892148,4770.2247694696571,3579.2658466070548,3124.4322058939629,3124.4322058939629,3124.4322058939629,2882.754857862737,21.967850071465314,127871.0,348214.0,424516.0,225236.0,330475.0,221820.0,0.0,0.0,1138435.0,425802.0,0.0,3242369.0
78,13829.424284711893,8345.5475441883664,6897.6859067377382,5541.5518395481276,4012.4377584463405,3496.2884721790087,3496.2884721790087,3496.2884721790087,3231.1315188213002,24.749848654987009,118434.0,356391.0,380133.0,261632.0,341759.0,217512.0,0.0,0.0,1129381.0,422464.0,0.0,3227706.0
79,13162.381063541849,7934.7199197593709,6593.1804855005366,5347.442267748007,3843.7311370602479,3327.5013883298975,3327.5013883298975,3327.5013883298975,3084.649826869058,23.336261603278682,120893.0,355286.0,338231.0,302524.0,347785.0,215174.0,0.0,0.0,1120726.0,422074.0,0.0,3222693.0
80,14411.205076911881,8836.4037146018909,7279.6010729285399,5871.9577777361865,4243.0305352423775,3637.1092153943155,3637.1092153943155,3637.1092153943155,3376.290878151121,25.317154231993651,117508.0,343365.0,332516.0,324685.0,317369.0,238373.0,0.0,0.0,1102233.0,423994.0,0.0,3200043.0
81,13834.685930360289,8480.5158709724656,6979.5598504145055,5715.7837961120558,4123.8665524553562,3479.4822757591069,3479.4822757591069,3479.4822757591069,3238.4191432570024,24.097188948534015,115721.0,344754.0,331331.0,324984.0,318470.0,240577.0,0.0,0.0,1069325.0,443379.0,0.0,3188541.0
82,15103.786667794129,9265.4774507300881,7606.6834207693946,6265.436632247046,4502.6360470835143,3779.110296852904,3779.110296852904,3779.110296852904,3526.1610196129423,26.253431628342643,113107.0,349384.0,334402.0,317615.0,313535.0,250888.0,0.0,0.0,1058600.0,443469.0,0.0,3181000.0
83,14551.143419277709,8927.0931536851058,7310.9447038108256,6067.8705601830743,4369.848458344236,3629.0749060209196,3629.0749060209196,3629.0749060209196,3396.1465914474275,25.184940461411649,114668.0,343955.0,344128.0,318829.0,315480.0,250914.0,0.0,0.0,1034572.0,443907.0,0.0,3166453.0
84,15611.988122566634,9594.5841090289741,7842.8452041756045,6527.3438198758759,4726.2410110398669,3885.8385639416661,3885.8385639416661,3885.8385639416661,3638.580022080756,26.623526511576816,112049.0,345301.0,348339.0,304818.0,315486.0,256491.0,0.0,0.0,1015027.0,448040.0,0.0,3145551.0
85,15038.398704712048,9235.3423302067058,7557.7197825047879,6332.7905442576457,4602.4989965493587,3743.3977315014909,3743.3977315014909,3743.3977315014909,3508.6595267124303,24.399324719657496,112762.0,342663.0,348086.0,306908.0,246107.0,326955.0,0.0,0.0,1004823.0,451913.0,0.0,3140217.0
86,16068.466397130756,9887.598428330828,8043.1550297230333,6765.6868862759629,4895.4599949817648,3973.2603188576263,3973.2603188576263,3973.2603188576263,3731.8767211919289,25.783880316723021,112925.0,339110.0,325700.0,341172.0,251416.0,318611.0,0.0,0.0,994748.0,447298.0,0.0,3130980.0
87,15572.779694961078,9613.2964515893673,7778.3517398100594,6533.413660917543,4730.0679261539944,3836.6439023706639,3836.6439023706639,3836.6439023706639,3613.2642711412573,25.018074657392738,114536.0,340056.0,284887.0,385293.0,258991.0,316035.0,0.0,0.0,981410.0,445249.0,0.0,3126457.0
88,16443.644552874117,10169.491623453832,8228.8482559907152,6941.2333690998703,5094.1458024675412,4066.7388640203762,4066.7388640203762,4066.7388640203762,3803.3243901491396,26.274568719779495,114742.0,336880.0,289338.0,381797.0,259499.0,302356.0,0.0,0.0,985044.0,444252.0,0.0,3113908.0
89,15878.098371789212,9838.7025707624089,7972.132070110757,6727.7288563776956,4918.5168230374211,3926.9281917682624,3926.9281917682624,3926.9281917682624,3668.6454214929036,26.094996847595777,118082.0,336567.0,285013.0,390395.0,265702.0,301422.0,0.0,0.0,969919.0,436838.0,0.0,3103938.0
90,16681.820754666078,10348.667748606493,8381.1943797027507,7089.3504477695751,5235.7585152119254,4139.0812673140636,4139.0812673140636,4139.0812673140636,3843.0752832099256,27.275287495034252,119750.0,336372.0,281723.0,390148.0,252991.0,310245.0,0.0,0.0,960309.0,427255.0,0.0,3078793.0
91,16144.875738913972,10031.484449104531,8132.2094259477017,7106.4000900279598,5288.7575542128361,4005.4431934192517,4005.4431934192517,4005.4431934192517,3710.6203569647846,26.037512798715046,119408.0,331529.0,287450.0,372299.0,263626.0,329009.0,0.0,0.0,948558.0,417673.0,0.0,3069552.0
