period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
71,2943549.665419367,1468510.4937257303,1076624.3011396665,288571.37528839207,0.0,7374.299121498193,50055.5013861593,46205.89803040377,6900.017231372226
72,2935079.437291677,1501171.1766303559,1041719.3206904429,286760.18613855145,0.0,4129.956601802663,52705.908102993315,40504.15419694689,8781.343718124792
73,3498261.3122942555,1420375.8608971697,1068762.5838891915,284646.169294028,627935.4074013102,4410.553587689564,37546.872484903804,49118.721281852246,6541.125891666964
74,2873458.119922741,1433235.1457238793,1048826.6898563453,282613.6320864043,0.0,5422.056432680823,58906.51842842717,34799.435370943065,8724.078848058825
75,2870501.346015321,1442085.3857043823,1044654.4753960783,283019.54417412344,0.0,4643.442408418473,35718.300463448926,53886.691189149715,5562.421527703073
76,2856161.0616648514,1420292.3387749472,1052153.8824988627,278267.5788511368,0.0,7860.858862049355,40901.43188853771,47945.627896706326,8270.459736744777
77,3416463.2799398196,1354580.4426767246,1072499.6290279068,277873.76163949305,617956.3352284613,6156.408879590773,43599.730404206784,35926.589709359396,6855.344673966263
78,2811752.982783429,1384917.7362778303,1029254.8636053156,278812.88225596986,0.0,5799.82734146112,62305.2380293763,41280.01191212809,8449.770523895417
79,2827762.626894616,1380646.8230262387,1050869.0389936161,280559.3202252697,0.0,9478.81702888461,47689.91270353699,52613.604617099896,6255.413819015478
80,2820372.333125361,1399640.1580962448,1023528.110569717,278816.1203459101,0.0,6750.574126962797,52650.02946304591,50086.442122334716,7842.695728200631
81,3417945.269819372,1422423.213547854,1015320.4687963142,275654.0509857652,609080.2460512408,6718.505455405767,45924.20162061449,36371.42879032705,5849.538490021227
82,2820699.643686616,1430106.2771451534,1017523.3567370531,275055.1169956733,0.0,7149.643474453314,52068.09796327311,30743.243974514156,7410.936711565268
83,2784469.80973037,1396900.5103158955,1007807.6895011741,274036.1804615001,0.0,5883.720883580575,55159.74432884118,35516.08027975438,7969.649744915325
84,2793437.4873016025,1388706.8659627752,1016572.964709395,272323.4496118666,0.0,6222.465999653607,59466.22128304879,40443.406148022026,8402.140518822764
85,3377977.9085979764,1422696.6357763933,980839.909520612,272655.91574517655,599948.961909868,7020.729579101412,48815.580965929694,41593.396235973785,8194.469821199667
86,2786854.735764398,1404628.664312749,991329.8418651466,269383.32034202135,0.0,4613.876297639347,45803.62974211528,63614.191249940086,6628.363053349216
87,2758010.284478611,1392349.3126143576,986591.6469748465,267883.7885899206,0.0,7013.239569730556,53981.887468767425,40781.4941439531,8182.44979105382
88,2804257.80040686,1431232.9895362235,985160.9922379747,268360.0685409102,0.0,7432.004134443883,53422.58216396705,52128.811188985004,5506.313021561969
89,3341199.721325162,1369731.7249073978,1005205.5141825662,268027.64333687554,594082.1272974524,12227.060042000752,48447.97439702004,38055.82623471914,7995.576034876741
90,2748450.578082399,1356330.5228343732,1021514.1980295132,265535.89946837863,0.0,7702.746869373372,58017.53852092263,36414.823471329335,7011.29199778041
91,2738440.3734491947,1342718.8519215926,1023322.9260335007,265718.7722347458,0.0,7806.486462271556,53926.23928222212,36848.36387997673,7082.986694732428
92,2689069.2078683693,1309876.6091786874,1020979.4434765073,264011.18489504716,0.0,8568.133960746949,49508.03502083062,32737.3764958037,7759.347675293386
93,3297946.5448971535,1299875.2778800584,1044413.9099630298,263314.3379655329,589135.183504655,4765.197683119705,49704.62190023895,44184.21855088021,7803.701071971191
94,2701114.639022027,1319973.960533741,1022498.6031877479,262547.64550660306,0.0,5792.136985091401,48672.88891809997,32360.303214933287,7965.831503823793
95,2725661.535231182,1360638.8651312331,1000408.9171366142,259141.50127203276,0.0,6651.115827564156,53210.7154574078,38290.75933404279,6700.306921513081
96,2661930.980473929,1349139.9515864316,976292.1034967883,255415.11787278767,0.0,7077.510280005323,42015.296721111445,25229.12764134205,6142.1713135511745
97,3218937.338740458,1343401.1802794018,943612.2183255077,254692.8652454154,581690.6741929142,5223.035119357828,44070.10585930714,39711.19347896808,7537.072551084269
98,2687157.0723999133,1342666.0499203799,997472.6340763064,251322.7124012158,0.0,8112.018874098485,45871.48307816741,39702.679971543716,6344.234980022547
