period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,"total family benefits, sum"
47,2443668.57473225,831364.273535037,1305921.70509279,191066.358985066,0,28869.770034217,39303.695303814,35646.7627985185,14777.3263518139,,#VALUE!,,2446949.89210125
48,2406386.636,941821,1145630.276,212017.9,0,15365.25,30240.252,53522.196,10107.25,,#VALUE!,,2408704.124
49,2475644.20163724,741036.142353406,1071160.67346969,204742.820271417,359539.863810587,16510.5281906163,28195.7698532794,46934.2521220108,9397.27654886426,,#VALUE!,,2477517.32661987
50,2153884.3665634,639631.063016525,1045425.12691443,192450.572809202,203312.987946921,5907.07116925395,20879.5842423641,38540.6737225862,8982.11166750136,,#VALUE!,,2155129.19148879
51,2665776.89983434,877848.836421206,1319702.80889737,365414.943739506,0,9234.60070499048,26621.6702022099,58370.1431861649,9618.98855115684,,#VALUE!,,2666811.9917026
52,2503822.48924874,833236.289871214,1226863.64690395,344396.837721757,0,8025.53405284315,26249.8240386703,56735.4049631729,9411.02266999457,,#VALUE!,,2504918.56022161
53,2533968.23568916,563145.59476649,1089007.19382663,302106.05258252,491201.420373741,5731.19125801846,20270.1350331431,58039.5547102352,6653.97522309484,,#VALUE!,,2536155.11777387
54,2460733.84050738,1024597.31442816,1047361.17270912,301983.321645648,0,3701.07337030618,43694.3096654384,35693.8935100071,5261.03224128975,,#VALUE!,,2462292.11756997
55,2152324.14886019,822721.878176193,953432.146531605,283534.676936404,0,1982.64771392068,47853.6211795643,36672.6599620986,7347.16041905641,,#VALUE!,,2153544.79091884
56,3681844.00226847,2034431.24072171,1101114.86412769,373495.351067,0,12120.9248664154,105717.444164371,41945.06804547,14389.0323735936,,#VALUE!,,3683213.92536625
57,4034595.66705121,1703888.31901493,1126763.98236026,350453.6641774,715177.674636918,10472.5703462763,72469.1212741547,49228.5513451134,9221.95419722688,,#VALUE!,,4037675.83735227
58,3666133.35268343,1956511.65702297,1195356.79369019,376786.615411013,0,5647.10215134831,79935.539822952,39990.9564238449,13200.4226641057,,#VALUE!,,3667429.08718642
59,3365078.99263415,1715441.31156202,1147321.81809198,357936.822161336,0,4746.07737629003,91969.6683524314,37157.7368709955,13350.9680887414,,#VALUE!,,3367924.40250379
60,3821356.36443819,2085691.41771305,1201988.27502215,382196.108584912,0,10828.2091986053,91667.5876851728,37768.5319790009,12557.3915165104,,#VALUE!,,3822697.52169941
61,4012010.76269641,1757179.04624114,1090922.7647809,349593.778352346,707949.207635125,11083.4340697135,50702.43924224,39857.0598247813,7985.27717494898,,#VALUE!,,4015273.0073212
62,3089037.37242942,1580911.29287319,1074448.41451477,322306.604251759,0,7864.12046528242,60803.9383859899,34475.0713320399,9342.60085012782,,#VALUE!,,3090152.04267315
63,2837195.50336983,1369788.75730403,1059329.28617876,313082.686959998,0,6802.582893066,49042.2051969767,34586.415745798,7139.54298093623,,#VALUE!,,2839771.47725957
64,2885862.49399103,1400221.20808134,1064066.69025675,307798.055552039,0,8402.0929881931,58428.794255603,39198.4484901695,8833.87523483306,,#VALUE!,,2886949.16485892
65,3451333.14486909,1445908.82887189,984544.721693825,309538.521821426,602007.533227559,5872.58537151337,72246.3124750163,23164.0221082045,10900.9768341695,,#VALUE!,,3454183.5024036
66,2849154.22274376,1457865.80174725,978338.136293584,309364.227706971,0,11517.4709224887,58797.87807442,24586.3275565554,9770.07360140498,,#VALUE!,,2850239.91590267
67,2757099.6647006,1395687.571848,959455.253584916,305299.11983425,0,4841.38118425844,50889.1609682719,34910.4872297723,8564.0992112629,,#VALUE!,,2759647.07386073
68,2756024.99628361,1410695.10031177,937209.211118168,302707.188501172,0,4653.01133272241,62870.3744814643,29943.0854514069,9032.71824581305,,#VALUE!,,2757110.68944252
69,3256471.51739118,1356493.07022096,929428.607688418,299875.65611606,583323.456822056,5795.65043214975,44594.2720062402,30403.5568403105,8124.49540931881,,#VALUE!,,3258038.76553551
70,2750031.30761338,1448873.51688197,911746.387829066,299952.914650059,0,8498.03330226279,44930.8683467906,30103.0948143464,7085.93430572118,,#VALUE!,,2751190.75013022
71,2654037.75854456,1383728.49371882,887658.459806704,297211.019238095,0,7901.87377212679,43018.0677193312,29633.7340163906,6925.65968751632,,#VALUE!,,2656077.30795899
72,2723093.479398,1485559.82138002,848680.771621918,294437.679745075,0,6255.19006996292,59302.7171838304,23480.4850704626,6536.25684357317,,#VALUE!,,2724252.92191484
73,3260346.4745926,1398611.35136844,876406.838455708,292219.804923753,587247.72967804,4891.0611451031,57136.1125958226,38668.9293770396,7971.82001870124,,#VALUE!,,3263153.64756261
74,2702946.42073314,1433809.55997728,885765.608305857,289103.853000033,0,6354.20499192417,48190.1311429616,32785.9184662982,8067.84662184985,,#VALUE!,,2704077.12250621
75,2620657.44555891,1419588.27833909,834471.347565622,288748.150725636,0,7233.26429909231,46121.8791781671,19450.0270061983,7055.30711574813,,#VALUE!,,2622668.25422956
76,2642595.1213648,1452215.09568991,820120.285591762,286062.456273027,0,7251.54928468097,52717.398888657,17298.7900155676,8060.24739426255,,#VALUE!,,2643725.82313787
77,3177973.56781177,1375586.44179658,828562.853682265,283218.545448766,587546.874661246,7326.75922540415,53019.4511870907,37180.8423017024,8648.61183321863,,#VALUE!,,3181090.38013627
78,2602751.48022505,1365894.40598647,853673.063745629,282728.529995556,0,7855.29880883491,53959.0176545991,32236.5529868727,8708.71481504546,,#VALUE!,,2605055.58399301
