period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,"total family benefits, sum"
79,2584370.31623895,1349919.25485468,853074.510202782,280978.047962793,0,6551.54483639049,54563.5629445494,33946.8752885146,7354.44034713911,,#VALUE!,,2586388.23643685
80,2624446.27762139,1406143.18565119,844536.529121785,280297.376090506,0,8043.32366064285,50616.3858000487,29112.8146459321,7935.89639737946,,#VALUE!,,2626685.51136749
81,3166653.63413627,1388219.02654822,802877.202539588,277504.11727012,594573.887882019,5336.11079433658,56473.812588618,34544.243576822,8663.58000876938,,#VALUE!,,3168191.98120849
82,2506603.98670943,1347098.73853753,803007.58053902,274271.495000397,0,7891.17878055606,42021.7639060295,27438.0499804989,6028.72055259109,,#VALUE!,,2507757.52729662
83,2517238.59073651,1318877.8186996,827273.296742427,271119.830568328,0,7909.80876587281,41644.3984187789,45798.2354368983,6803.15092762409,,#VALUE!,,2519426.53955952
84,2452029.47457035,1312353.19643323,785416.032652001,271721.963378428,0,6601.91479669133,43980.8284933763,28671.8999569433,7651.27078229151,,#VALUE!,,2456397.10649296
85,3044239.19809306,1346930.43155339,758084.062952858,270786.324115853,564499.316402857,7710.39892303797,56804.4142441118,34410.9024410391,9180.78804395347,,#VALUE!,,3048406.6386771
86,2471741.88604128,1315522.63380749,800137.486669702,269964.367300176,0,8954.81294225126,47014.0560297408,23524.9321157236,7955.93072465507,,#VALUE!,,2473074.21958974
87,2450067.70888416,1312615.94436483,770641.834807256,269051.777544982,0,9787.64228585562,54754.7570091871,25581.941370401,9776.75171049685,,#VALUE!,,2452210.649093
88,2504485.72881081,1349509.24492235,782784.767572552,268595.055824656,0,9014.84289493857,59128.810879288,27315.3761355787,10310.3095989748,,#VALUE!,,2506658.40782834
89,3045393.02799875,1332175.76858376,760743.181514004,267358.634718851,565011.616656021,8400.74337894199,62444.7153278966,44569.7191058853,10098.6826246497,,#VALUE!,,3050803.06191001
90,2463332.91527223,1359458.52251877,736661.772391613,267580.023814436,0,7782.50386620835,58986.7742394097,25951.7407869722,9106.63800507133,,#VALUE!,,2465527.97562248
91,2452043.20880527,1328896.22089482,771057.266523628,266543.507386843,0,9310.50766190995,38422.1462868691,33532.6288266824,7686.27328511786,,#VALUE!,,2455448.55086587
92,2423127.59130318,1343945.09350483,719151.414440603,266976.325914329,0,9516.81749930656,51647.4325969161,27057.5832730651,8780.56205768902,,#VALUE!,,2427075.22928674
93,2956013.51082778,1292966.59733324,742334.400621452,263801.327413059,548247.591328468,8480.09331640222,57632.0925151336,34816.2594938191,9505.71259321649,,#VALUE!,,2957784.07461479
94,2363252.26914486,1304545.89749532,720335.483726355,262721.699869809,0,8306.90345290206,39185.5475830035,25455.7117618599,7241.14277220118,,#VALUE!,,2367792.38666145
95,2368106.83838442,1244025.45550482,762222.971807559,262191.561200047,0,6646.76476134277,56204.7883480948,31310.2765636342,9827.64350736937,,#VALUE!,,2372429.46169287
96,2394787.43544609,1320780.52787516,713089.430094278,261067.115170223,0,8663.97817147311,59140.7889172931,25375.7070803901,8819.93987336866,,#VALUE!,,2396937.48718218
97,2908885.06276533,1298208.68940606,727622.428640073,261497.657203153,529812.223632054,8342.78342462321,37189.5151415808,41453.0922921864,6147.31455887774,,#VALUE!,,2910273.70429861
98,2413204.21442844,1381557.25471841,693105.445917678,260400.813669822,0,6322.46501694008,41619.1064131655,26483.3274482934,5888.48026166184,,#VALUE!,,2415376.89344597
99,2371240.5561153,1358516.73076104,673853.949046979,259159.412732175,0,7174.95934504544,47309.2309978284,20102.5096306292,7266.70381044937,,#VALUE!,,2373383.49632415
100,2392449.37144942,1359217.96159523,672544.242779955,260586.774818877,0,8213.06352686213,54696.9909598255,30163.5427959013,8142.22694035584,,#VALUE!,,2393564.803417
101,2886140.15321001,1315586.39034483,689080.914126115,258057.873928822,533044.775390883,8072.99363725842,46954.7626640645,30465.7827036758,7670.61427069555,,#VALUE!,,2888934.10706634
102,2418032.93205212,1321134.10516947,726206.049464424,260594.457988004,0,6618.47478363955,55139.1307755858,40969.5084397471,8299.73820307442,,#VALUE!,,2418961.46482395
103,2394978.81949841,1289284.07443271,750593.84688548,257907.909849936,0,6399.39995630369,47514.2049056209,38297.3520786579,7342.46580669851,,#VALUE!,,2397339.2539154
104,2411682.19734335,1298593.57731439,727577.981594812,255698.71416411,0,7402.31416585541,61977.4031232171,50646.5191339644,10794.8179275712,,#VALUE!,,2412691.32742392
105,2946370.53968703,1350002.13075651,721545.035984724,253370.287075905,530850.218689869,8751.60810240745,49727.9837995139,26079.7482773238,7578.27214152866,,#VALUE!,,2947905.28482779
106,2371906.88419719,1311386.1462465,712611.77251454,250064.390137657,0,11098.986252318,50171.2807493983,29151.9280457617,8345.56384822207,,#VALUE!,,2372830.0677944
107,2327090.1181449,1293078.64627778,671975.320600615,251713.425881763,0,9635.15240604073,50631.5154231605,42407.8148243919,7601.99094278599,,#VALUE!,,2327043.86635653
108,2342331.52578564,1307006.16652341,652733.898393508,250997.183782036,0,6646.76476134277,69734.0244550792,34186.8893329238,11672.4135740923,,#VALUE!,,2332977.34082239
109,2826890.78311309,1274554.35385218,666332.323734283,249630.433362893,515246.72376151,8553.23325875687,62064.2322518621,26966.9113007327,10550.4912466583,,#VALUE!,,2813898.70276887
110,2304882.93543462,1262144.00894363,694347.000048634,248489.482747536,0,8858.55801811472,47309.3846108453,38455.5835597869,7750.06074092641,,#VALUE!,,2307354.07866947
111,2301951.66678992,1309757.71647156,633225.201287565,249233.327343755,0,7614.8339983576,62202.9775439707,26419.3237031176,9199.21041386207,,#VALUE!,,2297652.59076218
112,2318778.4501702,1303598.35826037,655503.245626901,246206.016426815,0,9855.60723228894,62695.9280131148,35196.726201253,10372.2548177925,,#VALUE!,,2323428.13657854
113,2791083.93034891,1253436.65314211,690480.6997382,247426.786632547,505729.481518014,7145.97936788605,46599.912816002,26862.0162739168,8810.26812916664,,#VALUE!,,2786491.79761784
114,2288406.47815293,1267698.93644506,673419.553257961,245444.386716876,0,12196.4303873658,56650.7722666649,27551.834416367,9831.09770172724,,#VALUE!,,2292793.01119203
115,2217170.84336066,1300174.97842202,593282.715906982,243500.68720866,0,12922.9998147191,44457.8976429212,15528.0197323707,7899.28193718611,,#VALUE!,,2217766.58066485
116,2296649.19137053,1345060.34877547,580970.291742424,243821.815221985,0,11298.7410948809,67962.4924024099,29788.4097338987,10061.3773255848,,#VALUE!,,2288963.47629665
117,2800963.57074352,1349217.95392931,585927.026229927,243624.756161969,516308.365990469,8241.00850483726,59304.7934778136,17304.1236609989,10566.6108203283,,#VALUE!,,2790494.63877565
118,2320494.70070318,1312050.89231017,662341.571697118,244600.376360186,0,10806.4264828994,43102.2652807074,30407.1126039314,9070.25382450184,,#VALUE!,,2312378.89855952
119,2219265.56489097,1237302.25861393,642823.392554853,239166.810697403,0,7271.21426918199,47630.8223684528,26093.9713318073,8429.38563130623,,#VALUE!,,2208717.85546694
120,2280662.99716959,1339137.85973891,593546.435042197,239217.035858548,0,9994.98712243648,62983.3090092437,25082.3565816678,6851.9702078819,,#VALUE!,,2276813.95356088
121,2776667.28610922,1325395.09440241,611572.971345504,241718.1919712,503797.854901743,9366.74261758829,45981.0613694442,25990.8541868019,8396.4556450946,,#VALUE!,,2772219.22643978
122,2277781.25179486,1293060.1766208,640339.691665671,240207.880114109,0,9579.60744981857,56624.8632907342,25713.5046243735,10078.878576998,,#VALUE!,,2275604.6023425
123,2258264.37780363,1342721.11127608,594662.944819152,240707.428388273,0,4544.68141810278,45045.8665773225,20056.2847035578,7612.8140851073,,#VALUE!,,2255351.13126759
124,2226334.6047027,1305529.09719486,571302.763084529,241205.269291519,0,10742.9465329312,64256.1779512847,20808.3287093734,9329.54868096545,,#VALUE!,,2223174.13144546
125,2707036.06177993,1286768.26506518,588941.721153161,241272.568161835,492651.107592178,8009.85868701832,55753.0980836575,30049.7583600332,8029.15964504178,,#VALUE!,,2711475.5367481
126,2176063.5272558,1305486.27231985,537159.728169596,241059.573639926,0,7441.29913512935,54577.7960720159,15357.3430785686,11045.3621583282,,#VALUE!,,2172127.37457341
127,2166961.00126695,1304091.04179541,537573.974631428,241964.195664173,0,10860.9364399373,49055.7329424876,16162.7235386973,9867.25160267288,,#VALUE!,,2169575.85661481
128,2164349.62305747,1262920.80605036,563490.157782192,241387.81569874,0,8826.81804313062,46778.7485874613,27146.477363587,8866.45635738789,,#VALUE!,,2159417.27988286
129,2596203.2321926,1228803.85303094,545111.008253148,240371.076317603,489895.468012215,10464.8767520923,54079.0032717099,17867.7121949079,11510.0664392728,,#VALUE!,,2598103.06427188
130,2197125.67839286,1319371.77227013,536381.015936624,239585.685695734,0,9877.68721488657,66852.5136969495,11159.7641241231,10391.8285858204,,#VALUE!,,2193620.26752427
131,2189410.54404777,1254676.6665261,598117.961804105,240159.220042972,0,9111.78781853129,54275.0109639422,24428.0960754264,11084.509694384,,#VALUE!,,2191853.25292546
132,2162455.60351011,1253614.60333032,566789.906422366,239621.398204083,0,8711.93313367733,53251.1273183626,25217.4755992611,11043.980480585,,#VALUE!,,2158250.42448866
133,2604631.24663885,1236155.29442667,552970.431109827,235244.69513899,496809.867781598,9258.06770324058,51090.3071418539,15421.3468237444,9924.36094938955,,#VALUE!,,2606874.37107531
134,2134424.41659441,1225602.17622952,589247.516824556,236707.627453131,0,8374.86839933539,40300.9191126803,20097.1759851979,8797.60274985448,,#VALUE!,,2129127.88675428
135,2101715.03224662,1276714.4995584,506024.276650655,237860.529664907,0,9565.80746069505,43640.9924291012,13942.1491574595,8613.14877114456,,#VALUE!,,2096361.40369237
136,2114578.06884218,1260037.42213678,526196.123671892,238741.248496315,0,8845.44802844737,43908.2815979988,21174.5723623237,9470.47981076629,,#VALUE!,,2108373.57610452
137,2536139.39566339,1186910.52765506,542994.143644186,237680.686594972,487652.294050249,11638.5658270476,43367.2540317102,22008.3989314194,7657.94889138338,,#VALUE!,,2539909.81962603
138,2094948.66813915,1169983.14663509,595424.47086129,236688.419530313,0,11272.5211155462,42256.9013666902,22659.10367404,8614.99100813543,,#VALUE!,,2086899.5541911
139,2087649.08680595,1229977.91858369,534498.23909937,235395.797465154,0,9932.54217165256,49848.5297264031,12740.301053603,8174.00552844819,,#VALUE!,,2080567.33362832
140,2083976.09350861,1177197.80781015,589345.892951401,234222.833645101,0,8911.68797624027,45117.2840392821,21784.3858233042,9700.52915499999,,#VALUE!,,2086280.42140048
141,2596176.64706756,1154762.50235389,637475.524069054,234314.889393715,492922.636648245,6943.8095272265,36597.0964661605,28186.5382226936,7880.39900802979,,#VALUE!,,2599083.39568901
142,2093859.75945966,1231032.19997904,545112.193507688,234617.663169682,0,5576.23060508581,47993.4107870574,17899.7140674958,8756.15241756011,,#VALUE!,,2090987.56453361
143,2022816.81820774,1197733.43689869,508794.216511319,233115.034481718,0,7793.54385750717,47525.2524516578,18168.1742208721,8108.8363948965,,#VALUE!,,2021238.49481666
144,2057717.84788414,1169397.5775893,561641.160699336,227920.216185511,0,10645.6566096104,60121.5198961529,17259.6766157379,11069.5415188332,,#VALUE!,,2058055.34911448
145,2578820.85529035,1171954.30593918,599141.429099647,227099.539898022,498833.933339613,9574.08745416916,48092.6913839919,18843.7693088387,8799.90554609305,,#VALUE!,,2582339.66196955
146,2097714.50521716,1259957.09050301,519776.785081668,228155.264248433,0,9636.53240495309,58499.4910833169,10532.1718450383,10937.1307351151,,#VALUE!,,2097494.46590153
147,2067737.63931184,1190503.31998763,573389.996329984,227767.54876934,0,7321.58422948283,38952.0255772729,22180.853467032,8436.75457926967,,#VALUE!,,2068552.08294001
148,2070896.72907261,1201119.11229596,545914.018204196,225901.961480581,0,10603.2216430556,48878.4899617436,32380.5614135182,9440.77373928866,,#VALUE!,,2074238.13873834
149,2536064.77303363,1173534.02905543,563523.34490932,227846.087831527,497886.558210375,10588.0416550197,40716.7180732891,18059.7234304353,8108.14555602492,,#VALUE!,,2540262.64872142
150,2020906.50672673,1196704.08152385,504347.141476142,228272.645998984,0,8078.16863317974,55955.7615005696,18854.4365997014,10281.7549256165,,#VALUE!,,2022493.99065804
151,2060839.59499185,1210109.01825799,529118.961368253,230498.203989433,0,8819.57304884078,48708.7840918481,23763.1682783223,8661.50749215466,,#VALUE!,,2059679.21652684
152,2042045.66261454,1185604.16435985,549124.872753848,230771.52561708,0,7980.18871040276,47477.913200647,15225.7798245962,9309.51435368985,,#VALUE!,,2045493.95882011
