Period,Total SIPA income,Total wage-earners SIPA contributions,Total taxable income,Total gross wages,Total SAC,Total autonomous workers SIPA contributions,Total monotributo SIPA contributions,Monotributo integrated tax
47,16720526.848485114,16005223.327166123,56546496.29608741,56493420.56918521,0.0,465248.9440787656,177095.27770532525,104227.57076414078
48,19950177.718614567,19168687.444414973,67050858.023816645,58835083.8628417,9805847.310473617,536195.0612995913,173402.261,102704.217
49,18128588.23881303,17404803.64075134,61456128.316530816,61344241.45694108,0.0,493528.40922620427,159975.28121092537,100401.29660651514
50,21712336.77982128,20883170.436554924,73045179.19627663,64068459.361527726,10678076.560254619,598599.4913454362,157410.5888056896,104508.9473074749
51,20003565.6851681,19171052.14639808,67708124.0061458,67591887.99670444,0.0,597297.5809265337,154361.05253166205,115507.00758831915
52,22993510.75750839,22149554.66256584,77495412.15851228,67971656.85639104,11328609.476065172,620400.0186966634,144289.47399369822,113238.00321741353
53,19036521.79633862,18295925.090113852,64640044.99050752,64511714.1830719,0.0,542835.734803895,124520.44818937859,104629.3189021353
54,21486611.623490743,20725452.12949305,72487549.13262156,63582600.021321826,10597100.003553636,573177.3249644111,113074.63141044277,107010.76803263229
55,19282170.137231924,18615035.469410263,65757599.41731921,65625499.24561284,0.0,484271.7282476014,106503.95309280964,109084.26640177668
56,22286910.725479625,21562834.21295445,75410228.55323449,66145092.58154357,11024182.096923929,543553.3038055109,102329.41801653492,111705.41529018387
57,19430050.337253463,18628815.23720874,65733311.68291892,65607409.46973188,0.0,547902.5838143213,192795.62616477293,86481.27152232493
58,22027732.83553104,21285382.979986575,74443556.27764736,65283532.51242571,10880588.752070954,490666.6601530839,187892.89942298134,91128.9942405684
59,19864468.12249864,19139491.52090528,67594472.51726156,67453016.96812119,0.0,459940.4611538188,193628.2230064924,102011.31061864142
60,22578587.997360937,21808241.59693118,76253274.22905627,66865052.48755257,11144175.414592097,512419.662439602,185046.8845849077,104114.07629320893
61,18191459.292386174,17414744.85893726,58529543.23046097,65892161.47882101,0.0,502921.09106383275,210304.36845135977,90698.53419103324
62,20992854.928847037,20241929.107821763,67927259.96221583,65771336.10915835,10961889.351526393,479126.1587116944,203826.51693032344,97104.4934046531
63,18707962.134675704,17974376.9234745,60818097.90676781,67306080.2768817,0.0,470271.4410902407,193310.33033872873,100004.91396032964
64,21514877.98653903,20800198.586429413,70163140.21301542,67103785.63831263,11183964.273052106,454773.5974925334,186351.0528816618,105078.21390773947
65,17278112.838642295,16524504.627644809,52384493.44332517,67339248.84641953,0.0,483513.49353998946,192110.70120645614,111405.73750148978
66,20020977.82422837,19264791.18961529,61196949.08920298,67041403.59274317,11173567.265457196,502421.93742210907,181096.95891502328,103811.05467991988
67,17419607.857476052,16694550.702857345,52893396.53060462,67969301.47028017,0.0,462683.4527071167,187864.93156388943,106441.10049671738
68,20349305.797927424,19594605.492879093,62263956.005407296,68122853.91793486,11353808.986322476,499057.5351331258,183019.9696512121,103746.85751999746
69,16317882.839096503,15603064.912875965,46339228.27280677,68371708.9754492,0.0,463861.38068875286,179861.34930672174,101564.56603580364
70,19202509.435631316,18454958.33651331,55334463.13723226,68610986.4856976,11435164.414282933,496620.8155115248,180188.72433972565,101059.37038108212
71,16338514.676908823,15584720.234323306,46248255.549777634,68372586.2785327,0.0,497418.9186050758,183363.19673287641,104303.3246393826
72,19247972.89768572,18495743.488792166,55450708.02409875,68759160.92184071,11459860.153640117,493194.57263849746,186070.39778505167,104234.91210001311
