period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,sum of family benefits
47,2443668.57473225,831364.273535037,1305921.70509279,191066.358985066,0,28869.770034217,39303.695303814,35646.7627985185,14777.3263518139,"0,00",#VALUE!,,2446949.89210125
48,2406386.636,941 821,1145630.276,212017.9,0,15365.25,30240.252,53522.196,10107.25,"941 821,00",#VALUE!,,2408704.124
49,2475644.20163724,741036.142353406,1071160.67346969,204742.820271417,359539.863810587,16510.5281906163,28195.7698532794,46934.2521220108,9397.27654886426,"0,00",#VALUE!,,2477517.32661987
50,2153884.3665634,639631.063016525,1045425.12691443,192450.572809202,203312.987946921,5907.07116925395,20879.5842423641,38540.6737225862,8982.11166750136,"0,00",#VALUE!,,2155129.19148879
51,2665776.89983434,877848.836421206,1319702.80889737,365414.943739506,0,9234.60070499048,26621.6702022099,58370.1431861649,9618.98855115684,"0,00",#VALUE!,,2666811.9917026
52,2503822.48924874,833236.289871214,1226863.64690395,344396.837721757,0,8025.53405284315,26249.8240386703,56735.4049631729,9411.02266999457,"0,00",#VALUE!,,2504918.56022161
53,2533968.23568916,563145.59476649,1089007.19382663,302106.05258252,491201.420373741,5731.19125801846,20270.1350331431,58039.5547102352,6653.97522309484,"0,00",#VALUE!,,2536155.11777387
54,2460733.84050738,1024597.31442816,1047361.17270912,301983.321645648,0,3701.07337030618,43694.3096654384,35693.8935100071,5261.03224128975,"0,00",#VALUE!,,2462292.11756997
55,2152324.14886019,822721.878176193,953432.146531605,283534.676936404,0,1982.64771392068,47853.6211795643,36672.6599620986,7347.16041905641,"0,00",#VALUE!,,2153544.79091884
56,3681844.00226847,2034431.24072171,1101114.86412769,373495.351067,0,12120.9248664154,105717.444164371,41945.06804547,14389.0323735936,"0,00",#VALUE!,,3683213.92536625
57,4034595.66705121,1703888.31901493,1126763.98236026,350453.6641774,715177.674636918,10472.5703462763,72469.1212741547,49228.5513451134,9221.95419722688,"0,00",#VALUE!,,4037675.83735227
58,3666133.35268343,1956511.65702297,1195356.79369019,376786.615411013,0,5647.10215134831,79935.539822952,39990.9564238449,13200.4226641057,"0,00",#VALUE!,,3667429.08718642
59,3363410.69470401,1719214.07659677,1141641.87827506,358175.699013361,0,4746.07737629003,91969.6683524314,37157.7368709955,13350.9680887414,"0,00",#VALUE!,,3366256.10457366
60,3821660.7771039,2083102.43731588,1204158.92878637,382889.894921028,0,10828.2091986053,88118.4844288546,41317.635235319,12586.3444790707,"0,00",#VALUE!,,3823001.93436512
61,4000260.96903569,1758345.62136228,1076657.31356184,350001.735064957,708024.034115394,11083.4340697135,51088.4260405312,40096.4415654707,8226.20788029117,"0,00",#VALUE!,,4003523.21366048
62,3077464.96714574,1581796.09866175,1062502.82450644,322727.894295772,0,8131.54731652502,59911.8183366661,34283.4113283409,9226.04294398568,"0,00",#VALUE!,,3078579.63738948
63,2829108.84747766,1377275.66488167,1042549.65487817,313544.098385028,0,6330.21522102069,48192.3594827656,37243.590216756,6549.23830198406,"0,00",#VALUE!,,2831684.8213674
64,2821466.11069778,1453541.95351196,948833.311705434,308738.240029242,0,6344.73354286783,55815.5115094831,40178.9435472824,9100.08771940614,"0,00",#VALUE!,,2822552.78156567
65,3366557.78211679,1308536.59958727,1046330.85562473,309525.858820458,590323.680939855,5893.63035492673,57074.7882645928,43060.2974488229,8662.42861065008,"0,00",#VALUE!,,3369408.1396513
66,2894406.64343293,1456562.28603782,1005446.62721646,309882.531783375,0,9764.39879926781,54219.3525372697,50849.128149734,7727.37787550091,"0,00",#VALUE!,,2894451.70239943
67,2780058.64736105,1425755.53657851,937027.156624005,308468.387819758,0,8423.69942937837,61277.5628226491,31996.8952728412,8619.5065410979,"0,00",#VALUE!,,2781568.74508824
68,2757041.61590076,1460725.68452388,893017.625487898,307460.552928828,0,4018.90488851634,50790.2108353845,33201.1163270099,7872.6807494771,"0,00",#VALUE!,,2757086.77574099
69,3298078.0739224,1431159.36684126,887585.81858683,307558.697135631,583049.075656828,3851.16750196736,50523.3229350762,27871.7769676358,8053.12150847955,"0,00",#VALUE!,,3299652.34713371
70,2749460.01097655,1402245.04790722,950764.937054575,305194.723356398,0,6432.1536303113,48411.5942450551,29898.1972467283,7650.39820767742,"0,00",#VALUE!,,2750597.05164796
71,2718383.01244657,1353929.52735767,952308.262694805,303467.787083941,0,8320.09795724796,61362.4004181598,31739.3926676914,8393.85697620188,"0,00",#VALUE!,,2719521.32515572
72,2754542.61931459,1457691.28933458,892177.13274565,301537.997470386,0,6977.15960108968,59340.8167462524,26750.5491270673,9552.78435970018,"0,00",#VALUE!,,2754027.72938473
73,3212180.02501813,1411475.49797037,822572.652094519,303042.616697495,581879.543209347,10295.3916502213,45838.2451734193,32506.463915832,6937.00193304372,"0,00",#VALUE!,,3214547.41264425
74,2708494.31927364,1442285.60811355,867183.234840851,299507.524984002,0,6186.72444601206,45345.1604540073,40633.1916697631,6836.83214898829,"0,00",#VALUE!,,2707978.27665717
