period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,sum of family benefits
75,2595805.28328776,1353673.83238008,846166.002089427,298035.162923309,0,7364.13414238155,58899.1039801549,25492.0253542826,8014.18083616886,"0,00",#VALUE!,,2597644.4417058
76,2644411.91312518,1437581.46414095,816950.187824018,297264.071481233,0,5468.1573507103,55040.5189118959,25538.5427952583,8025.01154888441,"0,00",#VALUE!,,2645867.95405295
77,3193149.47207915,1349455.0290374,841490.602406523,295863.311219944,590873.108683706,6249.12096777951,67715.3027742133,36102.8039307779,9949.65574469058,"0,00",#VALUE!,,3197698.93476504
78,2676053.40370487,1417703.93648935,862280.450869082,291661.701396771,0,8087.57902036571,57849.116549561,30094.6741116365,9755.87453862313,"0,00",#VALUE!,,2677433.33297538
79,2596742.00530292,1398802.71874759,805840.589911545,294241.723569261,0,9251.33531762485,43514.5319764149,39244.6799875572,7932.21179916374,"0,00",#VALUE!,,2598827.79130916
80,2661778.56935475,1473303.49701766,781923.156048673,295344.976691065,0,9302.38185755185,65069.2258118228,26726.9402297099,9788.95543081763,"0,00",#VALUE!,,2661459.1330873
81,3137816.77364458,1383041.86266063,774401.446614259,293695.154055069,591843.372250103,5750.29139258847,67035.052953147,15605.5927536716,9032.59655648741,"0,00",#VALUE!,,3140405.36923595
82,2581601.08179778,1386379.29714578,806449.264521227,293501.96831874,0,6394.56327166817,55895.1260991705,25128.7953261362,9602.45767497493,"0,00",#VALUE!,,2583351.4723577
83,2494695.76952637,1353517.21845487,751690.502758384,293128.983912791,0,10275.6253228287,52615.7366142056,28175.4462454316,7044.60498640781,"0,00",#VALUE!,,2496448.11829492
84,2512313.02804994,1363225.22681804,757792.550428601,291410.586368028,0,9688.02856138178,53448.4380438037,27189.9760469548,9314.8704078804,"0,00",#VALUE!,,2512069.67667469
85,3100719.32823024,1300796.5036249,824256.880567639,288707.899627711,589042.647453101,9404.98314426137,55000.7114623594,26649.5149721757,9106.5236381366,"0,00",#VALUE!,,3102965.66449028
86,2496428.33443545,1318737.87361057,794915.852675757,290770.808053944,0,7965.98747572804,47881.5452891043,30352.3319684134,7562.17191035339,"0,00",#VALUE!,,2498186.57098387
87,2501869.86217422,1351349.65025413,760090.871635361,289300.859775142,0,5841.6826424857,58728.0435912378,32379.7275457052,7775.96438773052,"0,00",#VALUE!,,2505466.7998318
88,2478770.32436589,1344064.9941272,747403.243715605,288302.593309956,0,11852.5440087207,42686.7477055033,38300.8058537677,8101.98542196576,"0,00",#VALUE!,,2480712.91414272
89,3003850.71377509,1374513.05172512,685594.614114535,287987.762233887,580620.018047668,5044.28667695492,42042.4495479776,21896.5713138915,7678.17618042675,"0,00",#VALUE!,,3005376.92984046
90,2410489.6696774,1358252.45642422,685030.01041887,285654.633023247,0,9876.70347300225,35870.7938548364,27597.8745044233,7848.03175332597,"0,00",#VALUE!,,2410130.50345192
91,2405984.78002214,1330706.38569162,690444.786001262,283085.513512385,0,9981.51934590175,39162.759458222,45064.4205836398,8023.23627785717,"0,00",#VALUE!,,2406468.62087089
92,2394780.1971785,1323654.62022115,683705.089873202,281497.919938392,0,7364.64118229707,63702.9390933012,23718.2254503676,10705.1067031566,"0,00",#VALUE!,,2394348.54246186
93,2900438.42589329,1282973.66673318,686982.515802373,281407.94895607,561228.514786206,7129.03977516461,49265.2516092948,23772.2759935138,8527.33365058591,"0,00",#VALUE!,,2901286.54730639
94,2336093.51038425,1280087.17116739,682669.537037586,280383.871109285,0,9283.42969679152,49759.1103401255,26766.6131690871,8549.24258392441,"0,00",#VALUE!,,2337498.97510419
95,2309834.34223969,1251473.7489704,676443.171052575,278846.299140069,0,7123.59349099029,57557.4457800892,29865.0623102397,8926.01088304789,"0,00",#VALUE!,,2310235.33162741
96,2336355.45703041,1259759.52643661,681419.161894278,277368.569175831,0,6184.35471842749,76833.9909794605,24685.9346169995,11559.1263653284,"0,00",#VALUE!,,2337810.66418693
97,2835771.50783198,1279712.39637473,635908.374433118,280209.789648007,539687.904877784,9432.61855093962,56925.2445689556,25900.2146518085,8677.01472309143,"0,00",#VALUE!,,2836453.55782844
98,2275442.0074402,1221791.30009112,685940.461137867,280891.89680849,0,7555.252792513,46378.2777643177,21872.681047123,10435.7263466105,"0,00",#VALUE!,,2274865.59598804
99,2312384.66074895,1239798.28456232,711523.503650637,279339.796601505,0,6658.46867854031,45506.4190680041,20973.7656534476,8916.2669420986,"0,00",#VALUE!,,2312716.50515656
100,2293540.72061437,1238701.68797255,662602.457203569,279444.862618434,0,10784.5794195028,62983.5024885638,24589.5177608896,9893.70034313347,"0,00",#VALUE!,,2289000.30780664
101,2777634.60188664,1256998.71880632,622008.717261015,279072.556084204,526857.362696413,11212.5630534404,45908.9130866732,26192.1462391083,8880.60865477449,"0,00",#VALUE!,,2777131.58588195
102,2227900.22042257,1232860.9394653,620522.388211707,278078.174528354,0,9105.79171602172,56352.5919020343,21268.4461309726,9227.2720985366,"0,00",#VALUE!,,2227415.60405293
103,2224839.2249784,1239579.21236891,616931.422532398,275998.674877201,0,8162.76776650054,44555.0276899062,21963.7670461877,8459.10539039759,"0,00",#VALUE!,,2215649.9776715
104,2244845.27841771,1240734.06036848,608121.796048218,276823.310532834,0,7825.57776461527,65400.3750784352,28428.841700473,11836.8972030463,"0,00",#VALUE!,,2239170.8586961
105,2661517.75412866,1199121.74512783,588181.102351179,275971.555311532,506206.845624801,13073.2153147061,47028.875230469,32582.4939716941,8434.93740407874,"0,00",#VALUE!,,2670600.77033629
106,2144158.14570213,1194616.0805085,579610.26593396,274409.861779659,0,8757.97440539242,52131.3110494482,19452.2449592035,8262.35700044456,"0,00",#VALUE!,,2137240.09563661
107,2129806.88561801,1216133.57678175,556911.374144319,275389.689094444,0,9267.84761112809,43042.2389318019,20537.9869771978,8078.51907971776,"0,00",#VALUE!,,2129361.23262036
108,2160147.00066805,1230820.0526556,557536.893021225,271212.845174314,0,10355.1418657627,52954.0076749812,29300.5853449128,8004.922162283,"0,00",#VALUE!,,2160184.44789908
109,2630768.44599107,1142070.16009286,638312.715933114,270198.657067558,499473.860923008,10621.8538745247,37481.688934744,24083.7251583265,7404.79376661065,"0,00",#VALUE!,,2629647.45575075
110,2195261.3645768,1231474.48861763,583831.156964394,268459.481127561,0,13390.3090675145,67824.7761631931,14289.5345489793,10863.4086611327,"0,00",#VALUE!,,2190133.1551504
111,2096060.62138481,1226282.60654396,533393.337599548,266839.952235137,0,10247.9200647362,41811.3762691841,17260.9592140956,7093.84340577815,"0,00",#VALUE!,,2102929.99533244
112,2153537.52181239,1237433.14574099,550087.33018643,265147.483131306,0,12486.8874539672,62330.0652947111,19620.6573450706,9284.1792952842,"0,00",#VALUE!,,2156389.74844776
113,2608151.85166321,1197526.55628984,577631.977695296,266191.736131061,496638.769569809,14591.7954503065,39925.9842255039,18096.8612866687,9078.0740259598,"0,00",#VALUE!,,2619681.75467444
114,2089010.22567124,1162257.75165994,594613.69672392,260215.077262359,0,6691.63760973695,33637.5773528128,28588.8582693078,6660.61536813767,"0,00",#VALUE!,,2092665.21424622
115,2064900.39169496,1119058.97027627,603107.038262989,258783.250155776,0,13153.8071407755,47227.5634307709,25817.6045416715,6871.89308156454,"0,00",#VALUE!,,2074020.12688982
116,2107678.96206495,1175398.18885213,555076.46775169,255059.221482177,0,10794.0686205815,64197.5950254169,34724.8649694681,8775.5552052883,"0,00",#VALUE!,,2104025.96190675
117,2545023.47946046,1141497.96416797,579334.283881314,258142.478698772,483131.082561103,9926.0173705895,55050.4941263264,18809.2243046966,8584.26288900927,"0,00",#VALUE!,,2554475.80799978
118,2037610.72461057,1111804.66392865,575673.183424715,257779.695064336,0,8837.83737320629,52661.611428028,23270.9046118862,8514.45638872028,"0,00",#VALUE!,,2038542.35221954
119,1967280.57119806,1101498.86290574,518686.742959045,255330.85401584,0,9485.38512916777,58052.884165595,16772.0581935086,8617.17877221687,"0,00",#VALUE!,,1968443.96614111
120,2057117.2935781,1165421.14222692,546366.261979615,254257.62755178,0,7464.94009584541,50543.7996778657,25892.3883599467,8047.17555564795,"0,00",#VALUE!,,2057993.33544762
121,2550104.9085613,1107522.99452793,590636.540801606,254628.261310499,493619.617695315,9891.90946698153,53794.3736750404,33783.8819274921,7575.17569527708,"0,00",#VALUE!,,2551452.75510014
122,2020339.07910433,1161417.36215095,512354.790618208,254356.587565762,0,7614.76036127896,62121.270010982,14603.8245023023,9040.2981707338,"0,00",#VALUE!,,2021508.89338022
123,2006572.38606851,1140744.9165227,528459.329068949,254439.079212207,0,9597.84434303601,50860.1546048242,14897.1238719866,8441.5471460523,"0,00",#VALUE!,,2007439.99476975
124,1944925.4609374,1107382.75869784,482204.303529166,254442.709687172,0,10179.7972043366,46590.9532574103,29998.5001675665,9093.25246571585,"0,00",#VALUE!,,1939892.2750092
125,2405423.29215717,1071503.52358031,501829.085766419,255634.804595587,484784.73728623,7021.26682259694,52000.4532975438,22630.5149172665,9661.44631608734,"0,00",#VALUE!,,2405065.83258204
126,1914123.63212223,1055944.87862397,512334.977561079,256119.267786477,0,10466.3034861486,59291.6405629987,14366.6489149988,8291.66637339207,"0,00",#VALUE!,,1916815.38330907
127,1881948.73205076,1021974.79169889,548425.407985981,254467.900765611,0,6609.53777716971,33122.076296669,13748.1894477946,7162.410454666,"0,00",#VALUE!,,1885510.31442678
128,1860640.61711624,978104.381514536,554994.575405036,251196.410289485,0,9697.18331802917,28654.531838459,28063.1846163678,7511.6484061785,"0,00",#VALUE!,,1858221.91538809
129,2385134.06811634,1044060.11176545,535830.915005968,252673.367784214,477608.276935831,14155.5081411632,35135.1460159241,22286.9787582586,6865.0373355671,"0,00",#VALUE!,,2388615.34174237
130,1914117.78253929,1118345.5431812,466865.760888114,252475.75304647,0,14896.6624542195,39980.9112509151,20661.9392270653,5745.46597602813,"0,00",#VALUE!,,1918972.03602401
131,1846386.62640264,1078935.97005745,449367.986568371,250035.9321025,0,11777.7849892445,35705.2742469398,17046.4600263426,6808.26264178207,"0,00",#VALUE!,,1849677.67063263
132,1873446.49215268,1064103.51126687,490940.267732915,246397.894644864,0,8347.37578030382,41103.5775367311,15852.5861930354,6919.62394744253,"0,00",#VALUE!,,1873664.83710216
133,2297418.48773564,1084570.13992122,425089.796983027,243736.391967799,465338.204514515,8068.21790893044,43749.9651259849,16048.7253335379,8450.49094598294,"0,00",#VALUE!,,2295051.93270099
134,1851399.32494072,1003549.15205284,528499.523366007,242664.873807048,0,8072.77200264403,41363.3017829665,22928.530504605,6945.31364201175,"0,00",#VALUE!,,1854023.46715813
135,1849475.64762471,1011285.08400087,521027.29419761,238137.786468451,0,11469.4301005231,47478.9579663316,17620.8284847549,6055.83918059699,"0,00",#VALUE!,,1853075.22039913
136,1906911.76618839,1062686.74719915,524861.122346366,240276.971367179,0,12643.4853244579,39279.4380680509,21303.3837366712,7527.28451302912,"0,00",#VALUE!,,1908578.4325549
137,2333157.30177731,1049899.77034324,491357.766911819,244018.708926259,458064.593290218,9966.88800192439,47062.6279956626,25373.7608927792,7078.46664188039,"0,00",#VALUE!,,2332822.58300378
138,1825813.28538189,1027688.10033621,485311.931786944,239659.337468119,0,10687.7872584948,47244.305358761,9846.03275280124,7767.2642010735,"0,00",#VALUE!,,1828204.75916241
139,1770523.60460824,973425.707690378,488467.186852439,235551.257347471,0,11037.7765817557,42458.6318048848,11556.5387675806,8447.5883228876,"0,00",#VALUE!,,1770944.6873674
140,1774365.79304998,1001544.64664662,461411.781023977,239362.814943764,0,10990.8466742817,36725.9943393442,19181.2643442105,6818.52045321224,"0,00",#VALUE!,,1776035.86842541
141,2167684.66879565,997766.939708073,427467.206711434,237915.544915118,432207.784003116,5528.8020664227,34067.5196537568,26513.3453062193,5838.37764776511,"0,00",#VALUE!,,2167305.5200119
142,1740983.77742911,981621.819539682,453775.993955323,238129.757867156,0,7405.30160238239,39425.3295737519,17394.9897275461,6461.07426350476,"0,00",#VALUE!,,1744214.26652935
143,1722944.55261091,946029.755532775,464668.557318818,237863.353421756,0,9246.09028410461,42615.5506529706,14477.446819795,9122.66078845591,"0,00",#VALUE!,,1724023.41481868
144,1717094.24491935,911845.205514593,483677.515934326,238265.605723942,0,10501.202552247,50713.1634344007,16365.7953398616,7683.20918773573,"0,00",#VALUE!,,1719051.69768711
145,2131445.43543335,929088.222411254,464986.852257765,242239.503244301,422786.13684175,7308.32100027461,42577.3236472962,16378.2714740095,6620.5324418498,"0,00",#VALUE!,,2131985.1633185
146,1697210.41943313,927229.019450969,453074.648350119,240104.817641693,0,11908.2400421546,45068.9466469354,15643.3319390907,8472.36661496658,"0,00",#VALUE!,,1701501.37068593
147,1665049.29211931,881958.458899543,480885.833325284,240708.393899448,0,5216.25061152371,40476.0267074762,12116.3440099328,8284.22288924432,"0,00",#VALUE!,,1669645.53034245
148,1722434.29457175,925324.223584571,493733.83328544,239894.697141718,0,8331.86782221216,42754.5938443672,11371.0486673899,6993.74000751584,"0,00",#VALUE!,,1728404.00435321
149,2131455.98186898,904890.72961774,509275.760613953,238077.986746914,412156.927289482,9743.76683043028,43759.3015459395,14942.0522312877,6319.08929364898,"0,00",#VALUE!,,2139165.61416939
150,1713229.92263527,897433.962072597,502471.36849187,237704.695872757,0,6898.19001349638,42695.652008936,22920.0942132249,6784.01438976005,"0,00",#VALUE!,,1716907.97706264
151,1676246.96189492,908773.334914489,473199.930038932,233199.94748194,0,8321.88025583254,39071.0638126839,11945.5620545073,6443.26446632586,"0,00",#VALUE!,,1680954.98302471
152,1664609.56813852,930508.518874837,422747.278480524,234080.731243361,0,6421.59468333316,52715.4630399989,14561.1630617722,8003.76380753289,"0,00",#VALUE!,,1669038.51319136
