period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,Total family benefits sum
82,2508016.79560668,1325512.21395888,800742.921717089,284347.863177239,0,9539.70795156632,50956.7388542531,33143.0406345985,6766.95218695393,0,#VALUE!,,2511009.43848058
83,2514125.48797347,1342043.91029726,790971.50728483,280267.636661662,0,7218.47483632082,55823.3959194485,32524.0803937273,9205.30484678013,0,#VALUE!,,2518054.31024003
84,2511349.97725375,1337543.11195987,786846.199848547,281490.440486323,0,7535.30346049395,65860.7721860367,25370.7935932787,9834.69383996831,0,#VALUE!,,2514481.31537452
85,3105441.09760738,1313130.73745686,833441.116632092,278801.702322664,582645.684457773,6113.96238851926,59932.3700360153,29302.7220478041,9727.03222580678,0,#VALUE!,,3113095.32756753
86,2517016.3277989,1332308.27523686,798389.701603324,278104.224817085,0,8051.33108335885,65886.3430562318,24501.5916753629,11008.9031947689,0,#VALUE!,,2518250.37066699
87,2507920.98276762,1352825.09457563,764030.682074688,279051.759123479,0,9514.10093330796,62859.2237992861,32417.1209574346,10877.526851332,0,#VALUE!,,2511575.50831516
88,2561356.13738339,1374163.18406712,797183.904773421,274988.22171733,0,11083.7022065216,63791.9929496571,34744.136308789,8256.08713290162,0,#VALUE!,,2564211.22915574
89,3096196.45770607,1373539.5291961,777963.752533949,273503.24881253,567902.327278456,7136.50208474257,57791.4711321817,33001.2974886428,7754.24066925621,0,#VALUE!,,3098592.36919586
90,2535396.1366809,1409944.63370557,751307.325181901,274934.348169498,0,9981.10295646274,65977.4669539539,19829.1938672912,6239.4730572127,0,#VALUE!,,2538213.54389189
91,2446356.35674102,1358578.45234268,730650.896284947,272879.407433393,0,6720.57969070356,49709.6557298502,24211.3919334754,8812.55049621725,0,#VALUE!,,2451562.93391126
92,2472112.33459083,1350226.85437807,756824.776872546,268518.217296732,0,10196.8569971901,45323.3494194871,38594.6178658695,7620.00719457764,0,#VALUE!,,2477304.68002447
93,2998545.60473411,1330940.7497592,741834.337187979,268532.541631678,559158.15949985,7999.58831469371,58446.9336397066,29615.0752420737,8402.31231427258,0,#VALUE!,,3004929.69758945
94,2437530.68054521,1318370.79467644,765190.703426956,269486.641565753,0,6593.03545185183,40845.797489212,34720.2851223882,7521.59491117357,0,#VALUE!,,2442728.85264378
95,2407623.02415463,1304119.63330191,720390.487751682,268687.303491253,0,12242.3054582052,59480.0676252963,37339.7281030622,10721.2873081609,0,#VALUE!,,2412980.81303957
96,2401189.55638534,1349874.43610646,686572.013001183,268107.622384103,0,6379.27269521635,52072.2389690507,33489.2880321615,7885.26109348888,0,#VALUE!,,2404380.13228166
97,2862352.94210168,1306481.9130116,646890.557145861,267933.675512884,547895.295242024,8257.10219138291,57576.096961861,20263.7682208418,10337.0992238975,0,#VALUE!,,2865635.50751035
98,2349477.26747987,1326198.430188,668948.442117628,265966.126593582,0,10698.9944798622,50549.872018809,24221.4963023185,8502.84656390746,0,#VALUE!,,2355086.2082641
99,2383066.43110105,1331438.77203315,680857.715715494,264154.357526578,0,9322.69648070389,63376.0220085666,26369.7415923374,11708.8568120809,0,#VALUE!,,2387228.16216891
100,2318141.37326903,1327778.72671596,622965.320713217,263970.101828587,0,7568.38458662821,68658.109570131,21286.0375096477,9708.91801005931,0,#VALUE!,,2321935.59893423
101,2890470.69702684,1316126.58496105,666487.00329652,262061.660334849,535755.253397351,10504.0272608781,56454.9895564309,36344.4360113845,9194.59781030739,0,#VALUE!,,2892928.55262877
102,2381785.61892635,1289458.22949521,722640.576675654,262290.00498946,0,9356.35714621864,65007.396911813,26606.5472863663,9663.15211149442,0,#VALUE!,,2385022.26461622
103,2407887.32232664,1320066.56358772,713374.799704424,259286.479214048,0,10522.5106809592,65276.4870232135,33526.5633100223,10068.0088254165,0,#VALUE!,,2412121.41234581
104,2356492.471695,1355738.48178025,630475.461711122,262378.413048216,0,6544.77494817611,63476.6003650004,32680.3856750279,9631.6289224615,0,#VALUE!,,2360925.74645026
105,2847566.68707569,1310120.52347994,640168.051773508,257515.441249758,535692.50570496,10949.5945848625,62195.0031093838,27214.990813661,9729.81985237441,0,#VALUE!,,2853585.93056845
106,2306767.45773076,1353273.84864707,600627.753732438,255323.458898818,0,9080.47476500644,50808.6723166658,32928.0892871133,9573.3960137462,0,#VALUE!,,2311615.69366085
107,2329875.59501891,1300839.65932554,676456.574752445,253712.788693331,0,11280.1345693546,49706.1395638388,35303.7856870948,7432.33775777685,0,#VALUE!,,2334731.42034938
108,2318619.79609204,1322151.39481914,641788.653994548,258054.258776203,0,9350.07469619991,54572.7420009039,27867.2970866229,9548.28216085262,0,#VALUE!,,2323332.70353447
109,2735069.68632037,1271928.10692291,596471.622038508,256132.523249928,520466.734717185,7568.13371213563,48291.6631793074,32560.7585950832,6773.17909127511,0,#VALUE!,,2740192.72150633
110,2255002.64087367,1249312.3235875,656343.565660857,256647.844916207,0,8396.06347540308,46176.5567892369,33915.5138724298,8806.57660095211,0,#VALUE!,,2259598.44490259
111,2247371.23998404,1246969.85283406,649078.080749095,257183.373949971,0,12989.5138744254,48164.8429375477,28149.557562252,7015.18636990736,0,#VALUE!,,2249550.40827726
112,2281619.71479193,1283765.59144123,644350.011137992,255553.776185023,0,8134.15773352237,64006.118861682,20031.5309011704,9470.8961038496,0,#VALUE!,,2285312.08236447
113,2824251.1830417,1268633.44210113,671228.750829261,255948.083955776,537229.970219418,13523.304028983,48279.039686312,25262.5801272058,8872.97495759022,0,#VALUE!,,2828978.14590568
114,2272032.26556687,1242308.90432431,687494.599359683,256197.678973964,0,5157.10688088681,51497.8830644492,24818.0703465433,7569.73935865328,0,#VALUE!,,2275043.98230849
115,2258763.96201441,1317797.68848201,601866.329092633,254443.38313104,0,6364.2242569582,42863.9174145212,29783.3965263842,7695.00434816863,0,#VALUE!,,2260813.94325171
116,2177375.98017081,1248244.9850294,592327.886420045,253417.471964756,0,6840.66592390909,49595.9273097524,21580.3310405302,7653.82425076523,0,#VALUE!,,2179661.09193915
117,2716352.83415113,1212118.48246793,644940.094336903,247949.165449045,512818.349566718,10251.302987011,61476.2355228454,24605.4191679162,8707.25585520829,0,#VALUE!,,2722866.30535358
118,2167717.62938539,1247926.04459304,587387.530086076,247530.682369306,0,5830.81132226736,51315.5936411017,23293.204296807,8089.42064059544,0,#VALUE!,,2171373.28694919
119,2156345.06393411,1260766.73063187,570126.43903028,249779.164668199,0,9094.63893476993,51679.3229159918,14957.208367498,9409.40442442613,0,#VALUE!,,2165812.90897304
120,2201141.63583833,1269014.53540852,618653.848039844,247480.640807862,0,8826.83708499767,37294.6161629142,20789.0165175153,6999.61995297383,0,#VALUE!,,2209059.11397463
121,2784957.68662052,1306030.57346066,623714.561393712,249012.926048735,522604.321373441,8787.99958180069,58993.6424401281,20354.8701623556,7429.13408297682,0,#VALUE!,,2796928.02854381
122,2255066.20662231,1204616.71303366,703774.70931131,251654.641945858,0,11776.8611804961,52567.4980819355,28586.2279030937,7504.39124716374,0,#VALUE!,,2260481.04270351
123,2242569.39536479,1230724.65898183,659328.712854496,248550.381183823,0,9720.59409850447,73924.4521617891,21615.6186270229,10186.556401265,0,#VALUE!,,2254050.97430873
124,2173560.50517938,1191157.13416515,653870.627313596,246805.429113267,0,12831.3635524282,36066.5628271785,32207.3098998011,6821.82313461309,0,#VALUE!,,2179760.25000603
125,2666215.91353567,1208279.31220154,620034.788811427,246275.368020159,506893.080317414,13271.3655652486,48815.8022551368,21511.1646271364,8732.35417334956,0,#VALUE!,,2673813.23597141
126,2169516.1767416,1198507.41726323,622666.937510228,247615.365521035,0,8811.24626357669,47777.7620561704,33707.8924901091,9739.03628085609,0,#VALUE!,,2168825.6573852
127,2178880.49846619,1234329.74828116,602375.523029788,242181.050421782,0,11980.3149453037,59148.1292681913,23422.1048072846,10709.4119952818,0,#VALUE!,,2184146.28274879
128,2048447.09119408,1192520.88801589,536651.22161814,240223.706656282,0,9015.20530974206,48192.1425500042,16104.8226550653,8224.84820327378,0,#VALUE!,,2050932.8350084
129,2581262.67809868,1178068.40705299,593383.296470866,238011.457632998,510442.027198747,9749.06387064979,36282.6707552194,17481.2489010805,6744.54478357108,0,#VALUE!,,2590162.71666612
130,2060697.03257833,1154808.70725849,572793.622918351,241424.25026951,0,10181.0382163269,48120.6892818467,18999.3491745172,10627.6134688443,0,#VALUE!,,2056955.27058789
131,2072788.90193864,1141658.92913847,602431.849817668,241614.595250979,0,7602.29195565153,56828.0166081342,20338.3453369353,11021.4102596597,0,#VALUE!,,2081495.4383675
132,1992942.07727905,1132904.80518289,538369.493252652,240097.190943366,0,11042.8498562063,48861.6709512906,16283.1256064024,7598.47551767235,0,#VALUE!,,1995157.61131048
133,2494878.76804478,1171461.79745094,515351.438986604,240352.481334932,497838.011898714,9433.33462420268,48846.9472630791,13048.9526542269,8295.5485270181,0,#VALUE!,,2504628.51273972
134,1980212.24271246,1096842.01787316,548476.775036815,244341.124811042,0,10674.39749217,51095.166035373,21871.3348521881,9686.83997159558,0,#VALUE!,,1982987.65607235
135,2018183.4075824,1141887.90547614,544025.570005363,241911.816154154,0,15038.869100248,53052.0550501454,17780.543025985,9142.86350508647,0,#VALUE!,,2022839.62231712
136,2020917.10040598,1137181.77827285,556146.669564518,243269.153861878,0,8069.53139702923,60490.8553939769,11875.7618439787,10658.3991249675,0,#VALUE!,,2027692.1494592
137,2552317.89018676,1156183.25774011,575762.241834408,242020.47171696,504347.363802327,8529.90063022149,47703.5120524671,20553.1306104963,9232.24656678379,0,#VALUE!,,2564332.12495378
138,2070548.4035314,1184726.003833,535943.089813154,243724.904717345,0,12786.9324357487,63484.9163908235,20055.31222942,11511.2159878682,0,#VALUE!,,2072232.37540736
139,2018171.62192266,1172942.67955671,521500.807481073,241924.547947829,0,10310.2282020274,52962.1310148952,16098.8383768109,9232.52513036985,0,#VALUE!,,2024971.75770971
140,1988455.96143971,1107843.47958586,534815.727078405,243672.088968951,0,10595.5908482105,58222.9994080721,26990.4610988336,10474.105089298,0,#VALUE!,,1992614.45207763
141,2491191.44053783,1110056.92627787,565365.602949139,246293.660934472,490826.930249183,11226.1703655018,37713.5013518675,31170.7266889946,7827.48383442749,0,#VALUE!,,2500481.00265145
142,2051542.97964352,1116558.56553709,591578.54303044,246116.71944933,0,11011.6508260232,47664.8020753722,21704.2178718949,8757.81154639535,0,#VALUE!,,2043392.31033654
143,2015088.64893218,1109643.38419524,579298.199783298,243649.36898842,0,7355.55053575149,46547.2776512442,19305.5235751371,8771.38474054903,0,#VALUE!,,2014570.68946964
144,2012422.29314243,1109631.7709567,577731.277343804,244162.611565006,0,9811.57963004274,43553.2371363942,13151.9941125928,10231.3998004725,0,#VALUE!,,2008273.87054502
145,2553586.59028699,1130375.73418388,565039.147909472,245478.881117079,501242.776956375,11741.0250995795,59225.496680564,19118.9284531006,10157.1781341262,0,#VALUE!,,2542379.16853417
146,2011667.82157966,1169864.74775627,506703.235085016,244222.643417202,0,13326.7636481403,52686.1274798029,17419.8539739635,11124.6291890172,0,#VALUE!,,2015348.00054941
147,2059487.6095818,1151890.87536498,557052.410005128,242910.244920503,0,8150.88906126071,66239.860046455,17619.5025682592,9121.41028691569,0,#VALUE!,,2052985.1922535
148,2080875.88257521,1222751.91455443,518808.082293933,240940.881666215,0,6027.32092103751,63265.2626066081,21799.718038001,9340.51638207409,0,#VALUE!,,2082933.6964623
149,2516482.96044163,1144160.21023784,547289.630965001,242998.488975302,484193.4232442,8377.01945207676,49538.4706143797,26853.0699345907,9930.87624711793,0,#VALUE!,,2513341.18967051
150,2026499.74615893,1133289.82721086,555348.703630171,243663.205648193,0,11401.6553528712,58396.911845245,16612.4083797608,11046.2392089936,0,#VALUE!,,2029758.95127609
151,1972602.95201813,1140057.74499447,517696.479808172,240787.091138098,0,7811.49173578747,40880.1802524942,24588.3641352225,6722.17931764661,0,#VALUE!,,1978543.53138189
152,1980510.41952652,1072951.04544772,593319.110717662,236962.902893969,0,8323.02128005808,30638.6625340226,34146.9492475505,6275.24820019348,0,#VALUE!,,1982616.94032117
