period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,,,Total family benefits sum
47,2443668.57473225,831364.273535037,1305921.70509279,191066.358985066,0,28869.770034217,39303.695303814,35646.7627985185,14777.3263518139,0,#VALUE!,,2446949.89210125
48,2406386.636,941 821,1145630.276,212017.9,0,15365.25,30240.252,53522.196,10107.25,941 821,#VALUE!,,2408704.124
49,2475644.20163724,741036.142353406,1071160.67346969,204742.820271417,359539.863810587,16510.5281906163,28195.7698532794,46934.2521220108,9397.27654886426,0,#VALUE!,,2477517.32661987
50,2153884.3665634,639631.063016525,1045425.12691443,192450.572809202,203312.987946921,5907.07116925395,20879.5842423641,38540.6737225862,8982.11166750136,0,#VALUE!,,2155129.19148879
51,2665776.89983434,877848.836421206,1319702.80889737,365414.943739506,0,9234.60070499048,26621.6702022099,58370.1431861649,9618.98855115684,0,#VALUE!,,2666811.9917026
52,2503822.48924874,833236.289871214,1226863.64690395,344396.837721757,0,8025.53405284315,26249.8240386703,56735.4049631729,9411.02266999457,0,#VALUE!,,2504918.56022161
53,2533968.23568916,563145.59476649,1089007.19382663,302106.05258252,491201.420373741,5731.19125801846,20270.1350331431,58039.5547102352,6653.97522309484,0,#VALUE!,,2536155.11777387
54,2460733.84050738,1024597.31442816,1047361.17270912,301983.321645648,0,3701.07337030618,43694.3096654384,35693.8935100071,5261.03224128975,0,#VALUE!,,2462292.11756997
55,2152324.14886019,822721.878176193,953432.146531605,283534.676936404,0,1982.64771392068,47853.6211795643,36672.6599620986,7347.16041905641,0,#VALUE!,,2153544.79091884
56,3681844.00226847,2034431.24072171,1101114.86412769,373495.351067,0,12120.9248664154,105717.444164371,41945.06804547,14389.0323735936,0,#VALUE!,,3683213.92536625
57,4034595.66705121,1703888.31901493,1126763.98236026,350453.6641774,715177.674636918,10472.5703462763,72469.1212741547,49228.5513451134,9221.95419722688,0,#VALUE!,,4037675.83735227
58,3666133.35268343,1956511.65702297,1195356.79369019,376786.615411013,0,5647.10215134831,79935.539822952,39990.9564238449,13200.4226641057,0,#VALUE!,,3667429.08718642
59,3365356.93507038,1717798.54731435,1145003.64792386,358175.699013361,0,4746.07737629003,91969.6683524314,37157.7368709955,13350.9680887414,0,#VALUE!,,3368202.34494002
60,3823544.11557762,2079237.92621774,1210266.00129397,382559.624947839,0,10828.2091986053,87894.9520787835,41541.1675853902,12557.3915165104,0,#VALUE!,,3824885.27283884
61,4005442.97191763,1757240.24377794,1084153.36309747,349953.527709002,707185.065018334,11083.4340697135,50974.5076574783,40129.798037534,7985.27717494898,0,#VALUE!,,4008705.21654242
62,3085338.87127148,1576783.55655871,1073705.50383376,322854.836406816,0,8282.08561027086,60429.4619377805,35017.195342503,9380.90182537129,0,#VALUE!,,3086453.54151521
63,2839326.64401067,1375910.80637823,1054910.84969379,313535.034175556,0,6321.84238192979,49819.2571221811,34651.1371808146,6753.69096790911,0,#VALUE!,,2841902.61790041
64,2831407.56278354,1454066.27922955,959815.686770434,309038.723102083,0,6049.83844949626,58418.8949369895,36596.844545525,8507.96661735572,0,#VALUE!,,2832494.23365143
65,3401470.49883386,1319980.93434477,1060741.77295287,309709.401194047,595050.634696051,5832.91040278325,62034.7826217893,41984.6789535075,8985.74120254611,0,#VALUE!,,3404320.85636837
66,2906416.60379763,1455576.79552997,1021063.54022581,310161.440099814,0,7740.95856420523,53803.9800863922,51117.868913416,6997.05423864233,0,#VALUE!,,2906461.63765824
67,2803489.02922959,1426275.19985741,962165.253751099,308017.197045919,0,7739.08369652266,65476.3436112917,26381.3352045529,8943.03147082986,0,#VALUE!,,2804997.44463763
68,2783667.31541205,1459274.32598095,922545.625346046,306932.655954337,0,5553.48041177259,48585.8704617351,33138.5268976517,7681.9147555547,0,#VALUE!,,2783712.39980805
69,3358386.02634074,1419260.07901144,943787.488983546,305149.200031298,591977.793779071,7042.38833146782,54815.3202715246,30584.0887756553,8732.19454457787,0,#VALUE!,,3361348.55372858
70,2764440.98265086,1493076.41188673,887265.518801235,303557.406752902,0,8841.91462381405,33981.7961730167,33783.6737020055,5068.13723746056,0,#VALUE!,,2765574.85917716
71,2694568.59575951,1408837.29888854,894935.569832098,301547.1567605,0,9165.68990935686,40221.0382163346,35825.53664368,6053.89115223466,0,#VALUE!,,2696586.18140275
72,2722647.45778251,1439164.25192124,894728.371351412,298688.368860256,0,5694.79591134178,57151.205994556,19510.4617955681,8845.1508702468,0,#VALUE!,,2723782.60670462
73,3267475.71113595,1416104.6237314,859434.157096113,296806.428672596,589640.456267289,7179.84200752356,58766.0994499589,35747.8709969036,6587.15757893062,0,#VALUE!,,3270266.63580071
74,2664733.35976554,1428501.85245064,862643.6054577,290391.159790545,0,9507.75643564035,36892.4786544737,32671.2645094903,5261.6652128129,0,#VALUE!,,2665869.7825113
75,2690924.37214337,1419705.00472242,876679.611076138,290335.848859931,0,5801.18055223889,61505.9148470421,32421.4086935647,6497.51970126115,0,#VALUE!,,2692946.4884526
76,2748161.88369238,1448025.31779068,906413.627863214,289123.927739755,0,8156.96451933918,54606.1694274454,33160.5143019642,9455.62815590345,0,#VALUE!,,2748942.1497983
77,3305022.89443114,1427008.57646005,869965.0904387,288631.204048326,599120.800581751,8475.17817043128,67107.8344376562,37181.2997226247,9561.08453496932,0,#VALUE!,,3307051.0683945
78,2639975.12835623,1447503.62146531,813742.756295915,290230.76668863,0,9777.5865691179,51012.5624202461,21232.790508902,7210.84817596324,0,#VALUE!,,2640710.93212408
79,2581369.4050978,1417619.54789683,781067.673891808,286288.242800302,0,5510.30130068725,52635.6847668166,32010.4023186388,7860.81220823075,0,#VALUE!,,2582992.66518332
80,2598761.38898952,1378246.95886801,834249.313434204,285274.422640055,0,7501.02448988908,57442.6848936782,27110.4342544324,10031.4144075294,0,#VALUE!,,2599856.2529878
81,3139358.13139053,1317866.29897878,860520.19964788,285326.19347247,593683.1810709,5281.85923703998,41264.4234928772,34489.6221910149,8271.60757522406,0,#VALUE!,,3146703.38566619
