period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,
51,2869119.51832035,963230.244415077,1451068.77482884,353844.099266392,0,21109.5491277911,24752.4448086759,48872.4665761511,6763.5903289526,2869641.16935188,521.6510315239
52,2667949.44732766,874684.631608666,1361214.56624393,337281.000020346,0,17894.0495739017,24479.8997477939,46946.6338740867,8275.4128363293,2670776.19390505,2826.7465773909
53,2664064.33321044,625849.016301251,1138732.8588904,296044.993007696,523831.146390699,7108.2381847992,29897.6467729417,35974.297529672,8133.9858789749,2665572.18295643,1507.8497459935
54,2617222.85018871,1074191.10681618,1160713.84342341,292298.419774217,0,4589.2701437842,50048.338406493,29490.1788167329,7286.9442181515,2618618.10159897,1395.251410252
55,2255499.43907542,822858.069958835,1062636.45913394,276814.438281752,0,5038.1473749302,50455.5046987741,33532.6354930737,4480.5626143521,2255815.81755566,316.3784802351
56,3728481.15020576,2109236.14411004,1124909.29177747,361124.486576924,0,10438.9092309887,71397.8485237811,42263.8424923765,10444.6887563004,3729815.21146788,1334.0612621205
57,4086452.41187019,1729850.02206211,1166236.42428362,340403.938260849,713212.565845558,6117.2375071506,66007.7646214904,58523.197175769,7425.2013269424,4087776.35108349,1323.9392133015
58,3769046.06597839,2055825.56453485,1180789.00400701,370216.972206173,0,43044.969923797,62181.3269022306,48950.0553893335,9394.5008623192,3770402.39382571,1356.3278473262
59,3355690.23230354,1727337.77355294,1153342.68442253,350443.583183518,0,11511.6332116319,61424.4920200567,43714.0660273581,9215.2942514203,3356989.52666945,1299.2943659076
60,3772187.31570696,2069522.79627069,1209806.98675121,377667.005227496,0,7205.0292641942,65676.7501936402,35779.9375816699,7932.5654592268,3773591.07074813,1403.7550411709
61,4009178.35236595,1775552.63705511,1069490.90445601,350026.859419852,699251.26806654,8905.127487116,55131.3544088292,43687.1676758114,8803.6283049088,4010848.94687418,1670.594508233
62,3008077.09049367,1650903.83878181,923458.663600648,320001.487436731,0,5974.0679113347,64399.2750285616,35592.1753536002,8777.070400854,3009106.57851354,1029.4880198701
63,2861807.07865111,1515870.84339297,929390.218477168,311657.160175093,0,6556.6307447706,56385.7249342899,35381.0511423903,7579.4189330233,2862821.04779971,1013.969148593
