period,total pensions. pre-2016. cost,total net pensions. pre-2016,total pensions. post-2016. cost,total net pensions. post-2016,total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,total universal pensions. cost,total net universal pensions, total thirteenth month of pension pre-2016. cost,total net thirteenth month of pension pre-2016, total thirteenth month of pension post-2016. cost,total net thirteenth month of pension post-2016, total thirteenth month of universal pension. cost,total net thirteenth month of universal pension
73,21008672.3692685,20166390.7419619,21082802.8506039,20236073.3935013,16213826.9847818,3952563.75718016,16283509.6994489,3952563.69405234,506618.779025411,491420.215654648,0,0,0,0,0,0
74,21081856.5416598,20234944.5745145,21157484.9033474,20306033.8103102,16221561.465477,4013383.10903746,16292650.7650742,4013383.04523595,538192.709466631,522046.928182632,3513068.39759567,3313693.74220559,3525672.87202752,3325541.94797982,89698.7849111051,87007.821363772
75,21151378.9199884,20299927.6889164,21228244.5120815,20372179.9217427,16255179.2255443,4044748.46337219,16327431.5149149,4044748.40682778,571811.935932125,554657.577854161,0,0,0,0,0,0
76,21277885.3450681,20419967.7996531,21357167.7486029,20494491.8351828,16329988.6139253,4089979.18572776,16404512.7112618,4089979.12392104,630238.87696314,611331.710654245,3545347.88053281,3343389.76743287,3558561.36200971,3355810.43990376,105039.81282719,101888.618442374
77,21402234.3981641,20537754.9374491,21483067.7310242,20613736.8465322,16386080.2340756,4151674.70337343,16462062.2053622,4151674.64117007,665027.217652227,645076.401122661,0,0,0,0,0,0
78,21478531.2257769,20609125.3959619,21561446.2404338,20687064.0859266,16376992.5713281,4232132.82463381,16454931.3237418,4232132.76218476,688205.49561529,667559.330746831,3578382.26300508,3374085.7548342,3592201.17966548,3387075.53637417,114700.915935882,111259.888457805
79,21495500.6992978,20624504.1193041,21578722.4648474,20702731.1551078,16321885.3350906,4302618.78421345,16400112.4371063,4302618.71800153,722290.275395772,700621.567133899,0,0,0,0,0,0
80,21532119.3492771,20658098.5260568,21617141.2872938,20738017.7240133,16308256.0593226,4349842.4667342,16388175.3224004,4349842.40161295,752373.389041805,729802.187370551,3586959.3122628,3381864.79695511,3601129.38282247,3395184.66316621,125395.564840301,121633.697895092
81,21628084.0506212,20748387.9525273,21715602.8089218,20830654.1614374,16351842.1972358,4396545.75529144,16434108.4749615,4396545.68647592,789805.967941303,766111.788903064,0,0,0,0,0,0
82,21725326.4774127,20839743.5173087,21814201.9730323,20923285.059229,16375294.4421341,4464449.07517452,16458836.0551194,4464449.00410964,820579.565155633,795962.178200965,3618787.68337712,3411471.01139955,3633600.01350485,3425394.60157318,136763.260859272,132660.363033494
83,21819091.1456343,20927348.8504849,21909697.2198247,21012517.1362632,16405658.0136668,4521690.83681817,16490826.3704691,4521690.76579414,827536.710199839,802710.608893844,0,0,0,0,0,0
84,21925181.3909073,21026927.8225094,22016113.6382879,21112402.7111758,16428044.3401429,4598883.48236652,16513519.2776665,4598883.43350929,870221.148967293,844114.514498274,3651502.28650006,3441947.54293935,3666657.40860401,3456193.3575862,145036.858161216,140685.752416379
85,21955259.4309355,21053486.2960972,22047279.2695188,21139983.5202305,16377732.2256666,4675754.07043059,16464229.5071762,4675754.01305432,877065.828884844,850753.854018299,0,0,0,0,0,0
86,22029314.0050104,21123403.6263177,22122335.6585034,21210842.5564662,16388421.3567128,4734982.26960493,16475860.3442376,4734982.21222866,908498.52405073,881243.568329209,3668343.15271653,3457287.36356846,3683846.50912584,3471860.51841704,151416.420675122,146873.928054868
87,22084482.8862936,21175429.4643165,22178154.5991389,21263479.4502587,16387224.6341981,4788204.83011847,16475274.6774357,4788204.77282293,944628.599855487,916289.741859822,0,0,0,0,0,0
88,22160518.0532117,21246756.7391429,22255540.9315245,21336076.8206245,16395224.1143848,4851532.62475817,16484544.2531619,4851532.56746262,1020934.8805565,990306.834139802,3689799.02472079,3477677.87201192,3705635.9186005,3492564.5520831,170155.813426083,165051.1390233
89,22295613.5059119,21374966.9296746,22391501.3482941,21465100.0773646,16447863.210536,4927103.7191386,16537996.416066,4927103.6612986,1127706.13324055,1093874.94924334,0,0,0,0,0,0
90,22418045.4945113,21490666.4454228,22515431.3270702,21582207.7038375,16493381.9229449,4997284.5224779,16584923.2405408,4997284.46329674,1208929.49389762,1172661.60908069,3732115.95458102,3518274.96764135,3748346.6741581,3533532.03037491,201488.248982936,195443.601513448
91,22557524.7721089,21622560.6878295,22658516.4482635,21717491.4391879,16569169.3979794,5053391.28985013,16664100.2110564,5053391.22813157,1281537.50275934,1243091.37767656,0,0,0,0,0,0
92,22718615.9285022,21775432.2201578,22820975.5460343,21871647.8719291,16634149.2684566,5141282.95170124,16730364.987342,5141282.88458709,1375668.19830105,1334398.15235202,3781693.7818019,3565370.22538111,3798753.29452731,3581406.35363916,229278.033050175,222399.692058669
93,22798664.4581789,21851235.0640349,22901526.7436559,21947923.2236208,16614139.770253,5237095.29378197,16710828.0065251,5237095.21709568,1465849.53706954,1421874.05095746,0,0,0,0,0,0
94,22886222.2099797,21934652.9520092,22988561.0669122,22030849.1077606,16650725.1774374,5283927.77457178,16746921.4115129,5283927.69624766,1547635.22335988,1501206.16665908,3809228.59612781,3591900.61924363,3826284.65211211,3607933.49815587,257939.203893313,250201.027776514
95,22973407.9067243,22017222.9229917,23076614.2769839,22114234.5412706,16718544.3546809,5298678.56831081,16815556.0512839,5298678.48998669,1661170.07645157,1611334.97415803,0,0,0,0,0,0
96,23097790.7101549,22134974.6995322,23201260.7027261,22232234.1227869,16802085.0751379,5332889.62439426,16899344.576588,5332889.5461989,1738415.31018675,1686262.85088114,3844047.63523919,3625223.68801131,3861292.21383045,3641433.77817461,289735.885031124,281043.80848019
97,23126363.7812668,22162357.8468385,23231156.7427434,22260860.8607283,16820619.9772783,5341737.8695602,16919123.0475643,5341737.81316398,1837994.02570104,1782854.20493001,0,0,0,0,0,0
98,23292172.4288485,22320358.6819362,23398851.0194267,22420634.1871343,16927139.8731478,5393218.80878838,17027415.4362678,5393218.75086651,1932935.51634189,1874947.45085163,3876024.26982181,3656006.92031352,3893803.6147151,3672719.69076925,322155.919390314,312491.241808605
99,23465326.6437103,22485857.1898439,23571625.0816777,22585775.0531618,17031102.3298188,5454754.86002508,17131020.2510586,5454754.80210321,2074139.40605863,2011915.22387687,0,0,0,0,0,0
100,23546279.6359164,22562650.1866776,23652716.9252835,22662698.5702643,17042498.5234773,5520151.66320031,17142546.9657816,5520151.60448271,2169305.82695279,2104226.6521442,3917944.36529673,3696333.169615,3935683.44040077,3713008.1127885,361550.971158798,350704.442024034
101,23670573.0635659,22680618.3525738,23777152.9417231,22780800.7696015,17090410.8364966,5590207.51607715,17190593.3129446,5590207.45665683,2282568.67136606,2214091.61122508,0,0,0,0,0,0
102,23807327.258659,22810093.180584,23915275.3125868,22911561.6826794,17175106.1173669,5634987.06321712,17276574.6853726,5634986.99730676,2342394.8878101,2272123.0411758,3960958.92828048,3737266.54032474,3978949.79744634,3754178.1698857,390399.14796835,378687.1735293
103,23950404.8463343,22946226.8351575,24058710.4150161,23048031.4024073,17272897.7413757,5673329.0937818,17374702.3387771,5673329.06363019,2437260.52987716,2364142.71398084,0,0,0,0,0,0
104,24121047.0139551,23108309.3958457,24230676.8737009,23211358.7966651,17412404.9833524,5695904.41249336,17515454.4153166,5695904.38134847,2525035.63802886,2449284.56888799,4012676.62871232,3786559.89489971,4030947.79907036,3803735.00773383,420839.27300481,408214.094814666
105,24172349.3311106,23156352.2581485,24281972.206929,23259395.0938034,17402174.3819401,5754177.87620838,17505217.2346865,5754177.85911688,2585991.73667557,2508411.9845753,0,0,0,0,0,0
106,24267533.8444425,23246126.5799958,24377838.7134297,23349810.4891894,17494625.7266463,5751500.85334949,17598309.6542258,5751500.83496363,2664649.32316407,2584709.84346915,4036780.061091,3809744.90518046,4055163.73293384,3827025.76935652,444108.220527346,430784.973911526
107,24369277.4824971,23342628.7462418,24478026.2410969,23444849.9116713,17523607.9388312,5819020.80741061,17625829.1226465,5819020.78902475,2782844.94034177,2699359.59213152,0,0,0,0,0,0
108,24493698.288781,23460978.7330639,24603043.2727488,23563760.3501607,17615759.4985955,5845219.23446835,17718541.1398511,5845219.21030955,2891313.63179789,2804574.22284396,4073950.02041285,3845501.5071156,4092173.71138746,3862631.98924483,481885.605299649,467429.037140659
109,24514217.407892,23480169.7250485,24623282.8199712,23582688.659166,17581891.7041424,5898278.02090608,17684410.6751153,5898277.98405072,2964170.11012548,2875245.00682171,0,0,0,0,0,0
110,24703744.4183423,23660164.3771601,24813557.4801077,23763384.5791202,17713021.2350472,5947143.14211286,17816241.482719,5947143.09640113,3045819.79207661,2954445.19831431,4108623.29187115,3878654.4174022,4126924.7461194,3895857.9969829,507636.632012768,492407.533052385
111,24712385.1654428,23668614.7311986,24822258.4637903,23771891.555366,17742175.1397894,5926439.59140929,17845452.0154836,5926439.53988248,3119764.30511787,3026171.37596434,0,0,0,0,0,0
112,24868307.9255534,23817800.0489307,24979817.5094685,23922614.9815317,17889786.994085,5928013.0548457,17994601.9858344,5928012.99569727,3204811.48008119,3108667.13567875,4135941.19831342,3904896.96866406,4154525.4062214,3922366.33665992,534135.246680198,518111.189279792
113,24985131.1017495,23928965.7644519,25097088.9070015,24034202.0251095,17973914.5091482,5955051.25530371,18079150.7821318,5955051.24297769,3297205.50482991,3198289.33968501,0,0,0,0,0,0
114,25063774.608937,24004014.6341882,25176179.6459666,24109671.3895655,18022034.3395461,5981980.29464212,18127691.0631984,5981980.32636715,3410931.28709011,3308603.34847741,4168103.96973476,3935915.04928873,4186837.43700025,3953526.86895442,568488.547848351,551433.891412901
115,25205592.3547884,24139376.3735062,25318993.6240227,24245969.1635133,18158809.7304264,5980566.6430798,18265402.488784,5980566.67472934,3542319.32517118,3436049.74541604,0,0,0,0,0,0
116,25294736.2338092,24224912.8608223,25407289.6467533,24330708.6659014,18218349.1011861,6006563.7596362,18324144.8750636,6006563.79083787,3654844.60759104,3545199.26936331,4206310.53910263,3972769.1737579,4225068.66057056,3990404.16837087,609140.767931841,590866.544893885
117,25304610.2527145,24233404.4764042,25418157.0224871,24340134.0369021,18205727.2458698,6027677.23053444,18312456.7774009,6027677.25950119,3700003.2791449,3589003.18077055,0,0,0,0,0,0
118,25344231.3183511,24271055.3235895,25457066.9462744,24377116.4118325,18194286.3033419,6076769.02024754,18300347.3638974,6076769.04793513,3768120.52934463,3655076.91346429,4214385.34736625,3980630.6891581,4233190.50485615,3998309.89781806,628020.088224104,609179.485577381
119,25553625.6418652,24469916.1867902,25667017.0523639,24576499.0819897,18355601.0475169,6114315.1392733,18462183.9151011,6114315.16688855,3843236.77207755,3727939.66891522,0,0,0,0,0,0
120,25669728.6143948,24580007.247891,25782938.0603915,24686419.2111001,18444625.3176166,6135381.93027435,18551037.2533218,6135381.95777831,3937519.16476684,3819393.58982383,4268311.51910114,4032074.85777121,4287178.88846447,4049812.64645638,656253.194127806,636565.598303972
121,25627338.0842862,24539867.9880449,25740359.3045062,24646103.0190249,18434799.0928495,6105068.89519537,18541034.0938053,6105068.92521962,3980527.92157395,3861112.08392673,0,0,0,0,0,0
122,25754745.2725394,24661096.6343839,25868236.7277365,24767773.6861481,18545515.5574015,6115581.07698244,18652192.5836988,6115581.10244932,4067615.16162541,3945586.70677665,4282341.41089247,4045747.28409378,4301255.78177265,4063529.74433979,677935.860270902,657597.784462775
123,25843935.0977214,24746720.5013724,25956331.7170051,24852368.407378,18617911.8477242,6128808.65364825,18723559.7176264,6128808.68975161,4170578.29281159,4045460.94402724,0,0,0,0,0,0
124,25967076.1727733,24864022.1619329,26079288.7999838,24969497.1153897,18697462.5171324,6166559.64480052,18802937.4344859,6166559.68090389,4237204.72621613,4110088.58442965,4317716.76037951,4079841.62999729,4336417.99326193,4097423.05737443,706200.787702688,685014.764071608
125,25969325.6013134,24865386.8249132,26079743.2261554,24969174.4761435,18660619.8020693,6204767.02284386,18764407.4171963,6204767.05894722,4305596.60056234,4176428.70254547,0,0,0,0,0,0
126,26044489.6087892,24936205.802301,26155418.7235652,25040474.8827317,18707992.5694431,6228213.23285799,18812261.6162556,6228213.26647616,4347943.64394983,4217505.33463134,4330434.57081308,4092302.74391508,4348921.99642136,4109683.20389824,724657.273991639,702917.55577189
127,26149149.3545682,25036783.0653871,26260249.3731411,25141212.7953869,18788248.3389808,6248534.72640628,18892678.036921,6248534.75846588,4461933.58848427,4328075.58082974,0,0,0,0,0,0
128,26235392.3853081,25119423.7414267,26345986.1583062,25223377.6004728,18846451.2565448,6272972.48488196,18950405.0870287,6272972.51344415,4580484.90931836,4443070.36203881,4362061.82055491,4122995.02626392,4380493.35584678,4140322.94933017,763414.15155306,740511.727006468
129,26316616.5015788,25196745.6258804,26426890.4658999,25300398.8647701,18882059.8211204,6314685.80475995,18985713.031448,6314685.83332214,4690039.0200201,4549337.8494195,0,0,0,0,0,0
130,26458922.3545995,25332352.6317179,26568662.03258,25435503.6414475,18992724.8458258,6339627.78589209,19095875.8269932,6339627.81445427,4782916.90636024,4639429.39916943,4399038.27849854,4158479.1568608,4417327.46462081,4175673.27170764,797152.817726706,773238.233194905
131,26497829.2600917,25369169.833126,26605721.5911786,25470584.3367757,19031854.9587837,6337314.87434236,19133269.4338711,6337314.90290454,4867304.983372,4721285.83387084,0,0,0,0,0,0
132,26655978.22746,25519652.380955,26763409.7082481,25620633.6852399,19086906.5682227,6432745.81273224,19187887.8439455,6432745.84129443,4958134.9582198,4809390.90947321,4431643.81986541,4189665.511586,4449548.30644075,4206498.17702,826355.826369967,801565.151578868
133,26744786.3751114,25604132.2724841,26852288.7287911,25705180.1972945,19165811.8549261,6438320.41755809,19266859.7506621,6438320.44663241,5023961.05839746,4873242.22664553,0,0,0,0,0,0
134,26829779.4091552,25684213.795053,26937716.8400518,25785670.7285427,19240584.7837743,6443629.01127872,19342041.6907845,6443629.03775821,5060355.29647645,4908544.63758215,4460319.80390745,4217032.86276175,4478308.62190208,4233945.32233642,843392.549412741,818090.772930359
135,26949030.9932128,25799310.7007887,27056531.5541475,25900356.7558174,19343898.7836471,6455411.91714153,19444944.8120538,6455411.94376353,5163383.81436417,5008482.29993324,0,0,0,0,0,0
136,27095216.8221859,25939540.675245,27201668.9408157,26039601.194507,19441807.8660423,6497732.80920267,19541868.3586824,6497732.83582466,5295454.48960935,5136590.85492107,4504492.47594588,4259823.83982684,4522233.70276538,4276503.56369689,882575.748268225,856098.475820178
137,27314608.5311814,26148101.321791,27421699.6775472,26248762.5271248,19613471.5145563,6534629.80723467,19714132.6932682,6534629.83385667,5376562.7696717,5215265.88658155,0,0,0,0,0,0
138,27498819.3438803,26323135.6458622,27605682.3586268,26423582.4074739,19763573.663992,6559561.98187016,19864020.3989817,6559562.00849216,5457822.74688163,5294088.06447518,4571451.06024451,4323451.54932687,4589260.76975013,4340195.64666656,909637.124480271,882348.010745863
139,27648242.6580382,26465587.7652999,27754576.281745,26565536.8993343,19847071.0302857,6618516.73501418,19947020.1282623,6618516.77107199,5560780.64713168,5393957.22771773,0,0,0,0,0,0
140,27717336.6157771,26531773.4578671,27823129.7544548,26631214.5359741,19891333.6477526,6640439.8101145,19990774.6982747,6640439.83769941,5644284.69593857,5474956.15506041,4607706.63024095,4358306.90162045,4625338.02706843,4374883.38504269,940714.115989762,912492.692510069
141,27798023.8813013,26610027.2513147,27899983.0451544,26705864.3930865,19972973.0479844,6637054.20333028,20068810.1621713,6637054.23091519,5743112.77211915,5570819.38895558,0,0,0,0,0,0
142,27928442.4232278,26734678.0025875,28029286.7515943,26829467.1990041,20049153.4558864,6685524.5467011,20143942.6518943,6685524.54710979,5818762.57033667,5644199.69322657,4642940.70035594,4392233.51464526,4659747.29546526,4408034.64019822,969793.761722778,940699.948871094
143,27949064.7325003,26754593.0527636,28049222.1821396,26848736.5831766,20076837.3714607,6677755.68130286,20170980.901465,6677755.68171155,5891004.41366975,5714274.28125965,0,0,0,0,0,0
144,28055242.5594189,26857082.2489592,28155196.5034871,26951034.4841354,20181362.1152296,6675720.13372962,20275314.3517869,6675720.13234855,5993711.22898587,5813899.8921163,4664249.06955893,4413231.4470673,4680907.26728521,4428893.72196149,998951.871497645,968983.315352716
145,28058504.7418033,26860627.0877073,28157096.067032,26953298.4611744,20189670.8999674,6670956.18773981,20282342.2749554,6670956.18621897,6068720.23752826,5886658.63040241,0,0,0,0,0,0
146,28216300.2216514,27010999.0284708,28314338.4210464,27103150.4636542,20357338.9810961,6653660.0473747,20449490.4134505,6653660.05020371,6143598.47266757,5959290.51848754,4691046.69771456,4438993.48146264,4707385.60466197,4454355.6230247,1023933.07877793,993215.08641459
147,28329593.3720939,27120072.3862077,28426221.2066402,27210898.0784333,20468872.2350527,6651200.15115501,20559697.916396,6651200.16203729,6262254.41222413,6074386.77985741,0,0,0,0,0,0
148,28411662.3276215,27198911.1953116,28507623.337761,27289110.0725948,20510079.230519,6688831.96479257,20600278.09692,6688831.97567484,6374575.68813518,6183338.41749112,4723533.41020618,4470616.8206195,4739526.11894433,4485653.5204316,1062429.28135586,1030556.40291519
149,28550759.9318273,27331761.3592155,28645928.3204047,27421215.5958719,20608362.1771448,6723399.18207066,20697816.4065474,6723399.1893245,6490053.83399674,6295352.21897684,0,0,0,0,0,0
150,28638653.6617014,27416213.2681526,28733049.0447465,27504940.8796085,20687699.0209856,6728514.24716694,20776426.6132854,6728514.26632312,6573578.80654813,6376371.44235168,4761268.40066099,4507011.07019277,4777000.24666382,4521802.55909718,1095596.46775802,1062728.57372528
151,28654089.4047719,27431742.8689768,28745665.8145314,27517821.1463826,20661497.6574251,6770245.21155171,20747575.9178358,6770245.22854674,6628744.25890616,6429881.93113898,0,0,0,0,0,0
152,28708180.8405239,27483247.8754597,28798884.3071821,27568505.5863501,20704722.4074837,6778525.46797593,20789980.0511434,6778525.5352067,6724514.85292258,6522779.4073349,4772620.07300229,4518285.80431407,4787736.68840841,4532498.56157704,1120752.4754871,1087129.90122248
