period,total pensions. pre-2016. cost,total net pensions. pre-2016,total pensions. post-2016. cost,total net pensions. post-2016,total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,total universal pensions. cost,total net universal pensions, total thirteenth month of pension pre-2016. cost,total net thirteenth month of pension pre-2016, total thirteenth month of pension post-2016. cost,total net thirteenth month of pension post-2016, total thirteenth month of universal pension. cost,total net thirteenth month of universal pension
51,19851768.1691699,19079972.7090215,19891431.7043707,19117256.4325518,16722447.5042948,2357525.2047267,16759731.3561157,2357525.07643607,0,0,0,0,0,0,0,0
52,21421850.7360007,20587229.4249922,21465736.5527919,20628482.0929178,17932605.8917456,2654623.53324656,17973858.8745097,2654623.21840815,0,0,3573642.61137803,3371256.743286,3580956.91420173,3378132.18796469,0,0
53,18813238.762129,18082370.1393566,18855248.779367,18121859.5510697,15636210.8048348,2446159.33452184,15675700.8027273,2446158.74834244,0,0,0,0,0,0,0,0
54,19346572.7458376,18594335.778652,19390818.3788248,18635926.6666657,16029957.8537662,2564377.92488574,16071549.4452962,2564377.22136953,0,0,3228136.19018895,3046798.17532857,3235510.46111336,3053729.98921746,0,0
55,18432021.0256773,17714667.3664667,18474940.0141094,17755011.2079804,15195630.6958183,2519036.67064843,15235975.294597,2519035.91338337,0,0,0,0,0,0,0,0
56,20166877.6513647,19380401.490939,20214431.8782337,19425102.4567008,16527086.4027114,2853315.08822759,16571788.0459824,2853314.41071844,35616.1880578108,34547.7024160765,3364495.32333528,3176442.31968278,3372421.02648455,3183892.47983002,5936.0313429685,5757.9504026794
57,19290408.363617,18536934.3618913,19336912.5974347,18580648.3349035,15749514.4399254,2787419.9219659,15793229.0476486,2787419.28725482,60059.0626732205,58257.2907930239,0,0,0,0,0,0
58,20608132.6957587,19800643.9275842,20658949.2036157,19848411.4378229,16774461.1413943,3026182.78618989,16822229.307405,3026182.13041788,97782.8662931335,94849.3803043395,3437594.26150279,3246173.39912241,3446063.67821179,3254134.65008098,16297.1443821889,15808.2300507232
59,19846246.1422812,19067407.0234334,19895679.2993146,19113874.1850431,16058155.8186687,3009251.20476475,16104623.5085712,3009250.67647188,133014.838060669,129024.392918849,0,0,0,0,0,0
60,21608454.3249161,20759064.9872897,21661895.5765095,20809299.7584184,17400695.7486251,3358369.23866467,17450930.9985973,3358368.759821,172283.197157573,167114.701242846,3603965.36808579,3403895.11166226,3612872.24239938,3412267.57302956,28713.8661929288,27852.4502071409
61,20376015.278906,19572262.1505763,20427398.3811656,19620562.2654324,16313341.4550658,3258920.69551056,16361641.8406719,3258920.42476055,184749.587820605,179207.100185987,0,0,0,0,0,0
62,20182135.3929619,19385439.5745265,20234828.9653803,19434971.5318924,16134581.619706,3250857.95482053,16184113.7965453,3250857.73534711,207336.133911887,201116.049894531,3365998.34961121,3179283.78197026,3374780.61155552,3187539.10804963,34556.0223186479,33519.3416490884
63,20084406.9267314,19290418.0842198,20137149.0060906,19339995.6362776,15973035.4519704,3317382.63224932,16022613.1714474,3317382.46483016,226077.846009849,219295.510629553,0,0,0,0,0,0
64,20124066.2710688,19327356.4936449,20177982.5130241,19378037.7606501,15940212.1307242,3387144.3629207,15990893.5231469,3387144.23750313,245451.215721234,238087.679249597,3355772.1784364,3170539.73898357,3364758.21868554,3178986.61671702,40908.5359535389,39681.2798749328
65,20349724.0352604,19542552.6962422,20408532.5667287,19597832.715339,16082351.9565372,3460200.739705,16137632.0793866,3460200.63595243,273562.266448721,265355.39845526,0,0,0,0,0,0
66,20384490.1497595,19575460.2535503,20445242.8274738,19632567.7701468,16072299.6655308,3503160.5880195,16129407.2319186,3503160.53822829,301283.612435011,292245.104061961,3398797.20074548,3211692.10578738,3408922.64695053,3221210.02511558,50213.9354058352,48707.5173436602
67,20500055.3764027,19685249.7433389,20562977.5656807,19744396.600838,16149277.470273,3535972.27306593,16208424.375658,3535972.22518001,324943.136521432,315194.842425789,0,0,0,0,0,0
68,20571091.9893012,19752961.9855199,20636349.564223,19814304.1054319,16185295.3196468,3567666.66587303,16246637.4904717,3567666.61496024,354029.756835946,343408.864130868,3429660.05505114,3240543.72321988,3440536.31744688,3250767.40975708,59004.9594726577,57234.810688478
69,20621672.9574748,19799921.6573569,20688754.0759764,19862977.9082102,16164115.543307,3635806.11404988,16227171.8464563,3635806.06175387,380461.677067802,369047.826755768,0,0,0,0,0,0
70,20642012.3533261,19817739.2802294,20710090.5265696,19881732.7624165,16109469.8283459,3708269.45188349,16173463.3670859,3708269.39533062,407819.472993512,395584.888803706,3440989.17308918,3251217.74148001,3452335.53517909,3261883.32170522,67969.9121655853,65930.8148006177
71,20942499.6671526,20104896.629094,21012903.8100155,20171076.5225256,16298184.4134372,3806712.21565678,16364364.3698141,3806712.1527115,435219.116408209,422162.542915962,0,0,0,0,0,0
72,20938754.6793016,20100956.616485,21010733.0606973,20168616.2941092,16249021.9718017,3851934.64468324,16316681.71164,3851934.58246926,468932.499723925,454864.524732207,3489699.87819485,3292354.0678546,3501696.27493674,3303630.68061383,78155.4166206541,75810.7541220345
