period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,
51,2869119.51832035,963230.244415077,1451068.77482884,353844.099266392,0,21109.5491277911,24752.4448086759,48872.4665761511,6763.5903289526,"2,869,641.17",521.65
52,2667949.44732766,874684.631608666,1361214.56624393,337281.000020346,0,17894.0495739017,24479.8997477939,46946.6338740867,8275.4128363293,"2,670,776.19","2,826.75"
53,2664064.33321044,625849.016301251,1138732.8588904,296044.993007696,523831.146390699,7108.2381847992,29897.6467729417,35974.297529672,8133.9858789749,"2,665,572.18","1,507.85"
54,2617222.85018871,1074191.10681618,1160713.84342341,292298.419774217,0,4589.2701437842,50048.338406493,29490.1788167329,7286.9442181515,"2,618,618.10","1,395.25"
55,2255499.43907542,822858.069958835,1062636.45913394,276814.438281752,0,5038.1473749302,50455.5046987741,33532.6354930737,4480.5626143521,"2,255,815.82",316.38
56,3728481.15020576,2109236.14411004,1124909.29177747,361124.486576924,0,10438.9092309887,71397.8485237811,42263.8424923765,10444.6887563004,"3,729,815.21","1,334.06"
57,4086452.41187019,1729850.02206211,1166236.42428362,340403.938260849,713212.565845558,6117.2375071506,66007.7646214904,58523.197175769,7425.2013269424,"4,087,776.35","1,323.94"
58,3769046.06597839,2055825.56453485,1180789.00400701,370216.972206173,0,43044.969923797,62181.3269022306,48950.0553893335,9394.5008623192,"3,770,402.39","1,356.33"
59,3358803.38977334,1726201.85347158,1157765.62037618,350317.743482386,0,11511.6332116319,61424.4920200567,43714.0660273581,9167.2755500581,"3,360,102.68","1,299.29"
60,3779826.5687181,2066039.26630712,1221789.86716525,377263.829465642,0,7205.0292641942,65219.8285161711,35779.9375816699,7932.5654592268,"3,781,230.32","1,403.76"
61,4021687.10164998,1773543.05644996,1081791.5940657,349974.412329008,700997.462610954,8905.127487116,55131.3544088292,44211.0605017463,8803.6283049088,"4,023,357.70","1,670.59"
62,3024975.84483231,1639057.4545217,951654.588144833,319879.511990562,0,5974.0679113347,65455.6854228883,35071.9553435599,8912.0695172985,"3,026,005.33","1,029.49"
63,2874592.63326795,1507031.53853089,953358.72324497,311922.612023917,0,6079.7277848844,53462.5396612899,36276.3643267861,7475.0968438041,"2,875,606.60","1,013.97"
64,2894950.66486042,1508310.28220573,978227.402785428,306655.650239085,0,10322.3641992461,58224.5179407105,24615.5864338349,8715.8658910223,"2,895,071.67",121.00
65,3399080.37723224,1459364.45958068,931771.263287306,305002.464137403,611443.746702802,8844.4130292631,46599.5325608275,28158.0921137265,8051.0362093083,"3,399,235.01",154.63
66,2805624.35506284,1480399.27809329,920298.591964546,302813.330059852,0,6126.160171658,56038.6986797289,30375.1107313435,9694.081325532,"2,805,745.25",120.90
67,2749659.09193959,1407509.96251192,936057.736332274,302673.04108283,0,4653.3563324505,57605.245492498,31292.4977455298,9988.1484051981,"2,749,779.99",120.90
68,2857219.33343103,1467953.91571234,982123.246668008,303226.513821792,0,6876.8795799774,61484.0497346829,28264.7650223529,7410.8588549842,"2,857,340.23",120.90
69,3386386.491653,1459977.23365976,906151.393771616,302134.792401212,607727.998901447,11076.9062697203,60700.3677428536,29756.4078613108,8982.2870081883,"3,386,507.39",120.90
