period,total pensions. pre-2016. cost,total net pensions. pre-2016,total pensions. post-2016. cost,total net pensions. post-2016,total retirement benefits pre-2016,total survivors pensions pre-2016,total retirement benefits post-2016,total survivors pensions post-2016,total universal pensions. cost,total net universal pensions, total thirteenth month of pension pre-2016. cost,total net thirteenth month of pension pre-2016, total thirteenth month of pension post-2016. cost,total net thirteenth month of pension post-2016, total thirteenth month of universal pension. cost,total net thirteenth month of universal pension
51,19851768.1691699,19079972.7090215,19891431.7043707,19117256.4325518,16722447.5042948,2357525.2047267,16759731.3561157,2357525.07643607,0,0,0,0,0,0,0,0
52,21421850.7360007,20587229.4249922,21465736.5527919,20628482.0929178,17932605.8917456,2654623.53324656,17973858.8745097,2654623.21840815,0,0,3573642.61137803,3371256.743286,3580956.91420173,3378132.18796469,0,0
53,18813238.762129,18082370.1393566,18855248.779367,18121859.5510697,15636210.8048348,2446159.33452184,15675700.8027273,2446158.74834244,0,0,0,0,0,0,0,0
54,19346572.7458376,18594335.778652,19390818.3788248,18635926.6666657,16029957.8537662,2564377.92488574,16071549.4452962,2564377.22136953,0,0,3228136.19018895,3046798.17532857,3235510.46111336,3053729.98921746,0,0
55,18432021.0256773,17714667.3664667,18474940.0141094,17755011.2079804,15195630.6958183,2519036.67064843,15235975.294597,2519035.91338337,0,0,0,0,0,0,0,0
56,20166877.6513647,19380401.490939,20214431.8782337,19425102.4567008,16527086.4027114,2853315.08822759,16571788.0459824,2853314.41071844,35616.1880578108,34547.7024160765,3364495.32333528,3176440.44813994,3372421.02648455,3183890.60828718,5936.0313429685,5757.9504026794
57,19290408.363617,18536934.3618913,19336912.5974347,18580648.3349035,15749514.4399254,2787419.9219659,15793229.0476486,2787419.28725482,60059.0626732205,58257.2907930239,0,0,0,0,0,0
58,20608132.6957587,19800643.9275842,20658949.2036157,19848411.4378229,16774461.1413943,3026182.78618989,16822229.307405,3026182.13041788,97782.8662931335,94849.3803043395,3437594.26150279,3246171.50670327,3446063.67821179,3254132.75766184,16297.1443821889,15808.2300507232
59,19846256.5003005,19067416.7599715,19895689.7369596,19113883.9964295,16058165.5552068,3009251.20476475,16104633.3199576,3009250.67647188,133014.838060669,129024.392918849,0,0,0,0,0,0
60,21608465.5561465,20759075.5446463,21661906.8940784,20809310.3969331,17400706.3059816,3358369.23866467,17450941.6371121,3358368.759821,172283.197157573,167114.701242846,3603967.23995753,3403894.90933821,3612874.12866086,3412267.38423188,28713.8661929288,27852.4502071409
61,20376034.5187537,19572280.2360331,20427418.4111887,19620581.0936542,16313359.5405226,3258920.69551056,16361660.6688937,3258920.42476055,184749.587820605,179207.100185987,0,0,0,0,0,0
62,20182278.4974595,19385579.5011181,20234977.0306551,19435116.1216145,16134721.5462976,3250857.95482053,16184258.3862674,3250857.73534711,207336.133911887,201116.049894531,3366022.27300258,3179301.12866395,3374805.36174307,3187557.23193175,34556.0223186479,33519.3416490884
63,20077906.0120425,19284291.4034868,20130586.720905,19333811.2672777,15966908.7712375,3317382.63224932,16016428.8024475,3317382.46483016,230122.383151443,223218.711656899,0,0,0,0,0,0
64,20202594.3852542,19402066.3637443,20256658.2535464,19452886.3994351,15985529.5423271,3416536.82141721,16036349.6675609,3416536.73187423,249492.113876608,242007.35046031,3367842.63191796,3181527.2027659,3376853.27654399,3189997.20860348,41582.0189794348,40334.5584100517
65,20459749.3935468,19647386.0449143,20518880.4146343,19702969.2041812,16153226.2268273,3494159.81808705,16208809.4539062,3494159.75027499,273868.307855234,265652.258619577,0,0,0,0,0,0
66,20517803.182985,19702646.6766497,20578966.8206312,19760140.4955099,16161366.9578793,3541279.7187704,16218860.7902266,3541279.7052833,301958.097538146,292899.354612002,3419996.83739096,3231304.57770004,3430190.77690519,3240886.88072848,50326.3495896911,48816.5591020004
67,20656486.9781137,19834634.2803832,20719914.7778886,19894256.4116768,16256430.907661,3578203.37272224,16316053.050531,3578203.3611458,326344.586886205,316554.249279619,0,0,0,0,0,0
68,20748396.2502108,19922442.3539518,20813656.4423951,19983786.9340165,16307619.4996209,3614822.85433081,16368964.0943156,3614822.83970088,359607.37165423,348819.150504603,3458192.42840804,3267103.93020415,3469069.12700108,3277328.02675607,59934.5619423717,58136.5250841005
69,20830580.24795,19999614.6938388,20898404.7659134,20063369.7401114,16311487.5374472,3688127.15639168,16375242.5997731,3688127.14033823,382594.607210554,371116.768994237,0,0,0,0,0,0
70,20884273.7794239,20049292.0570518,20953270.4624096,20114148.9383197,16282567.2648768,3766724.792175,16347424.1665225,3766724.77179717,407220.568707155,395003.95164594,3480363.67956172,3287971.31317451,3491863.12659502,3298780.79323522,67870.0947845258,65833.99194099
71,21217380.2697716,20368759.1776261,21288121.8810171,20435256.2912572,16524516.3019116,3844242.87571457,16591013.4424112,3844242.84884602,438493.834048251,425339.019026803,0,0,0,0,0,0
72,21280962.3465228,20428386.5537827,21353450.3108682,20496525.2392981,16519575.8531482,3908810.70063451,16587714.5648276,3908810.67447055,473502.088581254,459297.025923817,3545699.33594286,3344694.95430221,3557780.66316191,3356051.40170275,78917.0147635424,76549.5043206361
