Period,Total SIPA income,Total wage-earners SIPA contributions,Total taxable income,Total gross wages,Total SAC,Total autonomous workers SIPA contributions,Total monotributo SIPA contributions,Monotributo integrated tax
51,19124992.647696435,18318473.917253993,64768156.457237065,64675264.61569174,0.0,547737.9778125678,158336.61964558656,143491.61854897763
52,22068360.59610917,21271901.078503117,74467088.24170147,65349797.491137,10891632.9151895,562351.1778743202,145983.23267092323,125893.01008686757
53,18410819.56683491,17721087.298774283,62655489.937612645,62556868.218563005,0.0,485217.3019979529,122827.22508925897,116696.77281916226
54,20516451.905005883,19808569.306075137,69378006.53963931,60856684.31261033,10142780.718768386,513947.9259566036,113994.99891107978,114199.53437580432
55,18290815.295557905,17609428.89095814,62234514.36506748,62133452.29816949,0.0,496202.4484948651,104856.31658447756,114753.77074345794
56,21315426.65237834,20571304.67528623,71953220.07563293,63133990.19934766,10522331.699891277,558804.5775887088,102359.28448639897,118511.5928814246
57,18483166.66983282,17699972.0127925,62483617.43813224,62385391.53408556,0.0,511008.0475151796,205657.4967716478,95041.5896478331
58,21172188.294644956,20408198.390413415,71392915.8492051,62619489.42528678,10436581.570881126,491812.9568163384,201844.5210281973,100474.89483857699
59,19060148.88928082,18322831.54641964,64692808.12453234,64553268.64071425,0.0,466818.24179217056,195594.54548042276,107006.50798370117
60,21939464.008947715,21145618.418011926,73984846.34963122,64889579.67764811,10814929.946274683,530882.2971575368,187047.06409145106,108451.7566954373
61,17673034.576711033,16913668.266455848,56916329.58416877,64149238.72617177,0.0,474531.90468972275,215280.74893179527,99362.36661952276
62,20645716.673531458,19877981.982228946,66772668.97042314,64750589.50715759,10791764.917859599,494513.35966588,203409.59029086816,99731.05906538152
63,18349809.10224275,17589808.02111244,59563196.23134897,66041685.759171024,0.0,487299.03242831666,196919.06785264515,108261.40121335705
64,21370279.608316123,20597761.388495296,69518018.91861652,66567763.79039291,11094627.29839882,508402.97257359826,186502.39864333856,110875.49800555802
65,17143740.087081734,16358972.188278537,51907170.366230525,66805795.84729893,0.0,512139.6917577362,192614.8796806295,114304.7533783273
66,20224497.703494843,19388475.858414043,61687275.78669507,67613998.07279639,11268999.678799396,563985.6688873079,192697.58995579233,113340.83748242441
67,17613044.34555645,16785848.56759565,53276029.61611774,68449189.08239836,0.0,555226.9924407168,193002.38367547063,112809.14549230649
68,20605661.492594674,19767736.307356738,62906248.837239735,68845949.96880367,11474324.994800614,575201.902959929,186299.5583844821,109176.74841932119
69,16687047.534983877,15919340.947508343,47273152.93098529,69901241.41288842,0.0,495769.7094039886,193413.10345140882,112176.82088590847
70,19833231.926992446,19035742.541490465,57171769.1735775,70771084.65660958,11795180.776101599,531532.1844095361,190103.0844464509,108363.02377998865
71,17100840.83463679,16311485.556170726,48463878.16736913,71582241.21426238,0.0,521237.98312736227,190480.38132604538,110909.87716093574
72,20277770.618752234,19514785.21188707,58663638.76012242,72431057.96032509,12071842.993387513,496225.00177515304,189133.8605063165,110895.06369099696
73,16298966.104741741,15525935.139538575,43003036.730638355,72962774.88966085,0.0,502718.99752521346,192174.90461718728,111624.3758010897
74,19394234.1990456,18595330.221009422,52431654.81288044,73625600.75974661,12270933.45995777,531800.2846861274,189396.21977940138,111010.67652949365
75,16709199.62603343,15907534.874444786,44126464.39300106,74609906.74969688,0.0,533233.4514997182,189778.5127001004,112361.1248411817
76,19917049.527274735,19120476.386836372,54051405.31194643,75475998.80367701,12579333.133946167,523508.7374100505,191794.95484323008,116099.21169298021
77,16018733.882885778,15261437.14770445,39575844.13759925,75896963.81831092,0.0,484874.86382921436,191610.40310140623,115444.95464386679
78,19124028.650511142,18383798.37851808,48579075.64719063,77155459.34190495,12859243.223650826,469722.26280341187,191047.18137741493,113515.4683032019
79,16374697.911747292,15623226.63098145,40555532.626893535,77685354.82386492,0.0,475673.3965980726,194288.77211393765,116441.58864832699
80,19512363.637425903,18731049.2374895,49575664.61164274,78532603.44314356,13088767.240523921,502569.322380303,195757.0633235962,118554.30604643967
81,16694404.003456306,15896604.099426055,41340692.774903156,78929164.34888633,0.0,520322.4875232323,195322.04972768138,117364.8096847676
82,19818668.39886771,18952881.95204547,50290843.902086034,79279989.51471868,13213331.585786447,599498.8677241658,187731.0600727005,112223.59860767475
83,17071086.517682966,16210860.6548564,42169336.52253986,80426845.49424985,0.0,579280.8484679521,197269.61992486243,119536.27776250232
84,20221590.45504104,19370185.938438024,51387609.85847124,81042899.35963982,13507149.8932733,568355.5303353453,197884.68710696412,121663.28451529694
85,17351451.414489206,16514052.026698839,42947810.84425227,81991806.07017095,0.0,548737.3073826041,203195.4798713313,122095.14362346541
86,20698787.954770427,19861893.73986537,52815862.06352199,82947399.65288742,13824566.608814567,548410.3693686812,202574.26000249194,122727.97933412546
87,17751367.17226669,16935906.203448202,44039073.33475633,84086977.90574548,0.0,535438.2787502268,196582.13875644517,119200.78758830589
88,21062749.233184367,20263156.303356577,53949754.63965473,84508304.86029156,14084717.476715257,512852.54339102906,201208.00148744436,122189.12135617122
89,18081108.28905431,17227134.97070314,44891921.29379101,85396754.87845542,0.0,569943.4663256502,200105.38177957444,119892.1003513622
90,21603773.05391408,20753230.151215564,55339423.26082866,86447690.5541565,14407948.425692748,558287.4498462441,205366.3710725094,124127.25968537669
91,18367373.995280486,17515142.816818547,45727464.127213344,86678346.2961059,0.0,561639.3966775247,203141.1885925194,124929.4188455622
92,21919824.41967153,21107180.302270748,56424707.083401434,87695577.02531055,14615929.504218426,523986.22035612306,201680.49705497464,124253.42855668797
